PEP_ID;BBCH;YEAR;DAY
19528;65;1973;16
19528;69;1973;27
19528;60;1974;31
19528;65;1974;48
19528;69;1974;51
19528;60;1975;30
19528;65;1975;46
19528;69;1975;48
19528;60;1976;43
19528;65;1976;55
19528;69;1976;70
19528;60;1977;37
19528;65;1977;59
19528;69;1977;64
19528;60;1978;60
19528;65;1978;74
19528;69;1978;79
19528;60;1979;50
19528;65;1979;55
19528;69;1979;57
19528;60;1980;42
19528;65;1980;46
19528;69;1980;68
19528;65;1982;68
19528;69;1982;74
19528;86;1982;210
19528;65;1988;44
19528;69;1988;50
19528;86;1988;232
19528;65;1989;44
19528;69;1989;49
19528;86;1989;217
