PEP_ID;BBCH;YEAR;DAY
20414;60;2013;22
20400;60;2013;26
20416;60;2013;29
20414;65;2013;44
20416;65;2013;52
20409;65;2013;61
20414;11;2013;63
20416;11;2013;63
20416;85;2013;83
20401;85;2013;100
20407;85;2013;101
20423;85;2013;108
20440;85;2013;194
20429;85;2013;200
20438;85;2013;205
20446;85;2013;223
20397;85;2013;229
20392;85;2013;231
20409;85;2013;231
20412;85;2013;232
20393;85;2013;232
20430;85;2013;234
20428;85;2013;235
20386;85;2013;241
20390;85;2013;245
20436;85;2013;257
20427;85;2013;280
20423;60;2014;12
20423;65;2014;19
20401;60;2014;22
20414;60;2014;24
20400;60;2014;27
20397;60;2014;28
20406;60;2014;28
20392;60;2014;32
20425;60;2014;33
20416;60;2014;33
20407;60;2014;33
20414;65;2014;33
20445;60;2014;34
20446;60;2014;35
20438;60;2014;36
20407;65;2014;36
20401;65;2014;36
20397;65;2014;37
20392;65;2014;38
20428;60;2014;39
20438;65;2014;39
20416;65;2014;40
20412;60;2014;41
20438;11;2014;42
20423;11;2014;43
20407;11;2014;43
20445;65;2014;43
20440;11;2014;44
20425;11;2014;45
20430;60;2014;45
20425;65;2014;45
20412;65;2014;46
20446;65;2014;47
20432;11;2014;48
20406;11;2014;49
20393;60;2014;49
20406;65;2014;49
20414;11;2014;50
20392;11;2014;50
20430;65;2014;51
20390;60;2014;53
20428;65;2014;54
20393;65;2014;58
20390;11;2014;59
20436;60;2014;59
20390;65;2014;59
20399;65;2014;59
20446;11;2014;60
20428;11;2014;60
20440;60;2014;60
20427;60;2014;64
20393;11;2014;65
20430;11;2014;67
20429;60;2014;68
20416;11;2014;69
20427;65;2014;71
20436;11;2014;73
20652;11;2014;74
20412;11;2014;74
20651;63;2014;74
20429;65;2014;74
20404;65;2014;75
20429;11;2014;78
20651;65;2014;82
20414;85;2014;82
20416;85;2014;82
20651;11;2014;95
20423;85;2014;103
20401;85;2014;105
20412;85;2014;146
20407;85;2014;148
20429;85;2014;166
20652;87;2014;199
20446;85;2014;208
20397;85;2014;211
20652;100;2014;220
20649;100;2014;258
20651;87;2014;262
20651;92;2014;273
20652;92;2014;291
20651;95;2014;311
20649;92;2014;334
20649;61;2015;58
20649;63;2015;66
20652;61;2015;68
20649;65;2015;69
20652;63;2015;70
20651;61;2015;73
20652;65;2015;74
20651;63;2015;76
20651;65;2015;78
20649;11;2015;79
20651;11;2015;90
20651;69;2015;98
20652;87;2015;209
20652;100;2015;219
20649;87;2015;246
20651;87;2015;250
20649;100;2015;253
20651;92;2015;258
20649;92;2015;289
20652;92;2015;291
20651;95;2015;298
20651;97;2015;329
20652;61;2016;39
20649;63;2016;43
20652;63;2016;44
20652;65;2016;48
20652;69;2016;54
20651;61;2016;61
20651;63;2016;63
20651;65;2016;64
20649;11;2016;82
20651;69;2016;90
20651;11;2016;93
20651;92;2016;215
20652;87;2016;231
20652;100;2016;245
20651;95;2016;284
20652;92;2016;305
