PEP_ID;BBCH;YEAR;DAY
19298;60;1961;29
19294;60;1961;36
19299;60;1961;43
19294;65;1961;44
19298;65;1961;46
19299;65;1961;56
19294;11;1961;60
19299;11;1961;64
19294;69;1961;67
19299;69;1961;68
19298;94;1961;274
19294;94;1961;283
19299;94;1961;283
19294;95;1961;292
19299;95;1961;293
19298;95;1961;324
19299;60;1962;20
19294;60;1962;28
19299;65;1962;36
19294;65;1962;41
19298;60;1962;43
19294;69;1962;44
19299;11;1962;46
19299;69;1962;50
19294;11;1962;56
19298;65;1962;56
19298;69;1962;60
19298;11;1962;64
19298;86;1962;204
19298;87;1962;212
19298;94;1962;283
19294;94;1962;286
19294;95;1962;298
19299;94;1962;302
19298;95;1962;315
19299;95;1962;319
19294;60;1963;51
19294;65;1963;59
19298;60;1963;67
19299;11;1963;69
19294;69;1963;69
19298;65;1963;74
19294;11;1963;78
19298;11;1963;79
19298;69;1963;79
19299;65;1963;80
19299;69;1963;85
19294;86;1963;204
19294;87;1963;216
19299;86;1963;224
19298;86;1963;228
19298;87;1963;233
19299;87;1963;241
19294;94;1963;288
19294;95;1963;301
19299;94;1963;304
19298;95;1963;319
19299;95;1963;324
19294;60;1964;46
19299;60;1964;50
19298;60;1964;54
19294;65;1964;58
19299;65;1964;61
19294;69;1964;64
19294;11;1964;67
19299;11;1964;68
19298;65;1964;68
19299;69;1964;72
19298;69;1964;74
19298;11;1964;78
19298;86;1964;206
19294;86;1964;207
19298;87;1964;222
19294;87;1964;223
19299;86;1964;238
19299;87;1964;244
19294;94;1964;291
19299;94;1964;299
19294;95;1964;307
19299;95;1964;315
19294;60;1965;12
19294;65;1965;20
19298;60;1965;26
19299;60;1965;31
19294;11;1965;43
19294;69;1965;46
19298;65;1965;49
19298;69;1965;54
19299;65;1965;67
19299;11;1965;69
19299;69;1965;74
19298;11;1965;79
19294;86;1965;209
19294;87;1965;220
19298;86;1965;222
19299;86;1965;236
19298;87;1965;237
19299;87;1965;242
19298;94;1965;291
19294;94;1965;298
19298;95;1965;310
19299;94;1965;314
19294;95;1965;314
19299;95;1965;329
19298;60;1966;34
19294;60;1966;38
19299;60;1966;41
19294;65;1966;41
19298;65;1966;46
19299;65;1966;50
19298;69;1966;50
19294;11;1966;51
19299;11;1966;59
19299;69;1966;62
19298;11;1966;76
19294;69;1966;81
19294;86;1966;206
19298;86;1966;210
19299;86;1966;217
19298;87;1966;221
19294;87;1966;227
19299;87;1966;242
19298;94;1966;276
19298;95;1966;288
19294;94;1966;314
19299;94;1966;320
19294;95;1966;322
19299;95;1966;334
19294;60;1967;53
19298;60;1967;59
19294;65;1967;64
19298;65;1967;65
19294;11;1967;68
19298;11;1967;69
19294;69;1967;72
19298;69;1967;77
