PEP_ID;BBCH;YEAR;DAY
20450;60;1952;45
20450;65;1952;50
20450;81;1952;218
20450;100;1952;237
20450;95;1952;315
20450;60;1953;34
20450;65;1953;40
20448;60;1953;43
20448;65;1953;48
20450;81;1953;200
20450;100;1953;221
20450;95;1953;321
20448;60;1955;34
20448;65;1955;44
20450;60;1955;47
20448;60;1956;107
20448;60;1957;43
20448;65;1957;48
20450;60;1958;31
20450;81;1958;236
20450;100;1958;239
20450;95;1958;287
20450;60;1959;19
20450;65;1959;24
20450;81;1959;208
20450;100;1959;212
20450;65;1960;22
20450;69;1960;25
20448;60;1960;50
20448;69;1960;52
20450;81;1960;155
20450;100;1960;157
20448;95;1960;315
20450;60;1961;41
20448;60;1961;44
20450;65;1961;44
20448;65;1961;52
20448;69;1961;73
20450;81;1961;166
20450;100;1961;170
20448;95;1961;348
20450;60;1962;27
20450;65;1962;30
20448;60;1962;46
20448;65;1962;54
20450;69;1962;62
20448;69;1962;78
20450;81;1962;212
20450;100;1962;215
20448;81;1962;236
20448;100;1962;239
20448;95;1962;308
20450;60;1963;45
20450;65;1963;48
20450;69;1963;55
20450;81;1963;185
20450;100;1963;219
20450;95;1963;287
20448;95;1963;318
20450;60;1964;35
20450;65;1964;40
20448;60;1964;57
20448;65;1964;72
20450;69;1964;80
20448;69;1964;83
20450;81;1964;202
20450;100;1964;238
20448;95;1964;330
20450;60;1965;51
20450;65;1965;54
20448;60;1965;65
20448;65;1965;70
20448;69;1965;85
20450;81;1965;221
20450;100;1965;226
20448;81;1965;236
20448;100;1965;244
20448;95;1965;323
20450;60;1966;41
20448;60;1966;43
20448;65;1966;50
20450;65;1966;58
20448;69;1966;59
20450;69;1966;63
20450;81;1966;155
20450;100;1966;160
20450;94;1966;262
20450;95;1966;268
20448;60;1967;64
20448;65;1967;73
20448;69;1967;83
20450;81;1967;224
20450;100;1967;233
20448;94;1967;256
20448;95;1967;288
20450;60;1968;48
20450;65;1968;53
20448;60;1968;68
20448;65;1968;77
20448;69;1968;90
20450;81;1968;158
20450;100;1968;162
20448;100;1968;256
20448;94;1968;276
20448;95;1968;280
20450;94;1968;308
20450;95;1968;318
20450;60;1969;40
20450;65;1969;45
20448;60;1969;54
20448;65;1969;63
20448;69;1969;78
20450;81;1969;165
20450;100;1969;175
20448;60;1970;44
20450;60;1970;50
20450;65;1970;55
20450;81;1970;216
20450;100;1970;221
20448;94;1970;282
20448;95;1970;291
20448;60;1971;32
20450;60;1971;35
20450;65;1971;42
20448;65;1971;47
20450;69;1971;48
20448;69;1971;83
20450;81;1971;180
20448;100;1971;270
20450;95;1971;319
20450;60;1972;25
20450;65;1972;29
20448;60;1972;44
20448;65;1972;50
20448;69;1972;67
20450;81;1973;174
20450;100;1973;180
20450;60;1974;42
20450;65;1974;46
20450;81;1974;170
20450;100;1974;175
20448;60;1975;54
20448;65;1975;66
20448;69;1975;73
20450;60;1976;40
20450;65;1976;45
20450;69;1976;50
20448;60;1976;59
20448;65;1976;62
20448;69;1976;75
20450;81;1976;259
20450;100;1976;270
20450;94;1976;310
20450;95;1976;315
20448;60;1977;50
20448;65;1977;58
20448;69;1977;71
20448;60;1978;59
20448;65;1978;64
20448;69;1978;73
20448;81;1978;245
20448;100;1978;257
20448;94;1978;299
20448;95;1978;315
20450;60;1982;129
20450;65;1982;144
20450;69;1982;160
20450;60;1993;40
20450;65;1993;45
20450;69;1993;50
20448;60;1993;64
20448;65;1993;73
20448;69;1993;83
20450;81;1993;178
20450;100;1993;181
20450;94;1993;247
20450;95;1993;252
20450;60;1994;48
20450;65;1994;55
20450;81;1994;175
20450;100;1994;179
20450;94;1994;243
20450;95;1994;249
20448;60;1996;61
20448;65;1996;68
20450;60;2011;50
20450;65;2011;55
20450;69;2011;78
20450;60;2013;45
20450;65;2013;57
