PEP_ID;BBCH;YEAR;DAY
6871;60;1961;38
6869;60;1961;41
6871;65;1961;43
6869;65;1961;46
6871;69;1961;57
6869;69;1961;60
6871;60;1962;54
6871;65;1962;69
6869;60;1962;74
6871;69;1962;80
6869;65;1962;89
6869;69;1962;105
6871;60;1963;70
6871;65;1963;77
6869;60;1963;79
6869;65;1963;82
6869;69;1963;91
6871;69;1963;93
6871;60;1964;64
6871;65;1964;75
6869;60;1964;85
6869;65;1964;93
6871;69;1964;103
6869;69;1964;106
6871;60;1965;67
6871;65;1965;72
6869;60;1965;77
6871;69;1965;83
6869;65;1965;87
6869;69;1965;94
6871;60;1966;54
6871;65;1966;61
6869;60;1966;66
6871;69;1966;72
6869;65;1966;76
6869;69;1966;83
6869;60;1967;66
6871;60;1967;67
6869;65;1967;71
6871;65;1967;72
6869;69;1967;86
6871;69;1967;91
6871;60;1968;67
6871;65;1968;74
6869;60;1968;84
6869;65;1968;88
6871;69;1968;91
6869;69;1968;91
6871;60;1969;70
6871;65;1969;76
6869;60;1969;82
6869;65;1969;92
6871;69;1969;92
6869;69;1969;105
6871;60;1970;74
6871;65;1970;79
6869;60;1970;83
6869;65;1970;88
6869;69;1970;100
6871;69;1970;101
6871;60;1971;49
6871;65;1971;52
6869;60;1971;75
6871;69;1971;75
6869;65;1971;89
6869;69;1971;95
6871;60;1972;78
6869;60;1972;86
6871;65;1972;88
6869;65;1972;94
6871;69;1972;97
6869;69;1972;106
6871;60;1973;29
6871;65;1973;32
6869;60;1973;62
6871;69;1973;64
6869;65;1973;74
6869;69;1973;92
6869;60;1974;59
6869;65;1974;60
6871;60;1974;66
6869;69;1974;71
6871;65;1974;78
6871;69;1974;85
6871;60;1975;21
6869;60;1975;28
6871;65;1975;31
6869;65;1975;39
6871;69;1975;55
6869;69;1975;60
6871;60;1976;64
6869;60;1976;67
6871;65;1976;70
6869;65;1976;80
6871;69;1976;84
6869;69;1976;88
6871;60;1977;39
6869;60;1977;44
6871;65;1977;48
6869;65;1977;59
6871;69;1977;68
6869;69;1977;69
6871;60;1978;44
6869;60;1978;49
6871;65;1978;57
6869;65;1978;68
6871;69;1978;78
6869;69;1978;82
6869;60;1979;43
6871;60;1979;53
6869;65;1979;62
6871;65;1979;63
6871;69;1979;74
6869;69;1979;82
6869;60;1980;37
6869;65;1980;44
6871;60;1980;46
6871;65;1980;56
6871;69;1980;70
6869;69;1980;74
6871;60;1981;47
6871;65;1981;50
6869;60;1981;53
6869;65;1981;59
6871;69;1981;63
6869;69;1981;70
6869;60;1982;65
6871;60;1982;68
6869;65;1982;71
6871;65;1982;75
6869;69;1982;88
6871;69;1982;89
6871;60;1983;62
6869;60;1983;65
6869;65;1983;68
6871;65;1983;69
6871;69;1983;81
6869;69;1983;85
6869;60;1984;63
6871;60;1984;65
6869;65;1984;66
6871;65;1984;75
6869;69;1984;88
6871;69;1984;88
6869;60;1985;60
6871;60;1985;66
6869;65;1985;77
6871;65;1985;80
6871;69;1985;86
6869;69;1985;91
6871;60;1986;71
6869;60;1986;71
6869;65;1986;76
6871;65;1986;83
6871;69;1986;94
6869;69;1986;97
6871;60;1987;60
6869;60;1987;78
6871;65;1987;81
6869;65;1987;82
6871;69;1987;89
6869;69;1987;95
6869;60;1988;36
6871;60;1988;40
6869;65;1988;46
6871;65;1988;48
6871;69;1988;62
6869;69;1988;77
6869;60;1989;42
6871;60;1989;49
6869;65;1989;51
6871;65;1989;60
6871;69;1989;73
6869;69;1989;73
6871;60;1990;29
6869;60;1990;35
6871;65;1990;39
6869;65;1990;46
6871;69;1990;52
6869;69;1990;87
6869;60;1991;54
6871;60;1991;56
6869;65;1991;58
6871;65;1991;66
6869;69;1991;73
6871;69;1991;77
6871;60;1992;58
6869;60;1992;62
6869;65;1992;66
6871;65;1992;67
6869;69;1992;83
6871;69;1992;84
6869;60;1993;59
6871;60;1993;59
6871;65;1993;67
6869;65;1993;67
6869;69;1993;84
6871;69;1993;84
6869;60;1994;27
6871;60;1994;33
6871;65;1994;49
6869;65;1994;56
6869;69;1994;69
6871;69;1994;74
6871;60;1995;36
6869;60;1995;46
6871;65;1995;49
6869;65;1995;56
6871;69;1995;71
6869;69;1995;79
6871;60;1996;34
6871;65;1996;47
6869;60;1996;54
6871;69;1996;75
6869;65;1996;81
6869;69;1996;96
6871;60;1997;54
6869;60;1997;60
6871;65;1997;60
6869;65;1997;66
6869;69;1997;71
6871;69;1997;71
6871;60;1998;44
6869;60;1998;47
6869;65;1998;50
6871;65;1998;52
6871;69;1998;63
6869;69;1998;64
6869;60;1999;58
6869;65;1999;65
6871;60;1999;66
6871;65;1999;71
6871;69;1999;83
6869;69;1999;84
6869;60;2000;64
6871;60;2000;67
6869;65;2000;68
6871;65;2000;73
6869;69;2000;86
6871;69;2000;87
6869;60;2001;12
6869;65;2001;34
6871;60;2001;43
6871;65;2001;49
6869;69;2001;57
6871;69;2001;64
6869;60;2002;60
6871;60;2002;64
6869;65;2002;65
6871;65;2002;67
6869;69;2002;77
6871;69;2002;84
6869;60;2003;26
6869;65;2003;59
6871;60;2003;65
6869;69;2003;65
6871;65;2003;68
6871;69;2003;90
6871;60;2004;33
6871;65;2004;39
6869;60;2004;47
6869;65;2004;51
6871;69;2004;60
6869;69;2004;84
6871;60;2005;57
6871;65;2005;68
6869;60;2005;74
6869;65;2005;76
6871;69;2005;86
6869;69;2005;91
6871;60;2006;57
6871;65;2006;69
6869;60;2006;75
6869;65;2006;79
6871;69;2006;88
6869;69;2006;96
6871;60;2007;28
6869;60;2007;29
6871;65;2007;35
6869;65;2007;36
6871;69;2007;56
6869;69;2007;61
6869;60;2008;35
6869;65;2008;39
6869;69;2008;64
6869;60;2009;56
6869;65;2009;62
6869;69;2009;83
6869;60;2010;62
6869;65;2010;64
6869;69;2010;83
6869;60;2011;42
6871;60;2011;43
6869;65;2011;46
6871;65;2011;48
6869;69;2011;74
6871;69;2011;85
6869;60;2012;62
6871;60;2012;63
6869;65;2012;64
6871;65;2012;73
6869;69;2012;81
6871;69;2012;86
6869;60;2013;61
6871;60;2013;63
6869;65;2013;63
6871;65;2013;77
6869;69;2013;81
6871;69;2013;96
