PEP_ID;BBCH;YEAR;DAY
6695;7;2011;121
6695;60;2011;132
6695;69;2011;138
6695;94;2011;268
6695;87;2011;272
6695;95;2011;279
19469;7;2012;86
19469;60;2012;106
6695;7;2012;107
19469;69;2012;116
6695;60;2012;124
6695;69;2012;136
6695;87;2012;284
6695;94;2012;286
6695;95;2012;289
6644;7;2013;98
19469;7;2013;113
6695;7;2013;116
19469;60;2013;118
6644;60;2013;124
19469;69;2013;124
6695;60;2013;130
6695;69;2013;140
6644;69;2013;151
6644;87;2013;246
6695;87;2013;283
6695;94;2013;288
6695;95;2013;288
19469;7;2014;81
19469;60;2014;99
19469;69;2014;107
