PEP_ID;BBCH;YEAR;DAY
8049;7;2012;95
20224;60;2012;103
8041;7;2012;105
6638;7;2012;115
8041;60;2012;119
19453;60;2012;120
8049;60;2012;120
6638;60;2012;121
8041;69;2012;130
8049;69;2012;133
6638;69;2012;133
6638;94;2012;272
6638;87;2012;274
8041;87;2012;274
19453;87;2012;284
8041;94;2012;285
6638;95;2012;286
8049;94;2012;294
19453;94;2012;299
8041;95;2012;300
8049;95;2012;309
6639;7;2013;115
6639;60;2013;121
8049;60;2013;126
8049;69;2013;134
6639;69;2013;135
8049;87;2013;276
6639;87;2013;289
8049;94;2013;294
8049;95;2013;307
6639;94;2013;309
6639;95;2013;321
20302;7;2014;90
