PEP_ID;BBCH;YEAR;DAY
8028;7;2011;69
8028;60;2011;84
6571;7;2011;90
8028;69;2011;105
6571;60;2011;107
6571;69;2011;118
6571;87;2011;255
8028;87;2011;258
8028;94;2011;306
6571;94;2011;317
8028;95;2011;326
6571;95;2011;332
8074;7;2012;88
6524;7;2012;92
6571;60;2012;104
6524;60;2012;107
8074;60;2012;108
6524;69;2012;123
6571;69;2012;124
6571;87;2012;254
6524;94;2012;259
6524;87;2012;275
6524;95;2012;310
6571;94;2012;319
6571;95;2012;331
8074;7;2013;104
6524;7;2013;105
8074;60;2013;116
6571;60;2013;117
6524;60;2013;120
6571;69;2013;126
6524;69;2013;128
8074;69;2013;130
6571;87;2013;263
6524;87;2013;273
6571;94;2013;305
6571;95;2013;314
