PEP_ID;BBCH;YEAR;DAY
19528;60;1973;87
19528;65;1973;94
19528;69;1973;100
19527;60;1973;108
19529;60;1973;112
19527;65;1973;114
19526;60;1973;115
19529;65;1973;120
19527;69;1973;120
19526;65;1973;122
19529;69;1973;122
19526;69;1973;128
19528;87;1973;177
19529;87;1973;233
19526;87;1973;248
19527;87;1973;248
19526;95;1973;286
19528;95;1973;289
19527;95;1973;300
19529;95;1973;302
19529;60;1980;123
19529;65;1980;129
19529;69;1980;134
19528;60;1981;83
19528;65;1981;89
19528;69;1981;94
19528;60;1982;96
19525;60;1984;124
19529;60;1984;125
19527;60;1984;126
19529;65;1984;127
19525;65;1984;127
19526;60;1984;128
19526;65;1984;133
19527;65;1984;136
19525;69;1984;136
19529;69;1984;138
19527;69;1984;142
19526;69;1984;145
19528;60;1985;99
19528;65;1985;104
19528;69;1985;111
19525;60;1987;100
19528;60;1987;103
19525;65;1987;103
19528;65;1987;108
19525;69;1987;109
19528;69;1987;118
19527;60;1987;121
19527;65;1987;127
19527;69;1987;140
19525;60;1988;96
19525;65;1988;101
19525;69;1988;109
19528;60;1989;71
19528;65;1989;77
19528;69;1989;80
20454;60;2013;114
20454;65;2013;118
20454;69;2013;120
20454;86;2013;213
20454;100;2013;222
19528;11;2014;91
19528;60;2014;93
