PEP_ID;BBCH;YEAR;DAY
19529;11;2002;87
19529;60;2002;90
19529;65;2002;93
19529;69;2002;105
19529;86;2002;227
19529;100;2002;232
19529;96;2002;293
19529;97;2002;304
19529;11;2003;116
19529;60;2003;118
19529;65;2003;122
19529;69;2003;126
19529;86;2003;230
19529;100;2003;242
19529;96;2003;301
19529;97;2003;304
19529;11;2004;100
19529;60;2004;109
19529;65;2004;115
19529;69;2004;122
19529;11;2005;110
19529;60;2005;118
19529;65;2005;121
19529;69;2005;125
19529;86;2005;249
19529;100;2005;253
19529;11;2013;109
19529;60;2013;113
19529;65;2013;117
19529;69;2013;120
19529;11;2014;91
19529;60;2014;93
19529;65;2014;100
19529;69;2014;105
