PEP_ID;BBCH;YEAR;DAY
19529;60;2003;105
19529;11;2003;111
19529;65;2003;113
19529;69;2003;120
19529;86;2003;227
19529;100;2003;240
19529;96;2003;300
19529;97;2003;303
19529;11;2004;100
19529;60;2004;109
19529;65;2004;115
19529;69;2004;122
19529;11;2005;110
19529;60;2005;118
19529;65;2005;121
19529;69;2005;125
19529;86;2005;249
19525;11;2013;105
19525;60;2013;108
20454;60;2013;114
19525;65;2013;114
20454;65;2013;116
20454;69;2013;120
19525;69;2013;121
19525;86;2013;271
19525;11;2014;74
19525;60;2014;83
19525;65;2014;90
19527;60;2014;100
19527;65;2014;105
19527;69;2014;110
19528;11;2015;91
19525;11;2015;97
19528;60;2015;102
19525;60;2015;103
19527;11;2015;109
19525;65;2015;110
19528;65;2015;114
19527;60;2015;118
19525;69;2015;119
19527;65;2015;127
19528;69;2015;130
19527;69;2015;132
19528;86;2015;248
19525;86;2015;264
19527;86;2015;274
19525;94;2015;294
19527;94;2015;294
19528;94;2015;306
19528;95;2015;315
19527;95;2015;318
