PEP_ID;BBCH;YEAR;DAY
4687;60;1951;120
4755;60;1951;121
4686;60;1951;122
4687;65;1951;124
4755;65;1951;124
4733;60;1951;125
4702;60;1951;126
4735;60;1951;126
4913;60;1951;126
4919;60;1951;126
4837;60;1951;127
4896;60;1951;127
4741;60;1951;128
4804;60;1951;128
4928;60;1951;128
4877;60;1951;129
5177;60;1951;129
4702;65;1951;129
4924;60;1951;130
5098;60;1951;130
4686;65;1951;130
4917;65;1951;130
4720;60;1951;131
4787;60;1951;131
5121;60;1951;131
5160;60;1951;131
4741;65;1951;131
4919;65;1951;131
4697;60;1951;132
4740;60;1951;132
5109;60;1951;132
4733;65;1951;132
4735;65;1951;132
4804;65;1951;132
4837;65;1951;132
4896;65;1951;132
4913;65;1951;132
4687;69;1951;132
4755;69;1951;132
5092;60;1951;133
4917;69;1951;133
5134;60;1951;134
5185;60;1951;134
4720;65;1951;134
4928;65;1951;134
5098;65;1951;134
4843;60;1951;135
5338;60;1951;135
4740;65;1951;135
4877;65;1951;135
4924;65;1951;135
5160;65;1951;135
4964;60;1951;136
5193;60;1951;136
5092;65;1951;136
5185;65;1951;136
4686;69;1951;136
4735;69;1951;136
4919;69;1951;136
4932;60;1951;137
5146;60;1951;137
4787;65;1951;137
4702;69;1951;137
4804;69;1951;137
5102;60;1951;138
4697;65;1951;138
5177;65;1951;138
4740;69;1951;138
4896;69;1951;138
4716;60;1951;139
5157;60;1951;139
4843;65;1951;139
4964;65;1951;139
5121;65;1951;139
4913;69;1951;139
5146;65;1951;140
5157;65;1951;140
5338;65;1951;140
4733;69;1951;140
4837;69;1951;140
4928;69;1951;140
5098;69;1951;140
5102;65;1951;141
5134;65;1951;141
4741;69;1951;141
4924;69;1951;141
5193;65;1951;142
4964;69;1951;142
4917;87;1951;142
4697;69;1951;143
4720;69;1951;143
4787;69;1951;143
4932;65;1951;144
5362;65;1951;144
5092;69;1951;144
4877;69;1951;145
5121;69;1951;145
5160;69;1951;145
4843;69;1951;146
5146;69;1951;146
5177;69;1951;146
5185;69;1951;146
5193;69;1951;146
5338;69;1951;146
5109;65;1951;148
5102;69;1951;148
5134;69;1951;148
5157;69;1951;150
4932;69;1951;152
5109;69;1951;157
4843;87;1951;214
2128;87;1951;244
2011;87;1951;247
1944;87;1951;248
479;87;1951;251
1403;87;1951;253
3088;87;1951;253
4290;87;1951;253
4782;87;1951;253
4837;87;1951;253
4735;87;1951;255
3061;87;1951;255
1327;87;1951;257
2019;87;1951;258
2380;87;1951;258
3024;87;1951;258
3099;87;1951;258
3147;87;1951;258
4346;87;1951;258
4284;87;1951;259
3101;87;1951;259
3151;87;1951;259
2213;87;1951;260
2893;87;1951;260
72;87;1951;260
484;87;1951;260
4877;87;1951;260
4244;87;1951;261
1990;87;1951;261
2080;87;1951;261
2882;87;1951;261
3081;87;1951;261
1291;87;1951;261
1914;87;1951;261
1948;87;1951;261
1943;87;1951;262
3015;87;1951;262
2014;87;1951;263
2139;87;1951;263
2198;87;1951;263
2631;87;1951;263
2959;87;1951;263
3013;87;1951;263
3141;87;1951;263
3195;87;1951;263
3283;87;1951;263
4256;87;1951;263
4669;87;1951;263
4726;87;1951;263
517;87;1951;263
721;87;1951;263
726;87;1951;263
1626;87;1951;263
1958;87;1951;263
1978;87;1951;263
739;87;1951;264
1921;87;1951;264
2002;87;1951;264
2305;87;1951;264
2354;87;1951;264
2883;87;1951;264
3202;87;1951;264
3729;87;1951;264
3969;87;1951;265
5362;87;1951;265
1480;87;1951;265
2129;87;1951;265
2376;87;1951;265
2705;87;1951;265
3041;87;1951;265
3059;87;1951;265
3136;87;1951;266
3704;87;1951;266
3705;87;1951;266
4168;87;1951;266
5121;87;1951;266
4928;87;1951;267
2065;87;1951;267
2135;87;1951;267
2383;87;1951;267
3103;87;1951;267
3209;87;1951;267
3262;87;1951;267
1169;87;1951;267
1446;87;1951;268
1606;87;1951;268
1731;87;1951;268
1896;87;1951;268
1924;87;1951;268
1931;87;1951;268
1972;87;1951;268
3750;87;1951;268
4075;87;1951;268
4131;87;1951;268
4202;87;1951;268
4246;87;1951;268
4353;87;1951;268
4439;87;1951;268
4465;87;1951;268
4503;87;1951;268
4568;87;1951;268
4687;87;1951;268
4702;87;1951;268
4964;87;1951;268
1985;87;1951;268
1986;87;1951;268
2045;87;1951;268
2049;87;1951;268
2081;87;1951;268
2293;87;1951;268
2374;87;1951;268
