PEP_ID;BBCH;YEAR;DAY
20651;0;2014;26
20652;7;2014;91
20652;11;2014;97
20652;63;2014;98
20652;92;2014;291
20651;7;2015;71
20651;11;2015;93
20652;61;2015;93
20652;11;2015;95
20652;65;2015;97
20651;61;2015;105
20651;63;2015;107
20651;65;2015;110
20651;69;2015;121
20652;87;2015;200
20652;100;2015;227
20651;87;2015;244
20651;89;2015;257
20651;100;2015;264
20652;92;2015;291
20651;92;2015;294
20652;94;2015;311
20652;95;2015;315
20651;94;2015;324
20651;95;2015;331
20651;97;2015;351
20652;7;2016;88
20652;11;2016;92
20651;7;2016;110
20651;11;2016;114
20652;61;2016;115
20651;61;2016;125
20651;63;2016;134
20651;65;2016;139
20651;69;2016;158
20651;92;2016;233
20652;87;2016;243
20651;94;2016;255
20652;100;2016;269
