PEP_ID;BBCH;YEAR;DAY
19296;11;1961;86
19296;60;1961;91
19296;65;1961;96
19296;69;1961;102
19296;86;1961;256
19296;87;1961;277
19296;94;1961;283
19296;95;1961;299
19296;11;1962;115
19296;60;1962;116
19296;65;1962;118
19296;69;1962;132
19296;86;1962;250
19296;87;1962;272
19296;94;1962;301
19296;95;1962;318
19296;11;1963;110
19296;60;1963;116
19296;65;1963;121
19296;69;1963;125
19296;87;1963;268
19296;94;1963;299
19296;95;1963;311
19296;11;1964;113
19296;60;1964;117
19296;65;1964;124
19296;69;1964;128
19296;86;1964;262
19296;87;1964;277
19296;11;1965;104
19296;60;1965;114
19296;65;1965;122
19296;69;1965;129
19296;86;1965;261
19296;87;1965;272
19296;94;1965;289
19296;11;1966;98
19296;60;1966;107
19296;65;1966;111
19296;69;1966;120
19296;86;1966;253
19296;87;1966;271
19296;94;1966;284
19296;95;1966;295
19296;11;1967;101
19296;60;1967;104
19296;65;1967;108
19295;11;1967;112
19296;69;1967;115
19295;60;1967;117
19295;65;1967;123
19295;69;1967;130
19295;86;1967;253
19296;86;1967;259
19295;87;1967;268
19296;87;1967;273
19295;94;1967;283
19296;94;1967;293
19295;95;1967;296
19296;95;1967;298
19296;11;1968;98
19295;11;1968;106
19296;60;1968;107
19296;65;1968;110
19293;11;1968;111
19295;60;1968;113
19296;69;1968;114
19295;65;1968;121
19293;60;1968;123
19295;69;1968;129
19293;65;1968;130
19293;69;1968;137
19295;86;1968;250
19296;86;1968;256
19293;86;1968;263
19296;87;1968;269
19293;87;1968;272
19295;87;1968;273
19295;94;1968;278
19295;95;1968;293
19296;94;1968;298
19293;94;1968;304
19293;95;1968;310
19296;95;1968;321
19291;11;1969;112
19296;11;1969;114
19295;11;1969;118
19291;60;1969;120
19296;60;1969;121
19295;60;1969;122
19291;65;1969;122
19293;11;1969;123
19295;65;1969;124
19296;65;1969;125
19293;60;1969;130
19296;69;1969;130
19291;69;1969;132
19293;65;1969;133
19295;69;1969;134
19293;69;1969;139
19295;86;1969;248
19296;86;1969;258
19291;86;1969;260
19296;87;1969;268
19295;87;1969;276
19295;94;1969;278
19291;87;1969;280
19295;95;1969;285
19291;94;1969;288
19293;87;1969;291
19293;94;1969;296
19296;94;1969;300
19293;95;1969;309
19296;95;1969;310
19291;95;1969;314
19291;11;1970;108
19296;11;1970;113
19291;60;1970;116
19295;11;1970;117
19296;60;1970;118
19291;65;1970;123
19296;65;1970;124
19295;60;1970;125
19293;11;1970;126
19295;65;1970;127
19296;69;1970;128
19293;60;1970;132
19295;69;1970;133
19291;69;1970;134
19293;65;1970;139
19293;69;1970;146
19291;86;1970;252
19296;86;1970;258
19295;86;1970;263
19293;86;1970;265
19291;87;1970;271
19296;87;1970;271
19295;94;1970;271
19293;87;1970;277
19295;87;1970;279
19291;94;1970;293
19295;95;1970;293
19293;94;1970;295
19296;94;1970;302
19293;95;1970;308
19296;95;1970;314
19291;95;1970;319
19296;11;1971;103
19296;60;1971;107
19291;11;1971;109
19295;11;1971;110
19291;60;1971;112
19296;65;1971;113
19295;60;1971;115
19293;11;1971;118
19291;65;1971;118
19295;65;1971;119
19296;69;1971;121
19293;60;1971;125
19295;69;1971;125
19291;69;1971;126
19293;65;1971;130
19293;69;1971;137
19291;86;1971;239
19295;86;1971;253
19296;86;1971;258
19291;87;1971;268
19296;87;1971;273
19295;87;1971;278
19291;94;1971;288
19295;94;1971;293
19293;94;1971;297
19291;95;1971;301
19293;95;1971;302
19296;94;1971;303
19295;95;1971;308
19296;95;1971;319
19291;11;1972;91
19296;11;1972;91
19296;60;1972;99
19295;11;1972;100
19291;60;1972;101
19296;65;1972;104
19295;60;1972;107
19291;65;1972;108
19296;69;1972;109
19295;65;1972;110
19291;69;1972;115
19293;11;1972;119
19295;69;1972;119
19293;60;1972;121
19293;65;1972;128
19293;69;1972;139
19291;86;1972;259
19296;86;1972;259
19296;87;1972;269
19295;86;1972;271
19295;87;1972;278
19291;87;1972;283
19295;94;1972;291
19296;94;1972;292
19293;94;1972;295
19291;94;1972;299
19295;95;1972;299
19293;95;1972;302
19296;95;1972;303
19291;95;1972;317
19295;11;1973;108
19291;11;1973;110
19296;11;1973;110
19295;60;1973;116
19295;65;1973;118
19296;60;1973;120
19295;69;1973;122
19296;65;1973;123
19291;60;1973;124
19293;11;1973;126
19291;65;1973;128
19296;69;1973;128
19293;60;1973;131
19291;69;1973;132
19293;65;1973;135
19293;69;1973;145
19296;86;1973;253
19291;86;1973;258
19295;86;1973;260
19296;87;1973;263
19293;86;1973;264
19291;87;1973;270
19293;87;1973;273
19295;87;1973;273
19295;94;1973;284
19295;95;1973;293
19291;94;1973;301
19296;94;1973;302
19293;94;1973;304
19293;95;1973;311
19296;95;1973;313
19291;95;1973;319
19295;11;1974;90
19291;11;1974;91
19296;11;1974;99
19295;60;1974;100
19291;60;1974;105
19296;60;1974;105
19293;11;1974;109
19291;65;1974;110
19295;65;1974;110
19296;65;1974;110
19295;69;1974;115
19296;69;1974;115
19291;69;1974;118
19293;60;1974;119
19293;65;1974;132
19293;69;1974;140
19291;86;1974;253
19296;86;1974;265
19295;86;1974;270
19291;87;1974;271
19296;87;1974;273
19295;87;1974;283
19291;94;1974;283
19291;95;1974;291
19296;94;1974;293
19295;94;1974;294
19296;95;1974;304
19295;95;1974;305
19291;11;1975;97
19296;11;1975;101
19295;11;1975;103
19291;60;1975;107
19296;60;1975;108
19291;65;1975;112
19295;60;1975;114
19296;65;1975;114
19293;11;1975;115
19295;65;1975;116
19291;69;1975;119
19295;69;1975;119
19296;69;1975;120
19293;60;1975;123
19293;65;1975;130
19293;69;1975;140
19291;86;1975;251
19296;86;1975;252
19295;86;1975;258
19291;87;1975;263
19296;87;1975;268
19295;87;1975;278
19293;87;1975;285
19291;94;1975;288
19295;94;1975;288
19296;94;1975;290
19296;95;1975;298
19295;95;1975;300
19291;95;1975;301
19293;94;1975;303
19293;95;1975;314
19296;11;1976;101
19291;11;1976;107
19295;11;1976;111
19296;60;1976;113
19291;60;1976;116
19296;65;1976;117
19295;60;1976;118
19291;65;1976;121
19296;69;1976;121
19295;65;1976;124
19295;69;1976;128
19293;11;1976;129
19291;69;1976;133
19293;60;1976;135
19293;65;1976;138
19293;69;1976;148
19291;86;1976;253
19296;86;1976;262
19295;86;1976;269
19293;86;1976;270
19296;87;1976;271
19291;87;1976;272
19295;87;1976;274
19293;87;1976;280
19293;94;1976;287
19291;94;1976;292
19293;95;1976;293
19295;94;1976;294
19296;94;1976;301
19295;95;1976;302
19296;95;1976;308
19291;95;1976;312
19291;11;1977;81
19296;11;1977;85
19296;60;1977;91
19295;11;1977;93
19291;60;1977;93
19293;11;1977;94
19296;65;1977;94
19291;65;1977;102
19295;60;1977;103
19296;69;1977;105
19295;65;1977;106
19291;69;1977;110
19293;60;1977;118
19295;69;1977;119
19293;65;1977;124
19293;69;1977;131
19291;86;1977;240
19296;86;1977;244
19293;86;1977;251
19291;87;1977;258
19296;87;1977;258
19293;87;1977;271
19293;94;1977;281
19296;94;1977;288
19293;95;1977;288
19291;94;1977;293
19296;95;1977;293
19291;95;1977;302
19296;11;1978;103
19291;11;1978;105
19296;60;1978;108
19295;11;1978;110
19296;65;1978;111
19291;60;1978;115
19291;65;1978;118
19295;60;1978;119
19293;11;1978;120
19296;69;1978;121
19295;65;1978;125
19291;69;1978;130
19293;60;1978;137
19293;65;1978;140
19293;69;1978;148
19296;86;1978;252
19291;86;1978;255
19293;86;1978;262
19295;86;1978;263
19291;87;1978;269
19293;87;1978;272
19296;87;1978;272
19295;87;1978;273
19296;94;1978;282
19291;94;1978;293
19296;95;1978;293
19293;94;1978;295
19293;95;1978;301
19291;95;1978;309
19291;11;1979;94
19296;11;1979;102
19291;60;1979;103
19295;11;1979;104
19291;65;1979;109
19296;60;1979;112
19295;60;1979;116
19296;65;1979;116
19295;65;1979;122
19291;69;1979;123
19296;69;1979;123
19293;11;1979;126
19295;69;1979;130
19293;60;1979;132
19293;65;1979;140
19293;69;1979;150
19291;86;1979;253
19295;86;1979;257
19296;86;1979;257
19293;86;1979;258
19291;87;1979;268
19293;87;1979;268
19296;87;1979;274
19295;87;1979;279
19295;94;1979;281
19291;94;1979;288
19296;94;1979;288
19293;94;1979;291
19291;95;1979;298
19296;95;1979;299
19293;95;1979;306
19291;11;1980;105
19296;11;1980;105
19295;11;1980;108
19296;60;1980;110
19291;60;1980;115
19295;60;1980;118
19296;65;1980;118
19291;65;1980;123
19295;65;1980;124
19293;11;1980;128
19296;69;1980;129
19291;69;1980;130
19295;69;1980;131
19293;60;1980;136
19293;65;1980;144
19293;69;1980;150
19291;86;1980;257
19296;86;1980;258
19295;86;1980;263
19291;87;1980;274
19296;87;1980;274
19295;87;1980;276
19293;86;1980;279
19295;94;1980;289
19293;87;1980;292
19295;95;1980;298
19293;94;1980;303
19296;94;1980;303
19291;94;1980;309
19296;95;1980;311
19293;95;1980;312
19291;95;1980;319
19296;11;1981;96
19291;11;1981;98
19296;60;1981;99
19296;65;1981;102
19295;11;1981;103
19291;60;1981;103
19291;65;1981;105
19295;60;1981;107
19295;65;1981;112
19293;11;1981;115
19296;69;1981;115
19291;69;1981;117
19293;60;1981;118
19295;69;1981;123
19293;65;1981;130
19293;69;1981;135
19291;86;1981;254
19296;86;1981;254
19295;86;1981;255
19291;87;1981;265
19296;87;1981;267
19293;86;1981;269
19295;87;1981;270
19293;87;1981;279
19295;94;1981;286
19291;94;1981;288
19296;94;1981;296
19293;94;1981;297
19295;95;1981;298
19293;95;1981;303
19291;95;1981;305
19296;95;1981;309
19291;11;1982;110
19296;11;1982;117
19295;11;1982;120
19296;60;1982;121
19291;60;1982;122
19295;60;1982;126
19293;11;1982;128
19295;65;1982;129
19291;65;1982;130
19296;65;1982;130
19293;60;1982;132
19296;69;1982;134
19295;69;1982;136
19291;69;1982;137
19293;65;1982;140
19293;69;1982;145
19291;86;1982;249
19295;86;1982;251
19296;86;1982;254
19293;86;1982;268
19291;87;1982;269
19295;87;1982;274
19296;87;1982;274
19293;87;1982;280
19295;94;1982;293
19296;94;1982;301
19293;94;1982;304
19296;95;1982;305
19291;94;1982;309
19295;95;1982;312
19293;95;1982;315
19291;95;1982;324
19291;11;1983;99
19296;11;1983;99
19291;60;1983;106
19295;11;1983;107
