PEP_ID;BBCH;YEAR;DAY
19301;60;1984;115
19302;60;1984;130
19301;60;1985;113
19302;60;1985;132
19301;60;1986;117
19302;60;1986;130
19301;60;1987;115
19302;60;1987;127
19301;60;1988;109
19302;60;1988;121
19301;60;1989;105
19303;60;1989;106
19302;60;1989;121
19303;60;1990;96
19301;60;1990;97
19302;60;1990;106
19301;60;1991;102
19303;60;1991;103
19302;60;1991;123
19301;60;1992;111
19303;60;1992;111
19302;60;1992;118
19301;60;1993;108
19303;60;1993;111
19302;60;1993;120
19301;60;1994;97
19303;60;1994;107
19302;60;1994;112
19305;60;1994;113
19304;60;1995;100
19301;60;1995;105
19303;60;1995;112
19302;60;1995;118
19305;60;1995;118
19304;60;1996;110
19301;60;1996;111
19306;60;1996;114
19303;60;1996;115
19302;60;1996;120
19305;60;1996;122
19304;60;1997;87
19301;60;1997;92
19303;60;1997;94
19306;60;1997;95
19305;60;1997;100
19302;60;1997;100
19304;60;1998;94
19301;60;1998;97
19303;60;1998;100
19306;60;1998;104
19302;60;1998;111
19305;60;1998;113
19304;60;1999;96
19301;60;1999;104
19306;60;1999;110
19303;60;1999;112
19305;60;1999;113
19302;60;1999;119
19304;60;2000;104
19303;60;2000;106
19301;60;2000;108
19306;60;2000;110
19305;60;2000;114
19302;60;2000;117
19304;60;2001;96
19301;60;2001;100
19306;60;2001;110
19303;60;2001;110
19305;60;2001;113
19302;60;2001;113
19304;60;2002;93
19301;60;2002;102
19306;60;2002;104
19303;60;2002;105
19305;60;2002;106
19302;60;2002;113
19301;60;2003;106
19306;60;2003;110
19302;60;2003;115
