PEP_ID;BBCH;YEAR;DAY
20451;100;1951;273
20451;95;1951;277
20451;60;1952;141
20451;65;1952;146
20452;81;1953;272
20452;100;1953;282
20452;95;1953;329
20450;60;1954;96
20450;65;1954;99
20449;60;1955;92
20449;65;1955;97
20448;60;1956;116
20448;65;1956;117
20448;69;1956;120
20449;60;1957;94
20449;65;1957;98
20449;69;1957;101
20450;60;1958;104
20450;65;1958;107
20449;60;1958;119
20449;65;1958;126
20451;60;1958;131
20449;69;1958;132
20451;65;1958;133
20451;69;1958;136
20450;81;1958;182
20450;100;1958;188
20449;81;1958;231
20449;100;1958;252
20449;60;1960;118
20449;65;1960;123
20449;69;1960;132
20448;60;1962;108
20449;60;1962;125
20449;65;1962;129
20449;69;1962;131
20449;60;1963;118
20449;65;1963;121
20449;69;1963;126
20449;81;1963;238
20449;100;1963;262
20451;94;1963;292
20451;100;1963;300
20452;100;1963;301
20451;95;1963;308
20452;94;1963;311
20452;95;1963;319
20449;94;1963;323
20449;95;1963;328
20449;60;1964;120
20449;65;1964;123
20449;69;1964;130
20452;60;1964;145
20452;65;1964;155
20449;81;1964;249
20449;100;1964;262
20449;94;1964;320
20449;95;1964;331
20449;60;1965;127
20452;60;1965;128
20449;65;1965;133
20449;69;1965;137
20449;94;1965;301
20449;95;1965;323
20449;60;1966;115
20449;65;1966;119
20449;69;1966;123
20449;94;1966;313
20449;95;1966;334
20449;60;1967;112
20449;65;1967;114
20449;69;1967;116
20450;81;1967;234
20450;100;1967;238
20449;81;1967;243
20449;100;1967;262
20449;94;1967;292
20449;95;1967;320
20452;60;1968;110
20452;65;1968;116
20452;69;1968;121
20448;60;1969;103
20449;60;1969;120
20449;65;1969;124
20449;69;1969;126
20449;81;1969;243
20449;100;1969;262
20449;94;1969;292
20449;95;1969;301
20448;60;1970;105
20448;65;1970;110
20452;60;1970;120
20449;60;1970;124
20452;65;1970;126
20449;65;1970;129
20452;69;1970;130
20449;69;1970;133
20449;81;1970;257
20449;100;1970;272
20449;94;1970;291
20452;100;1970;293
20452;94;1970;301
20449;95;1970;301
20452;95;1970;309
20449;60;1971;122
20449;65;1971;125
20449;69;1971;127
20449;81;1971;262
20452;81;1971;266
20449;100;1971;271
20452;100;1971;296
20449;94;1971;297
20452;94;1971;299
20449;95;1971;300
20452;95;1971;307
20449;60;1972;105
20449;65;1972;111
20449;69;1972;117
20452;60;1972;121
20452;65;1972;127
20452;69;1972;130
20449;81;1972;248
20449;100;1972;259
20452;81;1972;271
20449;94;1972;287
20449;95;1972;298
20452;100;1972;300
20452;94;1972;312
20452;60;1973;117
20452;65;1973;123
20449;60;1973;125
20449;65;1973;128
20449;69;1973;131
20452;69;1973;131
20449;81;1973;252
20452;81;1973;266
20449;100;1973;267
20452;100;1973;295
20449;94;1973;297
20452;94;1973;297
20449;95;1973;305
20452;95;1973;308
20449;60;1975;121
20449;65;1975;126
20449;69;1975;129
20449;81;1975;262
20449;100;1975;271
20449;94;1975;299
20449;95;1975;308
20449;81;1976;250
20449;100;1976;270
20449;60;1977;107
20449;65;1977;113
20449;69;1977;117
20449;81;1977;242
20449;100;1977;258
20449;60;1978;122
20449;65;1978;128
20449;69;1978;131
20449;81;1978;247
20449;100;1978;267
20449;94;1978;296
20449;95;1978;309
20449;60;1979;118
20449;65;1979;128
20449;69;1979;137
20449;81;1979;246
20449;100;1979;264
20449;94;1979;296
20449;95;1979;307
20452;60;1981;115
20452;65;1981;126
20452;69;1981;135
20452;81;1981;246
20452;100;1981;260
20452;94;1981;287
20449;94;1981;294
20452;95;1981;300
20449;95;1981;306
20449;60;1984;126
20449;65;1984;135
20449;69;1984;143
20449;81;1984;271
20449;94;1984;290
20449;100;1984;292
20449;95;1984;306
20451;60;1986;126
20451;65;1986;135
20451;69;1986;147
20451;81;1986;243
20451;100;1986;257
20451;94;1986;269
20451;95;1986;297
20452;60;1988;127
20452;65;1988;135
20451;60;1988;136
20451;65;1988;141
20452;69;1988;145
20451;69;1988;150
20451;81;1988;250
20452;81;1988;252
20451;100;1988;261
20452;94;1988;302
20451;95;1988;309
20452;95;1988;325
20449;60;1990;99
20451;60;1990;121
20451;65;1990;127
20449;65;1990;129
20449;69;1990;134
20451;69;1990;144
20449;81;1990;243
20451;81;1990;249
20449;100;1990;257
20451;100;1990;263
20451;94;1990;279
20451;95;1990;305
20449;94;1990;323
20449;95;1990;333
