PEP_ID;BBCH;YEAR;DAY
20448;60;1993;101
20448;65;1993;109
20448;81;1993;287
20448;100;1993;307
20448;94;1993;313
20448;95;1993;323
20448;60;1996;112
20448;65;1996;118
20448;69;1996;136
20448;81;1996;249
20448;100;1996;265
20448;94;1996;330
20448;95;1996;345
20451;60;2002;110
20451;65;2002;115
20451;69;2002;122
20451;81;2002;254
20451;94;2002;272
20451;100;2002;273
20448;60;2007;86
20450;60;2007;91
20450;65;2007;104
20448;60;2008;92
20448;65;2008;101
20448;69;2008;111
20448;81;2008;182
20448;100;2008;202
20448;94;2008;294
20448;95;2008;310
20448;60;2009;90
20448;65;2009;99
20448;69;2009;113
20448;81;2009;180
20448;100;2009;200
20448;94;2009;300
20448;95;2009;308
20448;60;2010;90
20450;60;2010;99
20448;65;2010;99
20448;69;2010;107
20450;65;2010;111
20450;69;2010;129
20448;81;2010;180
20448;100;2010;200
20448;94;2010;292
20448;95;2010;300
20448;60;2011;93
20448;65;2011;103
20448;69;2011;118
20448;81;2011;181
20448;100;2011;204
20448;94;2011;291
20448;95;2011;299
20451;60;2012;123
20451;65;2012;129
20451;69;2012;141
