PEP_ID;BBCH;YEAR;DAY
20451;60;1952;136
20451;65;1952;141
20452;81;1953;264
20452;100;1953;267
20452;60;1954;131
20452;65;1954;142
20452;60;1955;119
20451;60;1955;125
20451;65;1955;132
20452;65;1955;133
20452;81;1955;268
20451;81;1955;269
20451;100;1955;279
20452;100;1955;288
20452;95;1955;325
20451;60;1960;119
20451;65;1960;126
20452;100;1961;221
20452;60;1966;109
20452;65;1966;113
20452;69;1966;118
20452;100;1966;297
20452;94;1966;315
20452;60;1967;106
20452;65;1967;116
20452;69;1967;119
20452;60;1968;120
20452;65;1968;126
20452;69;1968;128
20452;60;1971;122
20452;65;1971;128
20452;69;1971;129
20449;60;1974;108
20449;65;1974;114
20452;60;1974;116
20449;69;1974;117
20452;65;1974;126
20452;69;1974;132
20452;81;1974;264
20452;100;1974;297
20452;94;1974;300
20449;94;1974;300
20452;95;1974;309
20449;95;1974;318
20452;100;1976;284
20452;94;1976;289
20452;95;1976;304
20450;60;1977;109
20452;65;1977;112
20450;65;1977;129
20450;69;1977;136
20452;100;1977;267
20452;94;1977;297
20452;60;1978;119
20452;65;1978;124
20452;69;1978;129
20452;81;1978;250
20452;100;1978;283
20452;94;1978;287
20452;95;1978;295
20452;60;1979;114
20452;65;1979;125
20452;69;1979;138
20452;81;1979;256
20452;100;1979;273
20452;94;1979;287
20452;95;1979;298
20449;60;1980;126
20449;65;1980;134
20449;69;1980;142
20449;81;1980;269
20449;100;1980;288
20449;94;1980;304
20449;95;1980;320
20452;60;1981;112
20452;65;1981;126
20452;69;1981;137
20452;81;1981;259
20452;100;1981;281
20452;94;1981;293
20452;95;1981;310
20451;60;1983;123
20451;65;1983;135
20451;69;1983;142
20451;81;1983;246
20451;100;1983;278
20451;60;1984;133
20451;65;1984;145
20451;69;1984;154
20451;81;1984;264
20451;94;1984;294
20451;95;1984;315
20449;60;1985;123
20449;65;1985;131
20449;69;1985;138
20449;81;1985;258
20449;100;1985;293
20449;94;1985;299
20449;60;1986;108
20449;65;1986;118
20449;69;1986;131
20449;81;1986;241
20449;100;1986;256
20449;94;1986;269
20449;95;1986;298
20452;60;1988;125
20452;65;1988;131
20452;69;1988;136
20452;81;1988;248
20452;100;1988;264
20452;94;1988;289
20452;95;1988;325
20452;60;1989;99
20451;60;1989;103
20451;65;1989;111
20452;65;1989;114
20449;60;1989;116
20449;65;1989;120
20452;69;1989;124
20449;69;1989;124
20451;69;1989;126
20452;81;1989;243
20451;81;1989;252
20452;100;1989;262
20449;81;1989;263
20451;100;1989;269
20449;100;1989;271
20452;94;1989;282
20451;94;1989;289
20452;95;1989;297
20451;95;1989;306
20452;60;1990;104
20452;65;1990;119
20452;69;1990;129
20452;94;1990;267
20452;95;1990;318
20449;60;1993;114
20449;65;1993;120
20450;60;1993;126
20449;69;1993;126
20452;60;1993;127
20450;65;1993;129
20452;65;1993;132
20450;69;1993;132
20452;69;1993;137
20452;81;1993;147
20452;100;1993;226
20452;94;1993;250
20449;81;1993;270
20450;81;1993;277
20450;100;1993;282
20449;100;1993;282
20449;94;1993;292
20452;95;1993;292
20449;95;1993;302
20450;94;1993;304
20450;95;1993;338
20448;65;2000;101
20449;60;2001;99
20449;65;2001;109
20449;81;2001;247
20449;100;2001;272
20452;60;2004;116
20449;60;2004;118
20451;60;2004;122
20449;65;2004;123
20452;65;2004;126
20451;65;2004;129
20452;69;2004;133
20451;69;2004;144
20452;81;2004;207
20451;81;2004;233
20451;100;2004;254
20449;81;2004;259
20449;100;2004;272
20452;100;2004;275
20451;94;2004;294
20452;94;2004;299
20451;95;2004;304
20452;95;2004;315
20452;60;2005;119
20450;60;2005;120
20450;65;2005;123
20451;60;2005;127
20452;65;2005;129
20452;69;2005;134
20451;65;2005;137
20451;69;2005;143
20451;81;2005;226
20452;81;2005;231
20450;81;2005;252
20452;100;2005;262
20450;100;2005;267
20451;100;2005;269
20452;94;2005;273
20450;94;2005;282
20451;94;2005;287
20452;95;2005;292
20450;95;2005;301
20451;95;2005;304
20449;60;2006;115
20449;65;2006;118
20452;60;2006;119
20449;69;2006;121
20451;60;2006;124
20452;65;2006;124
20451;65;2006;134
20452;69;2006;139
20451;69;2006;144
20449;81;2006;242
20451;81;2006;252
20452;81;2006;257
20449;100;2006;266
20451;100;2006;269
20449;94;2006;281
20451;94;2006;287
20452;100;2006;287
20449;95;2006;296
20452;94;2006;297
20451;95;2006;297
20452;95;2006;302
20448;60;2007;87
20448;65;2007;92
20448;69;2007;101
20451;60;2007;104
20452;60;2007;107
20449;60;2007;109
20451;65;2007;109
20452;65;2007;112
20449;65;2007;113
20449;69;2007;116
20451;69;2007;119
20452;69;2007;119
20452;81;2007;225
20449;81;2007;247
20452;100;2007;267
20449;100;2007;270
20452;94;2007;302
20452;95;2007;313
20450;60;2008;91
20448;60;2008;96
20448;65;2008;103
20451;60;2008;106
20452;60;2008;111
20449;60;2008;111
20451;65;2008;111
20448;69;2008;111
20449;65;2008;116
20452;65;2008;116
20451;69;2008;121
20449;69;2008;121
20452;69;2008;126
20448;81;2008;235
20449;81;2008;254
20451;81;2008;254
20452;81;2008;259
20452;100;2008;269
20451;100;2008;271
20449;100;2008;274
20449;94;2008;279
20451;94;2008;280
20449;95;2008;294
20452;94;2008;299
20448;94;2008;299
20452;95;2008;315
20448;95;2008;315
20448;60;2009;98
20450;60;2009;99
20450;65;2009;104
20448;65;2009;109
20452;60;2009;114
20449;60;2009;114
20452;65;2009;117
20449;65;2009;119
20448;69;2009;119
20451;60;2009;120
20449;69;2009;123
20452;69;2009;124
20451;65;2009;127
20451;69;2009;142
20451;81;2009;231
20449;81;2009;252
20452;81;2009;252
20451;100;2009;252
20449;100;2009;272
20451;94;2009;282
20452;100;2009;287
20451;95;2009;291
20452;94;2009;304
20452;95;2009;308
20448;60;2010;94
20448;65;2010;101
20448;69;2010;109
20452;60;2010;114
20449;60;2010;117
20452;65;2010;119
20449;65;2010;120
20451;60;2010;124
20449;69;2010;124
20451;65;2010;127
20452;69;2010;129
20451;69;2010;134
20448;81;2010;178
20452;81;2010;226
20449;81;2010;252
20452;100;2010;252
20451;81;2010;262
20449;100;2010;272
20449;94;2010;282
20449;95;2010;292
20451;100;2010;292
20448;94;2010;297
20452;94;2010;297
20451;94;2010;304
20452;95;2010;308
20448;95;2010;313
20451;95;2010;323
20450;60;2011;88
20448;60;2011;94
20450;65;2011;99
20448;65;2011;102
20449;60;2011;108
20452;60;2011;108
20449;65;2011;112
20452;65;2011;113
20451;60;2011;114
20448;69;2011;116
20449;69;2011;116
20451;65;2011;118
20452;69;2011;123
20451;69;2011;129
20448;81;2011;178
20449;81;2011;243
20452;81;2011;262
20449;100;2011;262
20450;81;2011;267
20450;100;2011;273
20451;100;2011;286
20452;100;2011;287
20448;94;2011;299
20451;94;2011;301
20452;94;2011;308
20451;95;2011;312
20452;95;2011;318
20448;95;2011;318
20452;60;2012;113
20449;60;2012;116
20449;65;2012;119
20452;65;2012;122
20451;60;2012;123
20449;69;2012;125
20451;65;2012;129
20452;69;2012;131
20451;69;2012;141
20449;81;2012;252
20452;81;2012;254
20449;100;2012;269
20452;100;2012;279
20452;94;2012;310
20452;95;2012;320
20448;60;2013;84
20450;60;2014;81
20448;60;2014;90
20450;65;2014;91
20450;69;2014;95
20452;60;2014;110
20449;60;2014;112
20449;65;2014;115
20448;65;2014;115
20451;60;2014;120
20449;69;2014;120
20452;65;2014;121
20451;65;2014;126
20448;69;2014;128
20452;69;2014;130
20451;69;2014;138
20452;81;2014;232
20448;81;2014;238
20451;81;2014;242
20449;81;2014;253
20448;87;2014;254
20452;87;2014;258
20451;87;2014;268
20449;87;2014;271
20451;96;2014;283
20451;97;2014;293
20448;96;2014;299
20449;96;2014;302
20452;96;2014;309
20449;97;2014;309
20452;97;2014;319
20448;97;2014;320
