PEP_ID;BBCH;YEAR;DAY
20449;60;2006;119
20449;65;2006;122
20449;69;2006;125
20449;81;2006;243
20449;100;2006;267
20449;94;2006;282
20449;95;2006;297
20448;60;2007;87
20448;65;2007;93
20448;69;2007;104
20449;60;2007;107
20449;65;2007;111
20449;69;2007;115
20449;81;2007;247
20449;100;2007;270
20448;60;2008;100
20448;65;2008;106
20448;69;2008;111
20449;60;2008;114
20449;65;2008;118
20449;69;2008;121
20449;81;2008;254
20448;81;2008;264
20449;100;2008;274
20449;94;2008;279
20449;95;2008;294
20448;100;2008;294
20448;94;2008;313
20448;95;2008;320
20449;60;2009;111
20449;65;2009;117
20449;69;2009;121
20449;81;2009;252
20449;100;2009;272
20448;60;2010;98
20448;65;2010;104
20448;69;2010;109
20449;60;2010;115
20449;65;2010;120
20449;69;2010;123
20449;81;2010;252
20449;100;2010;272
20449;94;2010;282
20448;81;2010;292
20449;95;2010;292
20448;100;2010;302
20448;94;2010;311
20448;95;2010;318
20449;60;2011;110
20449;65;2011;113
20449;69;2011;116
20449;81;2011;247
20449;100;2011;267
20449;60;2012;119
20449;65;2012;124
20449;69;2012;127
20449;81;2012;254
20449;100;2012;274
