PEP_ID;BBCH;YEAR;DAY
6862;60;1961;100
6870;60;1961;100
6875;60;1961;100
6864;60;1961;102
6866;60;1961;102
6870;65;1961;102
6868;60;1961;103
6873;60;1961;104
6874;60;1961;104
6865;60;1961;106
6862;65;1961;106
6866;65;1961;106
6874;65;1961;106
6863;60;1961;107
6864;65;1961;107
6873;65;1961;107
6875;65;1961;107
6865;65;1961;108
6868;65;1961;108
6863;65;1961;109
6874;69;1961;110
6868;69;1961;111
6865;69;1961;112
6875;69;1961;112
6872;60;1961;114
6863;69;1961;115
6864;69;1961;115
6866;69;1961;115
6862;69;1961;116
6872;65;1961;119
6870;69;1961;119
6873;69;1961;122
6872;69;1961;127
6867;60;1962;111
6867;65;1962;119
6864;60;1962;126
6865;60;1962;126
6874;60;1962;126
6863;60;1962;127
6873;60;1962;127
6868;60;1962;128
6870;60;1962;128
6862;60;1962;129
6875;60;1962;129
6865;65;1962;129
6874;65;1962;129
6866;60;1962;130
6864;65;1962;130
6870;65;1962;130
6873;65;1962;130
6863;65;1962;131
6868;65;1962;131
6865;69;1962;132
6867;69;1962;132
6862;65;1962;133
6875;65;1962;133
6870;69;1962;133
6873;69;1962;133
6866;65;1962;134
6874;69;1962;135
6862;69;1962;136
6864;69;1962;136
6863;69;1962;138
6866;69;1962;138
6868;69;1962;139
6875;69;1962;139
6872;60;1962;146
6872;65;1962;151
6872;69;1962;167
6862;60;1963;117
6867;60;1963;117
6870;60;1963;119
6864;60;1963;120
6866;60;1963;120
6873;60;1963;120
6862;65;1963;120
6867;65;1963;120
6867;69;1963;122
6875;60;1963;123
6874;60;1963;124
6865;60;1963;125
6870;65;1963;125
6875;65;1963;125
6864;65;1963;126
6863;60;1963;127
6862;69;1963;127
6866;65;1963;128
6874;65;1963;128
6868;60;1963;129
6865;65;1963;129
6863;65;1963;130
6873;65;1963;131
6863;69;1963;132
6864;69;1963;132
6874;69;1963;132
6865;69;1963;133
6866;69;1963;134
6870;69;1963;135
6875;69;1963;135
6868;65;1963;136
6873;69;1963;140
6872;60;1963;143
6868;69;1963;143
6872;65;1963;149
6872;69;1963;161
6867;60;1964;116
6867;65;1964;120
6866;60;1964;124
6867;69;1964;124
6862;60;1964;125
6868;60;1964;125
6875;60;1964;125
6866;65;1964;127
6873;60;1964;128
6862;65;1964;128
6868;65;1964;128
6863;60;1964;129
6874;60;1964;129
6864;60;1964;130
6865;60;1964;130
6870;60;1964;130
6875;65;1964;131
6863;65;1964;132
6865;65;1964;132
6873;65;1964;132
6874;65;1964;132
6864;65;1964;133
6870;65;1964;133
6862;69;1964;134
6866;69;1964;134
6868;69;1964;134
6872;60;1964;135
6870;69;1964;135
6864;69;1964;136
