PEP_ID;BBCH;YEAR;DAY
6862;60;2010;112
6873;60;2010;113
6875;60;2010;114
6863;60;2010;114
6862;65;2010;115
6875;65;2010;116
6863;65;2010;116
6873;65;2010;116
6874;60;2010;119
6873;69;2010;120
6874;65;2010;121
6874;69;2010;122
6862;69;2010;123
6863;69;2010;125
6875;69;2010;125
6872;60;2010;130
6872;65;2010;133
6872;69;2010;140
6875;60;2011;105
6863;60;2011;105
6862;60;2011;105
6862;65;2011;108
6875;65;2011;108
6863;65;2011;108
6862;69;2011;112
6872;60;2011;115
6875;69;2011;115
6863;69;2011;115
6874;60;2011;116
6874;65;2011;118
6872;65;2011;118
6874;69;2011;119
6872;69;2011;126
6875;60;2012;99
6863;60;2012;99
6862;60;2012;103
6873;60;2012;106
6875;65;2012;106
6863;65;2012;106
6862;65;2012;106
6873;65;2012;108
6874;60;2012;113
6862;69;2012;115
6873;69;2012;116
6874;65;2012;117
6875;69;2012;119
6863;69;2012;120
6874;69;2012;121
6872;60;2012;131
6872;65;2012;133
6872;69;2012;136
6873;60;2013;115
6862;60;2013;117
6863;60;2013;117
6875;60;2013;117
6874;60;2013;118
6873;65;2013;118
6863;65;2013;119
6875;65;2013;119
6862;65;2013;120
6874;65;2013;120
6873;69;2013;122
6874;69;2013;125
6863;69;2013;129
6875;69;2013;129
6862;69;2013;130
6872;60;2013;140
6872;65;2013;143
6872;69;2013;150
