PEP_ID;BBCH;YEAR;DAY
20448;60;1952;72
20448;81;1952;153
20449;60;1953;77
20449;65;1953;86
20448;60;1954;82
20448;65;1954;88
20450;81;1954;171
20450;100;1954;179
20448;60;1955;63
20449;60;1955;91
20449;65;1955;93
20448;60;1956;101
20448;65;1956;106
20448;60;1957;73
20448;65;1957;78
20448;95;1957;323
20450;60;1958;112
20450;81;1958;181
20450;100;1958;188
20450;95;1958;306
20450;60;1959;92
20449;60;1959;95
20450;65;1959;96
20449;65;1959;104
20449;69;1959;109
20450;81;1959;110
20449;81;1959;139
20449;100;1959;151
20449;94;1959;155
20450;100;1959;174
20450;65;1960;84
20450;81;1960;165
20450;100;1960;172
20448;60;1961;66
20448;65;1961;73
20450;81;1961;155
20450;100;1961;162
20448;81;1961;173
20448;100;1961;179
20452;100;1961;226
20448;60;1962;82
20448;65;1962;90
20448;69;1962;97
20450;81;1962;176
20450;100;1962;178
20448;95;1962;315
20450;81;1963;192
20450;100;1963;195
20448;95;1963;308
20448;60;1964;81
20448;65;1964;84
20450;60;1964;90
20448;69;1964;93
20450;65;1964;95
20450;69;1964;98
20448;81;1964;140
20450;81;1964;174
20450;100;1964;176
20448;100;1964;178
20448;95;1964;319
20450;60;1965;90
20450;65;1965;96
20450;69;1965;99
20450;81;1965;157
20450;100;1965;165
20448;81;1965;178
20450;60;1966;31
20450;65;1966;35
20450;69;1966;40
20448;60;1966;64
20448;65;1966;71
20450;81;1966;170
20450;100;1966;175
20450;94;1966;286
20450;95;1966;297
20448;60;1967;70
20448;65;1967;74
20448;69;1967;79
20450;65;1967;94
20450;69;1967;101
20450;81;1967;151
20450;100;1967;156
20450;94;1967;286
20450;95;1967;297
20448;60;1969;74
20448;65;1969;80
20448;69;1969;94
20450;81;1969;174
20450;100;1969;180
20448;94;1969;298
20448;95;1969;328
20448;60;1970;81
20450;81;1970;178
20450;100;1970;180
20448;94;1970;307
20448;95;1970;315
20450;81;1971;172
20450;100;1971;175
20450;60;1972;106
20450;65;1972;111
20450;69;1972;167
20450;100;1972;175
20450;60;1974;63
20450;65;1974;67
20450;69;1974;94
20450;81;1974;160
20450;100;1974;165
20450;60;1975;99
20450;65;1975;104
20450;69;1975;109
20450;81;1975;170
20450;100;1975;175
20450;60;1979;70
20450;65;1979;78
20450;69;1979;89
20450;81;1979;165
20450;100;1979;175
20450;94;1979;283
20450;95;1979;292
20448;60;1983;74
20448;65;1983;78
20448;69;1983;83
20450;65;1983;101
20450;69;1983;105
20448;81;1983;165
20448;100;1983;169
20450;81;1983;200
20450;100;1983;209
20448;60;1984;79
20448;65;1984;86
20448;69;1984;96
20450;69;1985;96
20450;81;1985;175
20450;100;1985;180
20450;94;1985;300
20450;95;1985;323
20448;60;1990;76
20448;65;1990;80
20448;69;1990;125
20448;81;1990;177
20448;100;1990;179
20448;94;1990;296
20448;95;1990;330
20448;60;1993;73
20448;65;1993;77
20448;69;1993;113
20448;81;1993;186
20448;100;1993;205
20448;94;1993;330
20448;95;1993;351
20450;60;1994;76
20450;65;1994;81
20450;81;1994;186
20450;100;1994;190
20450;94;1994;271
20450;95;1994;284
20448;60;1996;80
20448;65;1996;86
20448;69;1996;87
20448;81;1996;181
20448;100;1996;192
20448;94;1996;335
20448;95;1996;340
20449;60;1998;73
20449;65;1998;86
20448;60;2000;76
20448;65;2000;80
20448;69;2000;87
20450;60;2002;61
20450;65;2002;66
20450;69;2002;70
20450;60;2005;82
20450;65;2005;87
20450;81;2005;151
20450;100;2005;157
20450;94;2005;286
20450;95;2005;315
20450;60;2007;50
20448;60;2007;56
20450;65;2007;58
20450;69;2007;66
20450;60;2008;58
20450;65;2008;62
20448;60;2008;80
20448;65;2008;87
20448;69;2008;95
20448;81;2008;167
20448;100;2008;177
20448;94;2008;216
20448;95;2008;254
20448;60;2009;78
20448;65;2009;87
20448;69;2009;94
20448;81;2009;170
20448;100;2009;178
20448;94;2009;262
20448;95;2009;282
20450;60;2010;76
20448;60;2010;78
20448;65;2010;85
20448;69;2010;93
20450;81;2010;155
20450;100;2010;160
20448;81;2010;170
20450;60;2011;60
20450;65;2011;65
20448;60;2011;77
20450;69;2011;78
20448;65;2011;92
20448;69;2011;103
20450;100;2011;150
20448;81;2011;169
20448;94;2011;269
20448;95;2011;296
20448;60;2013;68
20448;65;2013;73
