PEP_ID;BBCH;YEAR;DAY
19529;0;1971;82
19529;10;1971;97
19527;0;1971;98
19525;0;1971;104
19526;0;1971;110
19525;10;1971;115
19527;10;1971;117
19526;10;1971;121
19529;55;1971;162
19527;55;1971;167
19527;85;1971;167
19526;55;1971;171
19525;55;1971;173
19529;85;1971;189
19525;85;1971;196
19526;85;1971;207
19525;0;1972;75
19527;0;1972;80
19527;10;1972;90
19525;10;1972;96
19527;51;1972;160
19525;51;1972;174
19527;55;1972;194
19525;55;1972;202
19527;59;1972;207
19525;59;1972;207
19529;0;1973;83
19525;0;1973;87
19525;10;1973;99
19529;10;1973;99
19527;0;1973;107
19527;10;1973;120
19529;51;1973;158
19525;51;1973;166
19529;55;1973;167
19529;59;1973;178
19525;55;1973;179
19525;59;1973;188
19529;0;1981;76
19528;0;1981;81
19526;0;1981;83
19529;10;1981;85
19525;0;1981;89
19528;10;1981;91
19526;10;1981;93
19525;10;1981;105
19529;55;1981;157
19528;55;1981;158
19528;85;1981;169
19526;55;1981;179
19525;55;1981;188
19529;85;1981;196
19526;85;1981;203
19525;85;1981;204
19529;0;1982;76
19528;0;1982;84
19525;0;1982;87
19529;10;1982;88
19528;10;1982;94
19525;10;1982;100
19526;0;1982;111
19526;10;1982;126
19528;55;1982;157
19529;55;1982;164
19528;85;1982;177
19526;55;1982;187
19529;85;1982;200
19525;55;1982;201
19526;85;1982;206
19525;85;1982;214
19529;0;1983;69
19528;0;1983;74
19529;10;1983;77
19525;0;1983;83
19528;10;1983;86
19526;0;1983;88
19525;10;1983;92
19526;10;1983;107
19528;55;1983;148
19529;55;1983;156
19525;55;1983;169
19528;85;1983;169
19529;85;1983;177
19526;55;1983;190
19525;85;1983;191
19526;85;1983;227
19528;0;1984;92
19528;10;1984;97
19528;55;1984;101
19528;85;1984;111
19529;10;1984;114
19527;0;1984;116
19525;10;1984;119
19529;55;1984;119
19525;0;1984;121
19527;10;1984;121
19525;55;1984;124
19529;0;1984;125
19526;10;1984;126
19526;55;1984;128
19526;0;1984;129
19527;55;1984;134
19525;0;1985;87
19526;0;1985;95
19525;10;1985;108
19526;10;1985;108
19525;55;1985;161
19526;55;1985;170
19525;85;1985;191
19526;85;1985;205
19528;0;1987;96
19525;0;1987;97
19528;10;1987;104
19526;0;1987;110
19525;10;1987;111
19526;10;1987;125
19528;55;1987;166
19525;55;1987;182
19528;85;1987;188
19526;55;1987;198
19526;85;1987;209
19525;85;1987;217
19528;0;1988;97
19525;0;1988;97
19528;10;1988;105
19529;0;1988;106
19526;0;1988;110
19525;10;1988;116
19526;10;1988;120
19529;10;1988;124
19528;55;1988;167
19529;55;1988;172
19529;85;1988;186
19528;85;1988;191
19526;55;1988;196
19525;55;1988;202
19526;85;1988;207
19525;85;1988;210
19525;0;1989;87
19528;0;1989;87
19526;0;1989;95
19525;10;1989;105
19526;10;1989;106
19528;10;1989;112
19528;55;1989;169
19525;55;1989;179
19526;55;1989;191
19528;85;1989;191
19525;85;1989;193
19526;85;1989;199
19529;55;2001;123
19529;85;2001;176
19529;100;2001;182
19529;0;2001;281
19529;10;2001;289
19529;55;2002;126
19529;85;2002;166
19529;100;2002;179
19529;0;2002;289
19529;10;2002;301
19529;55;2003;126
19529;85;2003;161
19529;100;2003;177
19529;0;2003;283
19526;0;2003;289
19529;10;2003;295
19526;10;2003;304
19529;55;2004;141
19526;55;2004;157
19526;85;2004;182
19529;85;2004;183
19529;100;2004;192
19526;100;2004;218
19529;0;2004;279
19529;10;2004;291
19529;55;2005;142
19529;85;2005;174
19529;100;2005;197
