PEP_ID;BBCH;YEAR;DAY
19296;55;1973;140
19297;55;1973;141
19296;85;1973;170
19297;85;1973;172
19297;100;1973;179
19296;100;1973;186
19297;0;1973;285
19297;10;1973;302
19296;0;1973;349
19296;10;1973;351
19297;55;1975;138
19297;85;1975;174
19297;100;1975;184
19297;0;1975;297
19297;10;1975;320
19297;55;1976;145
19297;85;1976;181
19297;100;1976;187
19297;0;1976;298
19297;10;1976;321
19296;55;1977;131
19297;55;1977;137
19296;85;1977;161
19297;85;1977;172
19296;100;1977;175
19297;100;1977;176
19296;0;1977;296
19297;0;1977;301
19297;10;1977;314
19296;10;1977;321
19297;55;1978;141
19297;85;1978;181
19297;100;1978;189
19297;0;1978;301
19297;10;1978;314
19297;55;1979;141
19297;85;1979;170
19297;100;1979;186
19297;0;1979;298
19297;10;1979;311
19296;55;1980;136
19297;55;1980;143
19296;85;1980;172
19297;85;1980;180
19297;100;1980;191
19296;100;1980;191
19297;0;1980;280
19296;0;1980;284
19297;10;1980;294
19296;10;1980;299
19297;55;1981;140
19297;85;1981;176
19297;100;1981;187
19297;0;1981;288
19297;10;1981;304
19296;55;1982;133
19297;55;1982;140
19296;85;1982;171
19297;85;1982;176
19297;100;1982;184
19296;100;1982;190
19296;0;1982;278
19296;10;1982;298
19297;0;1982;303
19297;10;1982;321
19291;55;1983;118
19297;55;1983;135
19291;85;1983;152
19291;100;1983;166
19297;85;1983;167
19297;100;1983;176
19291;0;1983;271
19291;10;1983;283
19297;0;1983;290
19297;10;1983;300
19296;55;1984;135
19297;55;1984;153
19296;85;1984;171
19297;85;1984;188
19296;100;1984;190
19297;100;1984;194
19296;0;1984;278
19297;0;1984;281
19296;10;1984;293
19297;10;1984;296
19291;55;1985;129
19296;55;1985;130
19297;55;1985;150
19291;85;1985;164
19296;85;1985;164
19291;100;1985;175
19296;100;1985;178
19297;85;1985;188
19297;100;1985;197
19297;0;1985;288
19296;0;1985;291
19291;0;1985;292
19291;10;1985;302
19296;10;1985;303
19297;10;1985;304
19296;55;1986;129
19297;55;1986;137
19296;85;1986;171
19296;100;1986;178
19297;85;1986;180
19297;100;1986;194
19296;0;1986;295
19297;0;1986;300
19296;10;1986;309
19297;10;1986;311
19297;55;1987;140
19297;85;1987;181
19297;100;1987;196
19297;0;1987;284
19297;10;1987;298
19292;55;1988;125
19296;55;1988;127
19297;55;1988;137
19292;85;1988;168
19296;85;1988;170
19297;85;1988;178
19292;100;1988;178
19296;100;1988;181
19297;100;1988;190
19296;0;1988;277
19297;0;1988;289
19296;10;1988;290
19297;10;1988;303
19292;0;1988;315
19292;10;1988;327
19292;55;1989;116
19291;55;1989;124
19297;55;1989;134
19292;85;1989;163
19291;85;1989;166
19292;100;1989;171
19297;85;1989;176
19291;100;1989;178
19297;100;1989;191
19291;0;1989;284
19297;0;1989;289
19297;10;1989;298
19291;10;1989;309
19292;0;1989;314
19292;10;1989;326
19292;55;1990;120
19291;55;1990;124
19297;55;1990;128
19291;85;1990;154
19292;85;1990;154
19297;85;1990;166
19292;100;1990;170
19291;100;1990;173
19297;100;1990;180
19291;0;1990;288
19297;0;1990;290
19292;0;1990;299
19297;10;1990;303
19291;10;1990;310
19292;10;1990;315
19292;55;1991;119
19291;55;1991;126
19297;55;1991;135
19292;85;1991;159
19291;85;1991;163
19297;85;1991;175
19292;100;1991;175
19291;100;1991;176
19297;100;1991;186
19291;0;1991;283
19297;0;1991;290
19291;10;1991;295
19292;0;1991;301
19297;10;1991;304
19292;10;1991;316
19292;55;1992;119
19291;55;1992;128
19297;55;1992;135
19292;85;1992;157
19291;85;1992;166
19292;100;1992;170
19297;85;1992;171
19291;100;1992;181
19297;100;1992;188
19291;0;1992;294
19297;0;1992;297
19292;0;1992;300
19297;10;1992;309
19291;10;1992;310
19292;10;1992;311
19291;55;1993;126
19296;55;1993;127
19292;55;1993;127
19297;55;1993;129
19291;85;1993;159
19292;85;1993;160
19296;85;1993;160
19297;85;1993;167
19296;100;1993;176
19291;100;1993;177
19292;100;1993;180
19297;100;1993;181
19291;0;1993;274
19296;0;1993;287
19291;10;1993;287
19296;10;1993;300
19292;0;1993;314
19292;10;1993;328
19292;55;1994;120
19291;55;1994;122
19296;55;1994;126
19297;55;1994;127
19292;85;1994;151
19291;85;1994;157
19296;85;1994;161
19297;85;1994;165
19292;100;1994;166
19291;100;1994;170
19297;100;1994;176
19296;100;1994;176
19291;0;1994;274
19297;0;1994;284
19292;0;1994;288
19291;10;1994;288
19297;10;1994;294
19296;0;1994;298
19292;10;1994;300
19296;10;1994;312
19292;55;1995;118
19297;55;1995;124
19296;55;1995;127
19291;55;1995;130
19292;85;1995;150
19297;85;1995;170
19291;85;1995;171
19296;85;1995;171
19292;100;1995;179
19296;100;1995;179
19297;100;1995;181
19291;100;1995;181
19291;0;1995;274
19291;10;1995;287
19292;0;1995;288
19297;0;1995;288
19296;0;1995;298
19292;10;1995;300
19297;10;1995;303
19296;10;1995;312
19292;55;1996;124
19291;55;1996;132
19296;55;1996;134
19297;55;1996;137
19292;85;1996;154
19291;85;1996;164
19292;100;1996;166
19296;85;1996;172
19291;100;1996;172
19297;85;1996;174
19296;100;1996;180
19297;100;1996;186
19291;0;1996;276
19291;10;1996;288
19297;0;1996;291
19296;0;1996;299
19292;0;1996;299
19297;10;1996;302
19292;10;1996;312
19296;10;1996;312
19292;55;1997;128
19291;55;1997;129
19296;55;1997;137
19297;55;1997;139
19291;85;1997;156
19292;85;1997;168
19296;85;1997;169
19297;85;1997;174
19296;100;1997;176
19292;100;1997;180
19291;100;1997;182
19297;100;1997;189
19291;0;1997;275
19296;0;1997;283
19291;10;1997;287
19296;10;1997;293
19297;0;1997;297
19297;10;1997;306
19292;0;1997;309
19292;10;1997;323
19291;55;1998;121
19292;55;1998;122
19296;55;1998;123
19297;55;1998;133
19291;85;1998;158
19292;85;1998;164
19297;85;1998;171
19292;100;1998;175
19291;100;1998;176
19296;85;1998;182
19296;100;1998;190
19297;100;1998;191
19291;0;1998;269
19296;0;1998;281
19291;10;1998;282
19296;10;1998;294
19292;0;1998;303
19297;0;1998;303
19297;10;1998;312
19292;10;1998;314
19297;55;1999;123
19292;55;1999;123
19296;55;1999;126
19291;55;1999;128
19291;85;1999;166
19297;85;1999;167
19292;85;1999;171
19296;85;1999;176
19291;100;1999;179
19292;100;1999;180
19297;100;1999;181
19296;100;1999;182
19291;0;1999;268
19296;0;1999;276
19291;10;1999;283
19297;0;1999;289
19296;10;1999;292
19297;10;1999;298
19292;0;1999;329
19292;10;1999;339
19292;55;2000;114
19291;55;2000;117
19296;55;2000;118
19297;55;2000;128
19292;85;2000;146
19291;85;2000;146
19291;100;2000;152
19296;85;2000;162
19292;100;2000;162
19297;85;2000;164
19296;100;2000;170
19297;100;2000;180
19291;0;2000;275
