PEP_ID;BBCH;YEAR;DAY
19528;60;1971;68
19529;60;1971;88
19526;60;1971;102
19527;60;1971;106
19528;60;1972;68
19529;60;1972;81
19527;60;1972;90
19528;60;1973;59
19529;60;1973;86
19527;60;1973;116
19528;60;1974;59
19525;60;1974;77
19529;60;1974;84
19527;60;1974;88
19528;60;1975;60
19527;60;1975;75
19529;60;1975;88
19525;60;1975;90
19528;60;1976;80
19527;60;1976;94
19529;60;1976;99
19525;60;1976;100
19528;60;1977;49
19525;60;1977;74
19527;60;1977;81
19528;60;1978;70
19529;60;1978;84
19527;60;1978;88
19525;60;1978;91
19528;60;1979;63
19525;60;1979;73
19529;60;1979;84
19526;60;1979;85
19527;60;1979;90
19528;60;1980;74
19525;60;1980;96
19529;60;1980;103
19527;60;1980;109
19528;60;1981;69
19525;60;1981;90
19529;60;1981;91
19526;60;1981;104
19527;60;1981;105
19528;60;1982;90
19527;60;1982;110
19529;60;1982;111
19525;60;1982;115
19526;60;1982;125
19528;60;1983;85
19529;60;1983;90
19525;60;1983;92
19527;60;1983;102
19526;60;1983;107
19528;60;1984;93
19527;60;1984;141
19529;60;1984;142
19525;60;1984;152
19526;60;1984;157
19528;60;1985;84
19529;60;1985;100
19525;60;1985;108
19526;60;1985;112
19528;60;1987;88
19525;60;1987;100
19529;60;1987;109
19527;60;1987;120
19526;60;1987;121
19528;60;1988;75
19525;60;1988;107
19526;60;1988;113
19528;60;1989;70
19525;60;1989;85
19527;60;1989;87
19526;60;1989;95
19526;60;2000;117
19529;60;2001;63
19529;11;2001;77
19526;65;2001;98
19526;60;2001;114
19529;60;2002;77
19529;11;2002;102
19526;60;2002;110
19529;60;2003;110
19529;11;2003;116
19526;60;2003;126
19529;60;2004;96
19529;11;2004;107
19526;60;2004;131
19529;60;2005;100
19529;11;2005;110
19526;11;2005;110
19526;60;2005;118
19529;11;2012;101
19529;60;2013;91
19526;60;2013;125
19529;60;2014;69
19526;60;2014;111
19527;60;2014;164
19526;65;2015;113
19526;11;2015;125
