PEP_ID;BBCH;YEAR;DAY
19486;60;2001;116
19486;65;2001;124
19486;60;2002;109
19486;65;2002;120
19486;60;2003;112
19486;65;2003;124
19486;60;2004;115
19486;65;2004;126
19486;60;2005;115
19486;65;2005;122
19486;60;2006;120
19486;65;2006;131
19486;60;2007;100
19486;65;2007;110
19486;60;2008;113
19486;65;2008;128
19486;60;2009;103
19486;65;2009;116
19486;60;2010;117
19486;65;2010;126
19486;60;2011;98
19486;65;2011;111
7352;60;2012;96
20382;60;2012;104
7352;65;2012;105
19486;60;2012;109
7282;60;2012;110
20311;60;2012;114
7282;65;2012;114
20382;65;2012;117
19486;65;2012;118
20311;65;2012;120
7352;60;2013;113
19486;60;2013;116
7282;60;2013;117
7352;65;2013;119
20311;60;2013;120
7282;65;2013;120
20382;60;2013;122
20311;65;2013;124
20382;65;2013;124
19486;65;2013;125
7352;60;2015;89
7352;65;2015;100
19486;60;2015;110
7282;60;2015;110
20311;60;2015;114
20382;60;2015;115
7282;65;2015;115
20382;65;2015;116
20311;65;2015;120
19486;65;2015;122
