PEP_ID;BBCH;YEAR;DAY
3690;60;1951;61
3889;60;1951;71
3676;60;1951;74
2016;60;1951;77
3759;60;1951;82
3145;60;1951;84
4259;60;1951;84
4331;60;1951;84
1240;60;1951;85
1243;60;1951;85
2118;60;1951;86
1537;60;1951;87
982;60;1951;90
2729;60;1951;90
3103;60;1951;90
4329;60;1951;90
4104;60;1951;92
4349;60;1951;92
4416;60;1951;92
2359;60;1951;92
3015;60;1951;92
1441;60;1951;93
2484;60;1951;93
4475;60;1951;93
3081;60;1951;94
3195;60;1951;94
3210;60;1951;94
3211;60;1951;94
3262;60;1951;94
425;60;1951;94
1342;60;1951;94
1944;60;1951;94
1230;60;1951;95
2980;60;1951;95
3057;60;1951;95
3151;60;1951;95
3521;60;1951;95
3629;60;1951;95
4065;60;1951;95
3178;60;1951;96
3283;60;1951;96
2388;60;1951;96
2656;60;1951;96
2939;60;1951;96
3055;60;1951;96
2565;60;1951;97
3101;60;1951;97
3202;60;1951;97
3209;60;1951;97
3254;60;1951;97
3538;60;1951;97
3112;60;1951;98
3118;60;1951;98
3219;60;1951;98
3257;60;1951;98
4469;60;1951;98
1351;60;1951;98
1948;60;1951;98
2547;60;1951;98
3056;60;1951;98
1921;60;1951;99
1987;60;1951;99
2021;60;1951;99
3732;60;1951;99
3096;60;1951;100
3107;60;1951;100
3179;60;1951;100
3291;60;1951;100
3535;60;1951;100
3585;60;1951;100
3689;60;1951;100
4115;60;1951;100
4347;60;1951;100
4837;60;1951;100
1462;60;1951;100
1915;60;1951;100
1916;60;1951;100
1917;60;1951;100
1920;60;1951;100
1928;60;1951;100
1942;60;1951;100
2005;60;1951;100
2014;60;1951;100
2330;60;1951;100
2375;60;1951;100
2794;60;1951;100
2840;60;1951;100
2931;60;1951;100
2933;60;1951;100
2962;60;1951;100
2969;60;1951;100
2986;60;1951;100
2993;60;1951;100
3005;60;1951;100
3041;60;1951;100
386;60;1951;101
2379;60;1951;101
2394;60;1951;101
2646;60;1951;101
2924;60;1951;101
2963;60;1951;101
3031;60;1951;101
3053;60;1951;101
3150;60;1951;101
3634;60;1951;101
4559;60;1951;101
3097;60;1951;102
3105;60;1951;102
3106;60;1951;102
3575;60;1951;102
3598;60;1951;102
3792;60;1951;102
4308;60;1951;102
4327;60;1951;102
919;60;1951;102
1452;60;1951;102
1918;60;1951;102
1924;60;1951;102
1937;60;1951;102
1990;60;1951;102
2308;60;1951;102
2647;60;1951;102
2842;60;1951;102
2959;60;1951;102
1339;60;1951;103
1504;60;1951;103
2304;60;1951;103
2380;60;1951;103
2386;60;1951;103
2502;60;1951;103
2631;60;1951;103
2902;60;1951;103
2927;60;1951;103
2940;60;1951;103
2964;60;1951;103
2985;60;1951;103
3049;60;1951;103
4012;60;1951;103
4275;60;1951;103
3091;60;1951;104
3092;60;1951;104
3102;60;1951;104
3120;60;1951;104
3194;60;1951;104
4014;60;1951;104
4272;60;1951;104
1318;60;1951;104
1463;60;1951;104
1973;60;1951;104
2352;60;1951;104
2353;60;1951;104
2390;60;1951;104
2444;60;1951;104
2570;60;1951;104
2863;60;1951;104
2957;60;1951;104
3064;60;1951;104
372;60;1951;105
1319;60;1951;105
1360;60;1951;105
1439;60;1951;105
