PEP_ID;BBCH;YEAR;DAY
19296;60;1961;78
19296;11;1961;83
19291;60;1961;83
19300;60;1961;85
19291;11;1961;88
19297;60;1961;91
19295;60;1961;92
19300;11;1961;93
19297;11;1961;94
19295;11;1961;100
19291;60;1962;98
19300;60;1962;106
19297;60;1962;109
19296;60;1962;109
19291;11;1962;110
19297;11;1962;110
19295;60;1962;111
19300;11;1962;113
19295;11;1962;116
19296;11;1962;117
19300;60;1963;104
19295;60;1963;104
19296;60;1963;108
19300;11;1963;110
19295;11;1963;110
19296;11;1963;112
19297;60;1963;114
19297;11;1963;118
19300;60;1964;105
19291;60;1964;107
19297;60;1964;107
19296;60;1964;107
19295;60;1964;108
19297;11;1964;109
19300;11;1964;111
19291;11;1964;113
19295;11;1964;114
19296;11;1964;115
19293;60;1964;118
19293;11;1964;121
19292;60;1965;80
19296;60;1965;97
19295;60;1965;98
19300;60;1965;98
19296;11;1965;101
19297;60;1965;101
19297;11;1965;103
19300;11;1965;105
19295;11;1965;106
19291;60;1965;108
19291;11;1965;112
19293;60;1965;123
19293;11;1965;129
19292;60;1966;75
19291;60;1966;81
19295;60;1966;92
19297;60;1966;93
19296;60;1966;93
19300;60;1966;95
19292;11;1966;96
19291;11;1966;96
19297;11;1966;100
19295;11;1966;100
19300;11;1966;103
19296;11;1966;106
19293;60;1966;110
19293;11;1966;120
19300;60;1967;90
19295;60;1967;92
19292;11;1967;95
19291;60;1967;96
19296;60;1967;98
19300;11;1967;99
19297;60;1967;100
19295;11;1967;101
19297;11;1967;105
19296;11;1967;107
19291;11;1967;110
19293;60;1967;111
19293;11;1967;123
19292;60;1968;87
19292;11;1968;92
19300;60;1968;92
19296;60;1968;92
19295;60;1968;94
19291;60;1968;96
19297;60;1968;96
19296;11;1968;97
19297;11;1968;99
19295;11;1968;101
19300;11;1968;101
19291;11;1968;103
19293;60;1968;107
19293;11;1968;111
19292;60;1969;96
19292;11;1969;100
19291;60;1969;109
19300;60;1969;110
19291;11;1969;111
19295;60;1969;111
19296;60;1969;115
19300;11;1969;116
19295;11;1969;116
19297;11;1969;116
19297;60;1969;116
19296;11;1969;119
19293;60;1969;122
19293;11;1969;125
19292;60;1970;101
19292;11;1970;104
19291;60;1970;105
19296;60;1970;108
19291;11;1970;110
19295;60;1970;110
19300;60;1970;110
19297;60;1970;110
19296;11;1970;112
19297;11;1970;115
19295;11;1970;116
19300;11;1970;116
19293;60;1970;124
19293;11;1970;128
19292;60;1971;84
19292;11;1971;89
19296;60;1971;98
19300;60;1971;99
19295;60;1971;101
19300;11;1971;105
19297;60;1971;105
19295;11;1971;107
19297;11;1971;108
19296;11;1971;110
19293;60;1971;117
19293;11;1971;123
19296;60;1972;88
19292;60;1972;90
19300;60;1972;90
19292;11;1972;92
19295;60;1972;92
19300;11;1972;96
19297;60;1972;96
19295;11;1972;98
19296;11;1972;98
19297;11;1972;102
19293;60;1972;109
19293;11;1972;126
19300;60;1973;92
19295;60;1973;94
19292;60;1973;98
19292;11;1973;100
19296;60;1973;102
19300;11;1973;106
19291;60;1973;107
19295;11;1973;110
19296;11;1973;111
19297;60;1973;114
19291;11;1973;115
19297;11;1973;119
19293;60;1973;130
19293;11;1973;135
19292;60;1974;78
19292;11;1974;81
19300;60;1974;83
19296;60;1974;83
19295;60;1974;84
19297;60;1974;87
19291;60;1974;89
19291;11;1974;90
19297;11;1974;91
19296;11;1974;91
19300;11;1974;97
19295;11;1974;98
19293;60;1974;113
19293;11;1974;117
19296;60;1975;78
19292;60;1975;79
19300;60;1975;85
19291;60;1975;86
19295;60;1975;87
19296;11;1975;90
19292;11;1975;95
19297;60;1975;95
19300;11;1975;102
19297;11;1975;103
19295;11;1975;104
19291;11;1975;105
19293;60;1975;118
19293;11;1975;132
19292;60;1976;82
19296;60;1976;94
19300;60;1976;96
19291;60;1976;97
19296;11;1976;98
19300;11;1976;103
19295;60;1976;103
19292;11;1976;106
19295;11;1976;111
19297;60;1976;112
19291;11;1976;115
19297;11;1976;115
19293;60;1976;130
19293;11;1976;131
19292;60;1977;71
19291;60;1977;74
19296;60;1977;77
19300;60;1977;77
19295;60;1977;81
19296;11;1977;84
19291;11;1977;84
19297;60;1977;86
19300;11;1977;92
19295;11;1977;92
19297;11;1977;92
19292;11;1977;100
19293;60;1977;100
19293;11;1977;108
19292;60;1978;89
19300;60;1978;93
19296;60;1978;94
19291;60;1978;97
19295;60;1978;99
19300;11;1978;101
19297;60;1978;101
19292;11;1978;105
19296;11;1978;105
19291;11;1978;106
19295;11;1978;109
19293;60;1978;112
19297;11;1978;114
19293;11;1978;123
19292;60;1979;79
19292;11;1979;90
19296;60;1979;90
19291;60;1979;91
19300;60;1979;92
19295;60;1979;98
19297;60;1979;98
19300;11;1979;99
19291;11;1979;99
19296;11;1979;100
19297;11;1979;103
19295;11;1979;105
19293;60;1979;106
19293;11;1979;120
19292;60;1980;90
19292;11;1980;95
19300;60;1980;99
19295;60;1980;100
19291;60;1980;100
19297;60;1980;103
19300;11;1980;104
19296;60;1980;104
19291;11;1980;105
19295;11;1980;106
19296;11;1980;109
19297;11;1980;110
19293;60;1980;127
19293;11;1980;133
19292;60;1981;89
19300;60;1981;92
19295;60;1981;93
19292;11;1981;95
19291;60;1981;96
19300;11;1981;97
19297;60;1981;97
19291;11;1981;100
19296;60;1981;100
19295;11;1981;101
19296;11;1981;103
19297;11;1981;104
19293;60;1981;116
19293;11;1981;120
19292;60;1982;96
19296;60;1982;99
19291;60;1982;100
19292;11;1982;105
19300;60;1982;105
19297;60;1982;107
19295;60;1982;109
19296;11;1982;114
19295;11;1982;114
19291;11;1982;115
19300;11;1982;117
19297;11;1982;120
19293;60;1982;131
19293;11;1982;135
19292;60;1983;92
19297;60;1983;96
19300;60;1983;97
19291;60;1983;97
19295;60;1983;98
19296;60;1983;98
19292;11;1983;102
19291;11;1983;102
19300;11;1983;103
19297;11;1983;104
19295;11;1983;105
19293;60;1983;118
19293;11;1983;119
19292;60;1984;95
19291;60;1984;100
19292;11;1984;102
19300;60;1984;105
19296;60;1984;105
19295;60;1984;106
19291;11;1984;112
19300;11;1984;112
19297;60;1984;113
19297;11;1984;115
19296;11;1984;116
19295;11;1984;117
19293;60;1984;127
19293;11;1984;130
19292;60;1985;90
19291;60;1985;98
19300;60;1985;99
19292;11;1985;100
19296;60;1985;100
19295;60;1985;101
19300;11;1985;105
19295;11;1985;106
19291;11;1985;106
19297;60;1985;106
19297;11;1985;107
19296;11;1985;110
19293;60;1985;128
19293;11;1985;131
19292;60;1986;100
19292;11;1986;106
19296;60;1986;106
19291;60;1986;106
19295;60;1986;106
19300;60;1986;107
19296;11;1986;114
19291;11;1986;115
19300;11;1986;115
19297;60;1986;115
19295;11;1986;116
19297;11;1986;118
19293;60;1986;118
19293;11;1986;123
19292;60;1987;96
19291;60;1987;103
19300;60;1987;104
19292;11;1987;105
19296;60;1987;105
19295;60;1987;107
19296;11;1987;110
19297;60;1987;110
19300;11;1987;112
19291;11;1987;112
19295;11;1987;114
19293;60;1987;114
19297;11;1987;116
19293;11;1987;120
19292;60;1988;88
19300;60;1988;95
19291;60;1988;96
19296;60;1988;96
19295;60;1988;96
19292;11;1988;101
19297;60;1988;104
19296;11;1988;106
19300;11;1988;107
19291;11;1988;108
19295;11;1988;109
19297;11;1988;111
19293;60;1988;113
19293;11;1988;120
19292;60;1989;76
19292;11;1989;86
19296;60;1989;86
19291;60;1989;86
19300;60;1989;87
19295;60;1989;88
19297;60;1989;91
19296;11;1989;93
19291;11;1989;94
19300;11;1989;95
19295;11;1989;96
19297;11;1989;99
19293;60;1989;102
19293;11;1989;110
19292;60;1990;64
19291;60;1990;69
19296;60;1990;72
19300;60;1990;73
19295;60;1990;75
19292;11;1990;79
19291;11;1990;81
19297;60;1990;81
19296;11;1990;86
19300;11;1990;87
19295;11;1990;89
19293;60;1990;90
19297;11;1990;92
19293;11;1990;102
19292;60;1991;78
19300;60;1991;85
19291;60;1991;85
19296;60;1991;86
19297;60;1991;87
19295;60;1991;87
19292;11;1991;92
19291;11;1991;96
19296;11;1991;96
19295;11;1991;98
19300;11;1991;99
19293;60;1991;101
19297;11;1991;102
19293;11;1991;115
19292;60;1992;61
19292;11;1992;70
19296;60;1992;77
19291;60;1992;81
