PEP_ID;BBCH;YEAR;DAY
20451;86;1951;252
20451;86;1953;261
20451;60;1955;123
20451;65;1955;129
20451;65;1956;123
20450;60;1958;91
20450;65;1958;97
20450;11;1960;66
20450;60;1960;72
20450;65;1960;75
20450;60;1961;59
20450;65;1961;65
20450;60;1962;80
20450;60;1963;70
20451;60;1963;113
20450;60;1964;83
20451;11;1964;105
20451;60;1964;125
20450;11;1965;94
20450;60;1966;66
20451;60;1966;117
20451;11;1966;125
20450;60;1967;74
20450;11;1967;83
20450;60;1968;41
20450;11;1968;61
20451;60;1968;112
20450;60;1969;41
20450;11;1969;48
20451;60;1969;123
20451;11;1969;125
20450;60;1970;88
20451;60;1970;126
20451;11;1970;129
20450;60;1971;66
20450;11;1971;78
20450;11;1972;24
20450;60;1972;35
20451;11;1973;45
20450;60;1973;80
20450;11;1973;83
20451;60;1973;136
20450;60;1975;83
20451;60;1975;112
20451;11;1975;125
20450;60;1976;88
20451;60;1976;126
20451;11;1976;136
20451;60;1977;94
20451;11;1977;121
20451;60;1979;116
20451;11;1979;125
20449;60;1983;94
20451;60;1983;116
20451;11;1983;123
20449;11;1983;136
20451;11;1984;117
20451;60;1984;129
20451;60;1985;126
20451;11;1985;130
20451;60;1986;107
20451;11;1986;123
20451;60;1987;131
20451;11;1987;137
20452;60;1989;91
20452;11;1989;97
20451;60;1989;101
20451;11;1989;111
20451;60;1990;98
20451;11;1990;117
20452;60;1993;51
20452;65;1993;65
20450;60;1993;86
20452;86;1993;287
20449;11;1998;91
20449;60;1998;95
20451;60;2005;117
20451;11;2005;120
20451;60;2007;94
20451;11;2007;97
20451;11;2009;109
