PEP_ID;BBCH;YEAR;DAY
10089;60;1952;103
10089;60;1953;98
10089;60;1954;94
12521;60;1954;95
10089;60;1955;106
12521;60;1955;109
12521;60;1956;103
10089;60;1956;107
12521;60;1957;69
10089;60;1957;82
10089;60;1958;49
12521;60;1958;76
10089;60;1959;93
12521;60;1959;94
12521;60;1960;97
12521;60;1961;70
12521;60;1962;113
12521;60;1963;116
12521;60;1964;109
12521;60;1965;101
12521;60;1966;82
12521;60;1967;82
12521;60;1968;109
12521;60;1969;100
12521;60;1970;110
12521;60;1971;103
12521;60;1972;93
12521;60;1973;76
12521;60;1974;68
12521;60;1975;61
17769;60;1975;82
17769;60;1976;65
12521;60;1976;74
15102;60;1976;74
12521;60;1977;81
15102;60;1977;86
12521;60;1978;97
15102;60;1978;121
17769;60;1979;104
12521;60;1979;112
17538;60;1979;133
15102;60;1979;139
12521;60;1980;96
15102;60;1980;111
15279;60;1981;62
14019;60;1981;82
12521;60;1981;93
15102;60;1981;102
15279;60;1982;64
12521;60;1982;82
13528;60;1982;98
15102;60;1982;111
12521;60;1983;80
13528;60;1983;101
15102;60;1983;115
15279;60;1984;78
12521;60;1984;92
16559;60;1984;112
15102;60;1984;116
15279;60;1985;71
13528;60;1985;96
12521;60;1985;101
16100;60;1985;103
16559;60;1985;105
15102;60;1985;112
12521;60;1986;120
15102;60;1986;130
9791;60;1987;93
12521;60;1987;104
15102;60;1987;105
10101;60;1988;46
14444;60;1988;46
9791;60;1988;54
12521;60;1988;86
18611;60;1988;93
15102;60;1988;95
14433;60;1988;110
13592;60;1989;38
15279;60;1989;62
17769;60;1989;64
15102;60;1989;67
9791;60;1989;69
12521;60;1989;76
9791;60;1990;48
14992;60;1990;52
15102;60;1990;61
12521;60;1990;65
13592;60;1990;68
17769;60;1990;75
15279;60;1991;78
12521;60;1991;79
9791;60;1991;83
15102;60;1991;98
14444;60;1991;101
17769;60;1991;101
18110;60;1991;120
18110;60;1992;64
14444;60;1992;66
9791;60;1992;73
12521;60;1992;81
15102;60;1992;83
17769;60;1992;92
13750;60;1993;30
14444;60;1993;35
15279;60;1993;75
17769;60;1993;78
15102;60;1993;88
18110;60;1993;111
13750;60;1994;38
9791;60;1994;50
15279;60;1994;70
12521;60;1994;77
15102;60;1994;107
13750;60;1995;31
14444;60;1995;35
15279;60;1995;37
16559;60;1995;52
9791;60;1995;55
12521;60;1995;66
15102;60;1995;68
17769;60;1995;98
13750;60;1996;69
14444;60;1996;92
15102;60;1996;108
12521;60;1996;109
15279;60;1996;109
17769;60;1996;112
12224;60;1996;121
13750;60;1997;78
12521;60;1997;79
15102;60;1997;81
14444;60;1997;91
9232;60;1997;93
17769;60;1997;96
13750;60;1998;45
14424;60;1998;46
14119;60;1998;47
14669;60;1998;51
14689;60;1998;51
15279;60;1998;51
13612;60;1998;52
14376;60;1998;53
14578;60;1998;53
14145;60;1998;56
16378;60;1998;58
14606;60;1998;60
14990;60;1998;60
11132;60;1998;61
12415;60;1998;63
14629;60;1998;63
14763;60;1998;63
10667;60;1998;68
14670;60;1998;69
17769;60;1998;69
8560;60;1998;71
8890;60;1998;71
11011;60;1998;71
14749;60;1998;71
16285;60;1998;71
18035;60;1998;72
15102;60;1998;73
16449;60;1998;74
14302;60;1998;75
16093;60;1998;75
12786;60;1998;78
14028;60;1998;78
14263;60;1998;78
10563;60;1998;79
13400;60;1998;79
16324;60;1998;80
8335;60;1998;85
18110;60;1998;87
16074;60;1998;88
9232;60;1998;90
10233;60;1998;92
11536;60;1998;92
14849;60;1998;92
15892;60;1998;92
19082;60;1998;92
10166;60;1998;93
16326;60;1998;95
12643;60;1998;99
14586;60;1998;99
14632;60;1998;103
14750;60;1998;124
10285;60;1998;141
12786;60;1999;21
13319;60;1999;32
9930;60;1999;33
10166;60;1999;34
10190;60;1999;35
10604;60;1999;35
11966;60;1999;35
13750;60;1999;35
14547;60;1999;36
14424;60;1999;39
13126;60;1999;40
14145;60;1999;42
14669;60;1999;43
10563;60;1999;48
10698;60;1999;48
16559;60;1999;48
12973;60;1999;49
13209;60;1999;49
14119;60;1999;50
12989;60;1999;51
8955;60;1999;52
14899;60;1999;52
14302;60;1999;53
16037;60;1999;53
15981;60;1999;56
9702;60;1999;57
15462;60;1999;58
8547;60;1999;59
8645;60;1999;59
14078;60;1999;59
10667;60;1999;60
11132;60;1999;60
10517;60;1999;61
12815;60;1999;61
13266;60;1999;61
14689;60;1999;61
15279;60;1999;62
8358;60;1999;63
10821;60;1999;63
12415;60;1999;63
11343;60;1999;64
15573;60;1999;64
9237;60;1999;65
10973;60;1999;66
9575;60;1999;69
12523;60;1999;69
14542;60;1999;69
18022;60;1999;69
8720;60;1999;70
12455;60;1999;70
9563;60;1999;71
9720;60;1999;71
16162;60;1999;71
16924;60;1999;71
15289;60;1999;72
18583;60;1999;72
14168;60;1999;73
18035;60;1999;73
10312;60;1999;75
16322;60;1999;76
17379;60;1999;76
12521;60;1999;77
12895;60;1999;77
13967;60;1999;77
14704;60;1999;77
10468;60;1999;78
11459;60;1999;78
14990;60;1999;78
9803;60;1999;80
10031;60;1999;80
13503;60;1999;80
17554;60;1999;80
19238;60;1999;80
10794;60;1999;81
10864;60;1999;81
15102;60;1999;81
15883;60;1999;81
18994;60;1999;81
15892;60;1999;82
8523;60;1999;83
12917;60;1999;83
17420;60;1999;83
19274;60;1999;83
11694;60;1999;84
10509;60;1999;85
17830;60;1999;85
8912;60;1999;86
14362;60;1999;86
16137;60;1999;87
17769;60;1999;87
9913;60;1999;88
16074;60;1999;88
10423;60;1999;89
8610;60;1999;90
12868;60;1999;90
13976;60;1999;90
9232;60;1999;91
18087;60;1999;91
8662;60;1999;92
13950;60;1999;92
17603;60;1999;92
16524;60;1999;94
18099;60;1999;94
13774;60;1999;95
17699;60;1999;95
10530;60;1999;97
18544;60;1999;98
9849;60;1999;99
11126;60;1999;101
17571;60;1999;101
14251;60;1999;102
18631;60;1999;102
18850;60;1999;102
19043;60;1999;103
19038;60;1999;104
18592;60;1999;106
18919;60;1999;113
19268;60;1999;114
15605;60;2000;33
13431;60;2000;38
10509;60;2000;39
18344;60;2000;40
13542;60;2000;45
13724;60;2000;45
13750;60;2000;45
16037;60;2000;45
10166;60;2000;46
9160;60;2000;47
14424;60;2000;47
14669;60;2000;47
15417;60;2000;47
9791;60;2000;49
15365;60;2000;49
10707;60;2000;51
11171;60;2000;51
11966;60;2000;51
9012;60;2000;52
10563;60;2000;52
13763;60;2000;52
14007;60;2000;52
10044;60;2000;53
15065;60;2000;53
9570;60;2000;54
13934;60;2000;55
14243;60;2000;55
9913;60;2000;57
10298;60;2000;57
12899;60;2000;57
16560;60;2000;57
10312;60;2000;58
17420;60;2000;58
12883;60;2000;59
13122;60;2000;59
13485;60;2000;59
