PEP_ID;BBCH;YEAR;DAY
19528;60;1971;79
19528;65;1971;85
19528;69;1971;88
19529;60;1971;103
19525;60;1971;105
19529;65;1971;107
19525;65;1971;109
19526;60;1971;110
19526;65;1971;113
19525;69;1971;113
19529;69;1971;116
19526;69;1971;121
19528;60;1972;65
19528;65;1972;74
19528;69;1972;76
19529;60;1972;85
19529;65;1972;86
19525;60;1972;91
19526;60;1972;95
19525;65;1972;95
19526;65;1972;97
19529;69;1972;99
19525;69;1972;101
19526;69;1972;106
19528;94;1972;134
19525;94;1972;170
19526;94;1972;180
19528;60;1973;69
19528;65;1973;74
19528;69;1973;86
19527;60;1973;108
19529;60;1973;110
19527;65;1973;112
19529;65;1973;114
19527;69;1973;120
19529;69;1973;120
19528;87;1973;139
19529;87;1973;147
19527;87;1973;156
19528;60;1974;69
19528;65;1974;79
19528;69;1974;81
19529;60;1974;86
19526;60;1974;91
19527;60;1974;92
19529;65;1974;94
19527;65;1974;98
19526;65;1974;98
19529;69;1974;99
19526;69;1974;105
19527;69;1974;108
19529;94;1974;278
19526;94;1974;280
19528;94;1974;283
19527;94;1974;283
19528;60;1975;74
19528;65;1975;82
19528;69;1975;85
19525;60;1975;87
19529;60;1975;94
19525;65;1975;95
19527;60;1975;97
19529;65;1975;97
19527;65;1975;99
19526;60;1975;100
19526;65;1975;102
19525;69;1975;102
19529;69;1975;106
19527;69;1975;109
19526;69;1975;114
19529;94;1975;268
19525;94;1975;268
19528;94;1975;271
19527;94;1975;271
19528;60;1976;89
19528;65;1976;97
19525;60;1976;105
19528;69;1976;106
19529;60;1976;110
19525;65;1976;111
19529;65;1976;112
19527;60;1976;113
19525;69;1976;119
19529;69;1976;121
19526;60;1976;122
19527;65;1976;124
19526;65;1976;126
19527;69;1976;126
19526;69;1976;136
19528;94;1976;263
19525;94;1976;277
19529;94;1976;279
19527;94;1976;287
19528;60;1977;65
19525;60;1977;74
19528;65;1977;75
19525;65;1977;77
19528;69;1977;81
19526;60;1977;84
19527;60;1977;84
19529;65;1977;85
19529;60;1977;87
19526;65;1977;87
19527;65;1977;87
19525;69;1977;95
19529;69;1977;98
19526;69;1977;100
19527;69;1977;100
19528;60;1978;80
19527;60;1978;88
19525;60;1978;88
19528;65;1978;90
19525;65;1978;94
19527;65;1978;94
19529;60;1978;95
19528;69;1978;101
19526;60;1978;102
19529;65;1978;102
19525;69;1978;114
19527;69;1978;114
19529;69;1978;118
19528;60;1979;79
19528;65;1979;84
19527;60;1979;85
19525;60;1979;87
19529;60;1979;87
19529;65;1979;90
19525;65;1979;90
19528;69;1979;90
19527;65;1979;92
19526;60;1979;102
19525;69;1979;103
19526;65;1979;104
19529;69;1979;106
19527;69;1979;107
19526;69;1979;120
19529;94;1979;271
19525;94;1979;283
19528;94;1979;293
19528;60;1980;84
19528;65;1980;88
