PEP_ID;BBCH;YEAR;DAY
7230;60;1953;112
7230;60;1954;112
7230;60;1955;105
7230;60;1956;120
7230;60;1957;88
7230;60;1958;109
7230;60;1959;103
7230;60;1960;107
7230;60;1961;100
7230;60;1962;120
7230;60;1963;129
7230;60;1964;128
7230;60;1965;130
7230;60;1966;114
7230;60;1967;92
7230;60;1968;108
7230;60;1969;116
7230;60;1972;99
7230;60;1973;118
7230;60;1974;111
7230;87;1974;281
7230;60;1975;120
7230;87;1975;281
7230;60;1976;100
7230;87;1976;283
7230;60;1977;110
7230;60;1980;110
7230;87;1980;281
7230;60;1981;96
7230;87;1981;291
7230;60;1982;116
7230;87;1982;276
7230;60;1983;102
7230;87;1983;295
7230;60;1984;111
7230;60;1985;100
7230;60;1986;99
7230;87;1986;293
7230;60;1987;104
7230;87;1987;293
7230;60;1988;101
7230;87;1988;299
7230;87;1989;293
7230;60;1990;105
7230;87;1990;278
7230;60;1991;95
7230;87;1991;285
7230;60;1992;90
7230;87;1992;289
7230;60;1993;101
7230;87;1993;298
7230;60;1994;87
7230;87;1994;288
7230;60;1995;87
7230;87;1995;297
7230;60;1996;85
7230;87;1996;285
7230;60;1997;77
7230;87;1997;281
7230;60;1998;81
7230;87;1998;287
7230;60;1999;87
7230;87;1999;285
7230;60;2000;90
