PEP_ID;BBCH;YEAR;DAY
19299;60;1961;77
19299;65;1961;86
19296;60;1961;91
19296;65;1961;96
19299;69;1961;100
19296;69;1961;104
19296;87;1961;135
19299;87;1961;142
19296;94;1961;280
19296;95;1961;299
19299;94;1961;303
19299;95;1961;318
19299;60;1962;100
19299;65;1962;106
19296;60;1962;112
19296;65;1962;115
19299;69;1962;116
19296;69;1962;118
19296;87;1962;150
19299;87;1962;151
19296;94;1962;297
19296;95;1962;318
19299;94;1962;324
19299;95;1962;332
19299;60;1963;95
19299;65;1963;106
19296;60;1963;108
19296;65;1963;110
19299;69;1963;112
19296;69;1963;123
19299;87;1963;143
19296;87;1963;153
19296;95;1963;315
19299;94;1963;319
19299;95;1963;326
19299;60;1964;91
19299;65;1964;97
19296;60;1964;105
19296;65;1964;110
19299;69;1964;110
19296;69;1964;113
19299;87;1964;151
19296;87;1964;151
19299;94;1964;305
19299;95;1964;315
19299;60;1965;93
19296;60;1965;97
19299;65;1965;99
19296;65;1965;101
19299;69;1965;106
19296;69;1965;118
19299;87;1965;146
19296;87;1965;162
19299;94;1965;303
19299;95;1965;319
19296;60;1966;89
19296;65;1966;98
19296;69;1966;102
19296;87;1966;145
19296;94;1966;288
19296;95;1966;299
19299;60;1967;80
19299;65;1967;90
19296;60;1967;98
19299;69;1967;102
19296;65;1967;103
19296;69;1967;106
19299;87;1967;145
19296;87;1967;150
19296;94;1967;298
19299;94;1967;305
19296;95;1967;314
19299;95;1967;315
19299;60;1968;85
19299;65;1968;91
19296;60;1968;92
19296;65;1968;96
19299;69;1968;101
19296;69;1968;101
19296;87;1968;136
19299;87;1968;137
19296;94;1968;296
19299;94;1968;315
19296;95;1968;319
19299;95;1968;326
19299;60;1969;85
19299;65;1969;90
19299;69;1969;102
19296;60;1969;109
19296;65;1969;112
19296;69;1969;118
19299;87;1969;141
19296;87;1969;148
19296;94;1969;297
19299;94;1969;303
19296;95;1969;319
19299;95;1969;319
19299;60;1970;98
19299;65;1970;102
19296;60;1970;107
19296;65;1970;111
19299;69;1970;111
19296;69;1970;115
19299;87;1970;150
19296;87;1970;150
19296;94;1970;289
19299;94;1970;301
19296;95;1970;302
19299;95;1970;316
19299;60;1971;94
19296;60;1971;100
19299;65;1971;105
19296;65;1971;105
19296;69;1971;112
19299;69;1971;113
19299;87;1971;146
19296;87;1971;146
19296;94;1971;283
19296;95;1971;294
19299;94;1971;303
19299;95;1971;322
19299;60;1972;85
19296;60;1972;88
19296;65;1972;91
19299;65;1972;91
19296;69;1972;98
19299;69;1972;99
19299;87;1972;138
19296;87;1972;150
19296;94;1972;282
19296;95;1972;293
19299;94;1972;300
19299;95;1972;320
19299;60;1973;84
19299;65;1973;95
19296;60;1973;100
19299;69;1973;102
19296;65;1973;108
19296;69;1973;115
19299;87;1973;144
19296;87;1973;150
19296;94;1973;301
19299;94;1973;305
19296;95;1973;314
19299;95;1973;319
19299;60;1974;83
19296;60;1974;83
19296;65;1974;86
19299;65;1974;89
19296;69;1974;94
19299;69;1974;99
19296;87;1974;146
19299;87;1974;147
19299;94;1974;298
19296;94;1974;305
19296;95;1974;314
19299;95;1974;319
19299;60;1975;79
19299;65;1975;84
19296;60;1975;90
19296;65;1975;99
19299;69;1975;102
19296;69;1975;106
19299;87;1975;136
19296;87;1975;150
19296;94;1975;278
19296;95;1975;290
19299;94;1975;297
19299;95;1975;316
19299;60;1976;86
19299;65;1976;92
19296;60;1976;96
19299;69;1976;100
19296;65;1976;104
19296;69;1976;110
19299;87;1976;136
19296;87;1976;150
19296;94;1976;275
19296;95;1976;289
19299;94;1976;302
19299;95;1976;323
19296;60;1977;76
19299;60;1977;77
19296;65;1977;80
19299;65;1977;81
19296;69;1977;89
19299;69;1977;93
19299;87;1977;130
19296;87;1977;135
19296;94;1977;274
19296;95;1977;284
19299;94;1977;306
19299;95;1977;324
19299;60;1978;88
19296;60;1978;89
19296;65;1978;91
19299;65;1978;92
19296;69;1978;98
19299;69;1978;101
19299;87;1978;148
19296;87;1978;148
19296;94;1978;274
19296;95;1978;284
19299;94;1978;308
19299;95;1978;320
19299;60;1979;80
19299;65;1979;82
19296;60;1979;88
19299;69;1979;90
19296;65;1979;92
19296;69;1979;105
19299;87;1979;137
19296;87;1979;145
19296;94;1979;286
19299;94;1979;302
19296;95;1979;309
19299;95;1979;310
19299;60;1980;82
19299;65;1980;90
19296;60;1980;98
19299;69;1980;100
19296;65;1980;106
19296;69;1980;113
19299;87;1980;144
19296;87;1980;161
19296;94;1980;293
19296;95;1980;302
19299;94;1980;313
19299;95;1980;330
19299;60;1981;77
19299;65;1981;88
19296;60;1981;89
19299;69;1981;95
19296;65;1981;96
19296;69;1981;100
19299;87;1981;138
19296;87;1981;140
19296;94;1981;283
19296;95;1981;293
19299;94;1981;310
19299;95;1981;328
19299;60;1982;85
19299;65;1982;92
19296;60;1982;97
19296;65;1982;102
19299;69;1982;105
19296;69;1982;108
19299;87;1982;144
19296;87;1982;159
19296;94;1982;294
19296;95;1982;300
19299;94;1982;309
19299;95;1982;324
19299;60;1983;87
19299;65;1983;92
19299;69;1983;100
19296;65;1983;101
19296;69;1983;106
19299;87;1983;140
19296;87;1983;145
19296;94;1983;298
19296;95;1983;308
19299;94;1983;312
19299;95;1983;325
19299;60;1984;89
19299;65;1984;94
19296;60;1984;103
19299;69;1984;106
19296;65;1984;109
19296;69;1984;118
