PEP_ID;BBCH;YEAR;DAY
19298;60;1961;82
19298;65;1961;92
19295;60;1961;93
19298;11;1961;96
19295;65;1961;97
19295;11;1961;100
19293;60;1961;100
19295;69;1961;102
19293;65;1961;106
19293;69;1961;111
19293;11;1961;117
19298;86;1961;146
19298;87;1961;153
19295;86;1961;158
19295;87;1961;165
19293;86;1961;193
19293;87;1961;201
19295;94;1961;278
19293;94;1961;288
19295;95;1961;288
19298;94;1961;300
19293;95;1961;308
19298;95;1961;319
19295;60;1962;112
19291;60;1962;116
19295;65;1962;116
19291;11;1962;118
19295;11;1962;118
19291;65;1962;120
19295;69;1962;125
19291;69;1962;128
19295;86;1962;151
19295;87;1962;168
19291;86;1962;171
19291;87;1962;186
19295;94;1962;271
19295;95;1962;288
19291;94;1962;300
19291;95;1962;312
19291;60;1963;108
19291;11;1963;111
19291;65;1963;111
19291;69;1963;118
19291;86;1963;157
19291;87;1963;169
19291;94;1963;295
19291;95;1963;316
19298;60;1964;95
19298;65;1964;100
19298;69;1964;102
19298;11;1964;103
19291;60;1964;108
19295;60;1964;110
19295;11;1964;111
19296;60;1964;111
19297;60;1964;111
19291;65;1964;112
19295;65;1964;112
19291;11;1964;113
19296;11;1964;113
19297;11;1964;113
19297;65;1964;113
19296;65;1964;115
19291;69;1964;115
19293;60;1964;116
19295;69;1964;116
19293;11;1964;118
19297;69;1964;119
19293;65;1964;121
19296;69;1964;122
19293;69;1964;126
19296;86;1964;159
19291;86;1964;160
19298;86;1964;160
19298;87;1964;163
19297;86;1964;164
19291;87;1964;167
19293;86;1964;170
19296;87;1964;171
19297;87;1964;172
19293;87;1964;180
19293;94;1964;286
19295;95;1964;289
19296;94;1964;292
19297;94;1964;293
19293;95;1964;293
19291;94;1964;294
19298;94;1964;299
19297;95;1964;302
19291;95;1964;304
19296;95;1964;305
19298;95;1964;315
19298;60;1965;94
19298;11;1965;100
19298;65;1965;100
19295;60;1965;105
19291;60;1965;106
19298;69;1965;106
19296;60;1965;109
19295;65;1965;109
19295;11;1965;110
19291;65;1965;110
19291;11;1965;112
19297;60;1965;113
19296;65;1965;114
19296;11;1965;115
19297;11;1965;116
19297;65;1965;116
19295;69;1965;116
19291;69;1965;118
19297;69;1965;121
19296;69;1965;122
19298;86;1965;168
19296;86;1965;171
19297;86;1965;174
19291;86;1965;175
19298;87;1965;175
19295;86;1965;176
19295;87;1965;182
19297;87;1965;183
19291;87;1965;185
19296;87;1965;191
19295;94;1965;278
19291;94;1965;279
19296;94;1965;283
19295;95;1965;286
19297;94;1965;290
19291;95;1965;293
19296;95;1965;294
19297;95;1965;299
19298;94;1965;302
19298;95;1965;319
19298;60;1966;74
19298;65;1966;94
19295;60;1966;98
19298;11;1966;99
19297;60;1966;102
19297;11;1966;103
19296;60;1966;103
19295;65;1966;103
19298;69;1966;103
19291;60;1966;104
19297;65;1966;104
19295;11;1966;105
19296;65;1966;107
19291;65;1966;108
19295;69;1966;108
19296;11;1966;109
19291;11;1966;110
19297;69;1966;112
19291;69;1966;116
19296;69;1966;116
19296;86;1966;150
19295;86;1966;154
19298;86;1966;156
19291;86;1966;159
19298;87;1966;164
19297;86;1966;165
19291;87;1966;169
19296;87;1966;169
19295;87;1966;172
19297;87;1966;172
19295;94;1966;248
19295;95;1966;268
19291;94;1966;285
19297;94;1966;285
19296;94;1966;289
19291;95;1966;299
19296;95;1966;299
19297;95;1966;299
19298;94;1966;307
19298;95;1966;324
19296;60;1967;103
19293;60;1967;106
19296;65;1967;109
19293;65;1967;111
19293;11;1967;113
19296;11;1967;113
19296;69;1967;116
19293;69;1967;123
19296;86;1967;163
19296;87;1967;171
19293;86;1967;172
19293;87;1967;176
19293;94;1967;291
19296;94;1967;291
19293;95;1967;294
19296;95;1967;304
19298;60;1968;86
19298;11;1968;93
19298;65;1968;94
19295;60;1968;96
19296;60;1968;96
19291;60;1968;98
19297;60;1968;99
19296;65;1968;99
19295;11;1968;100
19295;65;1968;100
19291;11;1968;103
19298;69;1968;103
19296;11;1968;104
19295;69;1968;104
19291;65;1968;105
19297;65;1968;105
19296;69;1968;106
19297;11;1968;108
19297;69;1968;109
19291;69;1968;110
19295;86;1968;154
19296;86;1968;154
19291;86;1968;155
19298;86;1968;158
19298;87;1968;160
19296;87;1968;162
19291;87;1968;163
19297;86;1968;165
19297;87;1968;170
19295;87;1968;172
19295;94;1968;264
19297;94;1968;278
19291;94;1968;282
19296;94;1968;285
19291;95;1968;294
19295;95;1968;294
19297;95;1968;294
19296;95;1968;301
19298;94;1968;314
19298;95;1968;333
19298;60;1969;90
19298;65;1969;97
19298;11;1969;100
19298;69;1969;106
19297;60;1969;112
19291;60;1969;115
19295;60;1969;115
19296;60;1969;115
19295;11;1969;116
19297;11;1969;116
19296;11;1969;117
19296;65;1969;117
19291;11;1969;118
19291;65;1969;118
19295;65;1969;119
19297;65;1969;120
19296;69;1969;122
19295;69;1969;123
19297;69;1969;123
