PEP_ID;BBCH;YEAR;DAY
19296;60;2014;79
19299;60;2014;83
19296;65;2014;84
19296;11;2014;89
19296;69;2014;92
19299;65;2014;94
19299;11;2014;95
19299;69;2014;104
19299;86;2014;122
19296;86;2014;130
19296;87;2014;138
19299;87;2014;140
19296;94;2014;276
19296;95;2014;283
19299;94;2014;355
19299;95;2014;361
19299;60;2015;87
19296;60;2015;93
19299;11;2015;99
19296;65;2015;99
19299;65;2015;100
19296;11;2015;102
19296;69;2015;106
19299;69;2015;107
19299;86;2015;128
19296;86;2015;130
19296;87;2015;140
19299;87;2015;144
19296;94;2015;287
19296;95;2015;307
19299;94;2015;341
19299;95;2015;348
