PEP_ID;BBCH;YEAR;DAY
8274;11;1975;113
8276;11;1976;58
8274;11;1976;109
8276;11;1977;59
8274;11;1977;109
8276;11;1978;59
8274;11;1978;116
8276;11;1979;64
8274;11;1979;121
8276;11;1980;58
8273;11;1980;106
8275;11;1980;109
8276;11;1981;58
8275;11;1981;95
8276;11;1982;59
8274;11;1982;98
8275;11;1982;112
8276;11;1983;59
8275;11;1983;94
8273;11;1983;101
8274;11;1983;101
8276;11;1984;101
8274;11;1984;104
8273;11;1984;105
8275;11;1984;105
8275;11;1985;93
8273;11;1985;94
8274;11;1985;101
8276;11;1985;102
8276;11;1986;63
8274;11;1986;103
8273;11;1986;117
8275;11;1986;118
8275;11;1987;90
8274;11;1987;103
8276;11;1987;106
8273;11;1987;107
8273;11;1988;82
8274;11;1988;90
8276;11;1988;98
8273;11;1989;89
8276;11;1989;97
8274;11;1989;119
8276;11;1990;80
8274;11;1990;83
8275;11;1990;88
8273;11;1990;96
8273;11;1991;83
8274;11;1991;87
8276;11;1991;98
8275;11;1992;76
8274;11;1992;84
8273;11;1992;91
8276;11;1992;96
8273;11;1993;87
8275;11;1993;89
8274;11;1993;90
8274;11;1994;86
8275;11;1994;89
8276;11;1994;104
8274;11;1995;95
8273;11;1995;100
8273;11;1996;81
8274;11;1996;97
8276;11;1997;85
8274;11;1997;88
8273;11;1997;91
8276;11;1998;81
8273;11;1998;82
8274;11;1998;101
8275;11;1998;109
8273;11;1999;85
8276;11;1999;95
8274;11;1999;97
8273;11;2000;79
8274;11;2000;94
8276;11;2000;96
8273;11;2001;91
8276;11;2001;110
8273;11;2002;90
8276;11;2002;106
8273;11;2003;99
8276;11;2003;106
8273;11;2004;100
8276;11;2004;101
8273;11;2005;81
8276;11;2005;102
8273;11;2006;102
8276;11;2006;116
8276;11;2007;96
8273;11;2007;101
8273;11;2008;71
8276;11;2008;103
8277;11;2008;106
8277;11;2009;91
