PEP_ID;BBCH;YEAR;DAY
8274;60;1968;121
8274;60;1969;128
8274;60;1970;123
8275;60;1971;112
8274;60;1971;112
8273;60;1971;116
8276;60;1971;120
8275;60;1972;111
8273;60;1972;112
8274;60;1972;117
8276;60;1972;122
8273;60;1973;112
8276;60;1973;120
8274;60;1973;124
8274;60;1974;101
8273;60;1974;111
8276;60;1974;122
8273;60;1975;94
8274;60;1975;104
8275;60;1975;114
8274;87;1975;204
8274;60;1976;102
8273;60;1976;102
8275;65;1976;116
8276;60;1976;120
8274;87;1976;200
8275;94;1976;275
8276;94;1976;283
8273;60;1977;101
8274;60;1977;109
8275;60;1977;111
8275;65;1977;116
8276;60;1977;123
8274;87;1977;199
8275;87;1977;219
8275;94;1977;279
8276;94;1977;285
8273;60;1978;106
8275;60;1978;116
8274;60;1978;116
8275;65;1978;118
8276;60;1978;123
8274;87;1978;200
8276;94;1978;288
8275;94;1978;292
8273;60;1979;123
8276;60;1979;126
8273;65;1979;128
8274;60;1979;131
8275;60;1979;134
8275;65;1979;140
8274;87;1979;203
8273;87;1979;224
8276;94;1979;289
8275;94;1979;301
8274;94;1979;315
8273;60;1980;106
8274;60;1980;111
8273;65;1980;114
8276;60;1980;118
8273;87;1980;208
8273;94;1980;229
8276;94;1980;289
8274;94;1980;311
8273;60;1981;93
8274;60;1981;107
8276;60;1981;118
8276;94;1981;287
8274;94;1981;305
8273;60;1982;91
8273;65;1982;96
8274;60;1982;114
8276;60;1982;118
8273;87;1982;195
8276;94;1982;288
8275;94;1982;296
8274;94;1982;307
8273;60;1983;89
8274;60;1983;115
8276;60;1983;121
8273;87;1983;223
8273;94;1983;248
8276;94;1983;284
8274;94;1983;294
8275;94;1983;299
8273;60;1984;107
8273;65;1984;113
8274;60;1984;114
8274;65;1984;117
8276;60;1984;119
8273;94;1984;283
8276;94;1984;288
8275;94;1984;299
8274;94;1984;303
8274;60;1985;104
8273;60;1985;105
8273;65;1985;108
8274;65;1985;112
8276;60;1985;117
8273;94;1985;259
8274;94;1985;278
8276;94;1985;290
8275;94;1985;298
8274;60;1986;121
8276;60;1986;122
8273;60;1986;123
8274;65;1986;125
8273;65;1986;132
8273;87;1986;232
8273;94;1986;277
8274;94;1986;278
8276;94;1986;289
8275;94;1986;295
8273;60;1987;108
8273;65;1987;110
8274;60;1987;113
8276;60;1987;115
8274;65;1987;117
8273;94;1987;285
8275;94;1987;297
8276;94;1987;300
8273;60;1988;87
8273;65;1988;96
8276;60;1988;101
8274;60;1988;102
8274;65;1988;105
8276;65;1988;115
8275;94;1988;271
8276;94;1988;313
8273;60;1989;87
8273;65;1989;94
8276;60;1989;100
8275;94;1989;276
8273;94;1989;277
8276;94;1989;318
8276;60;1990;84
8273;60;1990;88
8273;65;1990;94
8274;60;1990;95
8276;65;1990;95
8273;94;1990;269
8275;94;1990;276
8276;94;1990;296
8273;60;1991;85
8273;65;1991;94
8276;60;1991;99
8274;60;1991;102
8274;65;1991;106
8273;94;1991;271
8275;94;1991;276
8276;94;1991;298
8273;60;1992;95
8276;60;1992;96
8274;60;1992;96
8273;65;1992;103
8273;94;1992;268
8275;94;1992;299
8276;94;1992;299
8273;60;1993;92
8273;65;1993;100
8274;60;1993;104
8273;94;1993;268
8275;94;1993;285
8276;60;1994;98
8274;60;1994;108
8275;94;1994;276
8276;94;1994;297
8273;60;1995;101
8273;65;1995;110
8274;60;1995;111
8274;65;1995;114
8275;94;1995;267
8273;94;1995;274
8273;60;1996;96
8273;65;1996;104
8274;60;1996;120
8274;65;1996;123
8273;94;1996;284
8275;94;1996;302
8273;60;1997;91
8276;60;1997;94
8273;65;1997;98
8274;60;1997;101
8275;94;1997;251
8273;94;1997;284
8276;94;1997;312
8276;60;1998;93
8273;60;1998;95
8273;65;1998;112
8274;60;1998;118
8273;94;1998;275
8276;94;1998;299
8273;60;1999;92
8273;65;1999;100
8274;60;1999;104
8275;94;1999;268
8273;94;1999;282
8276;94;1999;301
8273;60;2000;102
8274;60;2000;107
8273;65;2000;110
8274;65;2000;111
8275;94;2000;263
8273;94;2000;275
8276;94;2000;298
8274;94;2001;115
8276;94;2001;329
8274;94;2002;99
8276;94;2002;332
8276;94;2003;331
8276;94;2004;327
8276;94;2005;333
8276;94;2006;327
8277;94;2007;308
8276;94;2007;323
8277;60;2008;126
8277;94;2008;276
8276;94;2008;317
8277;94;2009;292
