PEP_ID;BBCH;YEAR;DAY
20448;81;1951;128
20448;100;1951;147
20448;60;1952;66
20450;60;1952;92
20450;65;1952;97
20450;81;1952;139
20450;100;1952;149
20450;95;1952;317
20448;60;1953;81
20448;65;1953;87
20450;60;1953;91
20450;65;1953;103
20450;81;1953;126
20450;100;1953;135
20450;95;1953;348
20448;60;1954;81
20448;69;1954;87
20452;60;1955;105
20452;65;1955;111
20452;81;1955;152
20452;100;1955;165
20452;95;1955;298
20448;60;1956;103
20448;65;1956;107
20448;69;1956;153
20448;81;1956;162
20448;100;1956;165
20448;60;1957;81
20448;65;1957;87
20448;81;1957;137
20448;100;1957;145
20448;95;1957;342
20448;60;1958;98
20448;65;1958;103
20449;60;1958;116
20449;65;1958;122
20449;69;1958;128
20450;60;1959;80
20450;65;1959;85
20450;81;1959;136
20450;100;1959;141
20448;60;1960;85
20448;65;1960;86
20450;60;1960;92
20450;65;1960;94
20450;81;1960;143
20450;100;1960;147
20448;95;1960;330
20448;60;1961;74
20448;65;1961;82
20450;60;1961;87
20450;65;1961;89
20449;65;1961;97
20450;81;1961;134
20448;81;1961;137
20450;100;1961;143
20448;100;1961;143
20450;60;1962;92
20450;65;1962;95
20448;60;1962;97
20450;69;1962;101
20449;60;1962;112
20449;65;1962;114
20448;69;1962;114
20449;69;1962;118
20448;81;1962;129
20448;100;1962;135
20450;81;1962;139
20450;100;1962;141
20452;60;1962;146
20451;94;1962;262
20451;95;1962;269
20450;60;1963;76
20450;65;1963;83
20450;69;1963;90
20449;60;1963;109
20449;65;1963;113
20449;69;1963;117
20451;60;1963;122
20451;65;1963;129
20450;81;1963;134
20451;69;1963;137
20450;100;1963;139
20449;81;1963;146
20452;81;1963;153
20449;100;1963;154
20452;100;1963;161
20451;94;1963;290
20449;94;1963;299
20452;94;1963;302
20449;95;1963;306
20451;95;1963;308
20448;95;1963;316
20452;95;1963;320
20450;95;1963;321
20450;60;1964;82
20448;60;1964;89
20450;65;1964;89
20448;65;1964;93
20450;69;1964;95
20452;60;1964;106
20448;69;1964;106
20449;60;1964;108
20452;65;1964;109
20449;65;1964;111
20449;69;1964;115
20452;69;1964;116
20451;60;1964;124
20448;81;1964;127
20451;65;1964;128
20451;69;1964;133
20448;100;1964;136
20450;81;1964;139
20450;100;1964;141
20449;81;1964;153
20449;100;1964;156
20451;94;1964;256
20451;95;1964;284
20449;94;1964;289
20449;95;1964;302
20448;95;1964;311
20448;60;1965;87
20448;65;1965;93
20450;60;1965;97
20448;69;1965;99
20450;65;1965;100
20450;69;1965;101
20449;60;1965;111
20452;60;1965;113
20449;65;1965;117
20452;65;1965;118
20449;69;1965;122
20448;81;1965;132
20451;60;1965;134
20448;100;1965;134
20450;81;1965;139
20451;65;1965;140
20451;69;1965;144
20450;100;1965;144
20449;81;1965;158
20449;100;1965;162
20452;81;1965;167
20451;81;1965;200
20451;100;1965;205
20448;94;1965;260
20451;95;1965;287
20449;94;1965;297
20449;95;1965;299
20448;95;1965;312
20450;60;1966;70
20450;65;1966;74
20450;69;1966;79
20448;60;1966;92
20448;65;1966;98
20448;69;1966;105
20449;60;1966;108
20449;65;1966;113
20449;69;1966;115
20451;60;1966;125
20451;65;1966;128
20450;81;1966;128
20450;100;1966;134
20451;69;1966;135
20448;81;1966;143
20448;100;1966;159
20449;81;1966;160
20449;100;1966;163
20451;81;1966;195
20451;100;1966;200
20451;94;1966;274
20450;94;1966;280
20449;94;1966;280
20449;95;1966;288
20450;95;1966;290
20451;95;1966;292
20448;60;1967;81
20452;60;1967;99
20452;65;1967;103
20452;69;1967;106
20450;69;1967;117
20448;81;1967;128
20448;100;1967;135
20450;81;1967;140
20450;100;1967;144
20450;94;1967;280
20449;94;1967;287
20450;95;1967;290
20449;95;1967;300
20450;60;1968;84
20448;60;1968;89
20450;65;1968;91
20450;69;1968;93
20452;60;1968;97
20448;65;1968;98
20452;65;1968;101
20449;60;1968;106
20448;69;1968;106
20452;69;1968;107
20449;65;1968;109
20449;69;1968;112
20448;81;1968;114
20451;60;1968;117
20451;65;1968;122
20448;100;1968;129
20450;81;1968;131
20450;100;1968;136
20449;81;1968;141
20449;100;1968;147
20448;94;1968;279
20449;94;1968;287
20449;95;1968;293
20450;94;1968;310
20448;95;1968;330
20450;95;1968;335
20450;60;1969;89
20448;60;1969;95
20450;65;1969;96
20448;65;1969;98
20450;69;1969;101
20452;60;1969;107
20452;65;1969;111
20449;60;1969;114
20449;65;1969;117
20449;69;1969;119
20452;69;1969;119
20448;81;1969;131
20450;81;1969;131
20448;100;1969;133
20450;100;1969;135
20449;81;1969;141
20449;100;1969;148
20449;94;1969;267
20449;95;1969;282
20452;94;1969;292
20452;95;1969;310
20448;94;1969;312
20448;95;1969;320
20450;60;1970;78
20450;65;1970;83
20448;60;1970;88
20450;69;1970;89
20452;60;1970;109
20449;60;1970;110
20452;65;1970;114
20449;65;1970;115
20452;69;1970;120
20449;69;1970;121
20448;81;1970;127
20448;100;1970;134
20450;81;1970;146
20450;100;1970;153
20449;94;1970;268
20449;95;1970;280
20452;94;1970;296
20452;95;1970;304
20448;94;1970;319
20448;95;1970;329
20450;60;1971;80
20450;65;1971;89
20448;60;1971;91
20450;69;1971;93
20448;65;1971;96
20452;60;1971;111
20449;60;1971;113
20449;65;1971;117
20452;65;1971;118
20449;69;1971;121
20452;69;1971;122
20448;81;1971;123
20448;100;1971;129
20450;81;1971;141
20450;100;1971;144
20449;94;1971;284
20449;95;1971;294
20452;94;1971;298
20452;95;1971;303
20448;94;1971;306
20448;95;1971;325
20448;60;1972;77
20448;65;1972;81
20450;60;1972;85
20448;69;1972;86
20450;65;1972;90
20449;60;1972;92
20449;65;1972;95
20450;69;1972;96
20449;69;1972;103
20452;60;1972;106
20452;65;1972;113
20448;81;1972;119
20452;69;1972;120
20448;100;1972;125
20449;81;1972;131
20450;81;1972;136
20449;100;1972;141
20450;100;1972;141
20449;94;1972;259
20449;95;1972;264
20448;94;1972;292
20452;94;1972;302
20448;95;1972;308
20450;60;1973;80
20452;60;1973;103
20452;65;1973;113
20449;60;1973;117
20449;65;1973;122
20451;60;1973;123
20449;69;1973;125
20451;65;1973;126
20451;69;1973;139
20450;81;1973;143
20450;100;1973;147
20449;94;1973;281
20449;95;1973;287
20452;94;1973;298
20452;95;1973;308
20450;60;1974;71
20450;65;1974;73
20449;60;1974;93
20449;65;1974;98
20452;60;1974;103
20449;69;1974;104
20450;69;1974;104
20452;65;1974;111
20452;69;1974;120
20448;81;1974;140
20450;81;1974;144
20448;100;1974;144
20450;100;1974;149
20449;94;1974;285
20452;94;1974;299
20449;95;1974;300
20452;95;1974;305
20448;60;1975;78
20450;60;1975;80
20450;65;1975;83
20448;65;1975;86
20448;69;1975;96
20449;60;1975;104
20449;65;1975;108
20449;69;1975;111
20452;60;1975;117
20448;81;1975;118
20452;65;1975;120
20448;100;1975;124
20452;69;1975;141
20450;100;1975;151
20449;81;1975;157
20452;81;1975;165
20452;100;1975;170
20449;100;1975;170
20449;94;1975;271
20449;95;1975;290
20448;94;1975;299
20448;95;1975;313
20448;60;1976;87
20448;65;1976;92
20450;60;1976;93
20448;69;1976;95
20450;65;1976;111
20450;69;1976;116
20448;81;1976;123
20448;100;1976;127
20450;81;1976;141
20450;100;1976;146
20449;81;1976;196
20449;100;1976;207
20450;94;1976;241
20450;95;1976;245
20449;94;1976;266
20448;94;1976;308
20448;95;1976;318
20448;60;1977;74
20448;65;1977;79
20448;69;1977;83
20449;60;1977;86
20449;65;1977;90
20450;69;1977;93
20449;69;1977;94
20448;81;1977;111
20448;100;1977;122
20450;81;1977;129
20449;81;1977;138
20450;100;1977;145
20449;100;1977;146
20448;94;1977;314
20448;95;1977;325
20448;60;1978;82
20448;65;1978;87
20448;69;1978;103
20448;100;1978;135
20449;94;1978;286
20448;94;1978;300
20449;95;1978;303
20448;95;1978;310
20450;60;1979;73
20448;60;1979;78
20450;65;1979;81
20448;65;1979;82
20448;69;1979;89
20450;69;1979;92
20448;81;1979;120
20448;100;1979;127
20450;81;1979;139
20450;100;1979;144
20449;94;1979;266
20449;95;1979;274
20450;94;1979;282
20448;94;1979;300
20450;95;1979;304
20448;95;1979;311
20448;60;1980;89
20448;65;1980;102
20448;69;1980;119
20448;81;1980;147
20448;100;1980;156
20449;94;1980;280
20449;95;1980;295
20448;94;1980;307
20448;95;1980;328
20448;60;1981;93
20449;60;1981;95
20448;65;1981;95
20450;69;1981;99
20449;65;1981;100
20449;69;1981;106
20448;69;1981;107
20448;81;1981;132
20450;81;1981;134
20448;100;1981;139
20450;100;1981;142
20449;81;1981;148
20449;100;1981;157
20449;94;1981;289
20448;94;1981;302
20449;95;1981;306
20448;95;1981;321
20448;60;1982;85
20450;69;1982;93
20448;65;1982;97
20450;81;1982;106
20448;69;1982;108
20450;100;1982;132
20448;81;1982;134
20448;100;1982;138
20450;94;1982;140
20448;94;1982;293
20448;95;1982;317
20448;60;1983;80
20448;65;1983;81
20450;65;1983;93
20448;69;1983;95
20450;69;1983;99
20451;60;1983;118
20448;81;1983;122
20451;65;1983;123
20448;100;1983;131
20451;69;1983;132
20450;81;1983;155
20450;100;1983;160
20451;81;1983;182
20451;100;1983;191
20448;94;1983;308
20448;95;1983;322
20448;60;1984;78
20448;65;1984;83
20448;69;1984;91
20448;81;1984;124
20448;100;1984;131
20448;94;1984;295
20448;95;1984;353
20448;60;1985;85
20448;65;1985;93
20448;69;1985;112
20449;60;1985;113
20449;65;1985;121
20449;69;1985;130
20448;81;1985;140
20448;100;1985;146
20449;81;1985;156
20449;100;1985;163
20449;94;1985;276
20449;95;1985;301
20448;94;1985;305
20448;95;1985;325
20448;60;1986;91
20448;65;1986;99
20448;69;1986;110
20448;81;1986;128
20448;100;1986;134
20448;94;1986;278
20448;95;1986;320
20448;60;1987;92
20448;65;1987;98
20450;60;1987;99
20448;69;1987;105
20450;65;1987;107
20450;69;1987;117
20448;81;1987;139
20448;100;1987;141
20450;81;1987;154
20450;100;1987;160
20450;95;1987;282
20448;60;1988;94
20448;65;1988;100
20448;69;1988;112
20448;81;1988;129
20448;100;1988;136
20448;95;1988;336
20450;60;1989;76
20448;60;1989;84
20450;65;1989;86
20448;65;1989;98
20450;69;1989;102
20448;69;1989;109
20450;81;1989;123
20448;81;1989;124
20450;100;1989;129
20448;100;1989;129
20448;94;1989;296
20450;94;1989;297
20448;95;1989;319
20450;95;1989;320
20448;60;1990;76
20450;60;1990;79
20448;65;1990;80
20450;65;1990;91
20452;65;1990;94
20450;69;1990;101
20452;69;1990;109
20450;81;1990;120
20448;81;1990;121
20449;81;1990;129
20448;100;1990;129
20450;100;1990;135
20449;100;1990;140
20452;94;1990;252
20450;94;1990;301
20449;94;1990;306
20448;94;1990;312
20448;95;1990;323
20449;95;1990;323
20450;95;1990;328
20448;60;1993;91
20450;60;1993;91
20448;65;1993;98
20452;60;1993;101
20449;60;1993;107
20448;69;1993;107
20450;65;1993;109
20449;65;1993;110
20450;69;1993;114
20449;69;1993;115
20448;81;1993;121
20452;65;1993;126
20451;60;1993;131
20448;100;1993;131
20452;69;1993;132
20451;65;1993;134
20449;81;1993;139
20451;69;1993;144
20449;100;1993;144
20450;81;1993;170
20450;100;1993;175
20450;94;1993;239
20450;95;1993;243
20452;81;1993;257
20452;100;1993;267
20452;94;1993;277
20449;94;1993;290
20449;95;1993;292
20452;95;1993;292
20448;94;1993;320
20448;95;1993;331
20450;60;1994;72
20450;65;1994;76
20450;81;1994;151
20450;100;1994;155
20450;94;1994;261
20450;95;1994;277
20448;60;1996;97
20448;65;1996;101
20448;69;1996;106
20448;81;1996;130
20448;100;1996;136
20448;94;1996;298
20448;95;1996;310
20449;60;1997;99
20449;65;1997;109
20449;69;1997;114
20449;81;1997;170
20449;100;1997;180
20449;94;1997;262
20449;95;1997;282
20449;60;1998;93
20449;65;1998;107
20449;69;1998;112
20451;60;2000;124
20451;65;2000;130
20452;60;2004;111
20452;65;2004;116
20452;69;2004;121
20451;60;2004;122
20451;65;2004;126
20451;69;2004;136
20452;81;2004;172
20452;100;2004;177
20451;81;2004;183
20451;100;2004;192
20452;94;2004;284
20451;94;2004;289
20451;95;2004;299
20452;95;2004;306
20450;60;2005;100
20450;65;2005;104
20450;69;2005;107
20451;60;2005;120
20451;65;2005;124
20451;69;2005;134
20450;81;2005;144
20450;100;2005;151
20451;81;2005;181
20451;100;2005;190
20451;94;2005;287
20451;95;2005;297
20451;60;2006;120
20451;65;2006;124
20451;69;2006;134
20451;81;2006;181
20451;100;2006;190
20451;94;2006;287
20451;95;2006;292
20451;60;2007;99
20451;65;2007;104
20448;81;2007;117
20451;69;2007;119
20451;81;2007;181
20451;100;2007;190
20450;60;2008;82
20448;60;2008;85
20450;65;2008;86
20448;65;2008;93
20451;60;2008;101
20448;69;2008;109
20451;65;2008;116
20451;69;2008;121
20448;81;2008;146
20448;100;2008;164
20451;81;2008;183
20451;100;2008;192
20451;94;2008;284
20448;94;2008;297
20448;95;2008;302
20451;60;2009;120
