PEP_ID;BBCH;YEAR;DAY
20449;60;1955;94
20449;65;1955;96
20448;60;1993;100
20448;65;1993;104
20448;69;1993;118
20448;81;1993;139
20448;100;1993;160
20448;94;1993;328
20448;95;1993;343
20448;60;1996;101
20448;65;1996;107
20448;69;1996;119
20448;81;1996;146
20448;100;1996;172
20448;94;1996;320
20448;95;1996;337
20448;60;2000;87
20449;60;2001;78
20451;60;2001;90
20449;65;2001;94
20449;69;2001;96
20451;65;2001;109
20451;69;2001;119
20449;81;2001;158
20451;81;2001;160
20449;100;2001;165
20451;100;2001;170
20449;94;2001;272
20450;60;2002;64
20450;65;2002;70
20450;69;2002;78
20450;81;2002;127
20450;100;2002;134
20449;60;2004;114
20449;65;2004;116
20449;69;2004;120
20449;81;2004;177
20449;100;2004;183
20452;60;2005;114
20452;65;2005;119
20452;69;2005;124
20452;81;2005;160
20452;100;2005;165
20452;94;2005;267
20452;95;2005;287
20452;60;2006;109
20449;60;2006;109
20449;65;2006;112
20452;65;2006;114
20449;69;2006;115
20452;69;2006;119
20449;81;2006;155
20449;100;2006;160
20452;81;2006;165
20452;100;2006;170
20449;94;2006;282
20452;94;2006;292
20449;95;2006;297
20452;95;2006;302
20448;60;2007;80
20450;60;2007;83
20450;65;2007;88
20448;69;2007;89
20452;60;2007;98
20450;69;2007;99
20449;60;2007;101
20452;65;2007;103
20449;65;2007;104
20452;69;2007;108
20449;69;2007;108
20448;81;2007;133
20449;81;2007;141
20448;100;2007;143
20449;100;2007;145
20452;81;2007;150
20452;100;2007;159
20452;94;2007;287
20452;95;2007;313
20448;60;2008;75
20448;65;2008;82
20448;69;2008;88
20452;60;2008;96
20452;65;2008;99
20452;69;2008;106
20449;60;2008;109
20449;65;2008;113
20449;69;2008;116
20449;81;2008;157
20452;81;2008;157
20449;100;2008;162
20452;100;2008;167
20449;94;2008;279
20452;94;2008;284
20449;95;2008;289
20452;95;2008;310
20448;60;2009;83
20448;65;2009;88
20448;69;2009;98
20449;60;2009;102
20449;65;2009;105
20452;60;2009;107
20449;69;2009;109
20452;69;2009;111
20448;81;2009;144
20449;81;2009;151
20448;100;2009;155
20449;100;2009;156
20452;81;2009;160
20452;100;2009;165
20448;94;2009;282
20448;95;2009;292
20452;94;2009;297
20452;95;2009;308
20448;60;2010;83
20448;65;2010;88
20448;69;2010;95
20450;60;2010;99
20450;65;2010;104
20450;69;2010;109
20449;60;2010;112
20449;65;2010;115
20449;69;2010;119
20450;81;2010;135
20450;100;2010;140
20448;81;2010;144
20449;81;2010;144
20449;100;2010;155
20449;94;2010;287
20449;95;2010;297
20448;60;2011;81
20450;60;2011;82
20448;65;2011;87
20450;65;2011;93
20448;69;2011;97
20452;60;2011;98
20449;60;2011;103
20452;65;2011;103
20449;65;2011;106
20452;69;2011;108
20449;69;2011;109
20451;60;2011;113
20451;65;2011;117
20451;69;2011;123
20450;81;2011;128
20450;100;2011;133
20448;81;2011;147
20452;81;2011;154
20449;81;2011;155
20452;100;2011;159
20449;100;2011;160
20448;100;2011;165
20451;81;2011;169
20448;94;2011;260
20451;94;2011;282
20448;95;2011;292
20452;94;2011;297
20451;95;2011;302
20452;95;2011;308
20452;60;2012;106
20449;60;2012;106
20449;65;2012;111
20449;69;2012;114
20452;65;2012;116
20451;60;2012;122
20452;69;2012;122
20451;65;2012;126
20451;69;2012;133
20452;81;2012;162
20451;81;2012;167
20452;100;2012;172
20451;100;2012;180
20452;94;2012;310
20452;95;2012;320
20448;60;2013;81
20450;60;2013;85
20448;65;2013;88
20449;60;2014;76
20450;60;2014;80
20450;65;2014;87
20448;60;2014;96
20452;60;2014;104
20448;65;2014;106
20448;69;2014;109
20449;65;2014;110
20452;65;2014;114
20451;60;2014;115
20449;69;2014;115
20452;69;2014;119
20451;65;2014;121
20450;81;2014;130
20449;81;2014;138
20451;69;2014;140
20448;81;2014;143
20449;87;2014;148
20452;81;2014;155
20452;87;2014;160
20448;87;2014;166
20451;81;2014;182
20451;87;2014;191
20451;96;2014;213
20451;97;2014;237
20448;96;2014;324
20448;97;2014;340
