PEP_ID;BBCH;YEAR;DAY
7720;60;1894;92
7752;60;1894;92
7515;60;1894;93
7923;60;1894;93
7839;60;1894;94
7641;60;1894;95
7857;60;1894;98
7499;60;1894;98
8007;60;1894;98
7482;60;1894;99
7922;60;1894;104
7499;60;1895;112
7763;60;1895;112
7645;60;1895;114
8007;60;1895;115
7515;60;1895;116
7901;60;1895;117
7482;60;1895;117
7857;60;1895;119
7996;60;1895;124
7473;60;1895;128
7752;60;1896;97
7515;60;1896;105
7645;60;1896;106
7956;60;1896;111
7492;60;1896;111
7923;60;1896;112
7566;60;1896;119
7996;60;1896;123
7938;60;1896;126
7473;60;1896;127
7752;60;1897;101
7742;60;1897;108
7645;60;1897;110
7785;60;1897;110
7566;60;1897;113
8005;60;1897;113
7492;60;1897;116
7640;60;1897;118
7996;60;1897;120
7922;60;1897;120
7923;60;1897;121
7956;60;1897;125
7473;60;1897;133
7752;60;1898;107
8005;60;1898;112
7566;60;1898;115
7923;60;1898;117
7954;60;1898;118
7499;60;1898;122
7996;60;1898;125
7473;60;1898;126
7742;60;1899;111
7752;60;1899;111
7954;60;1899;113
8000;60;1899;115
7566;60;1899;115
7758;60;1899;122
7954;60;1900;116
8005;60;1900;117
7923;60;1900;117
7566;60;1900;118
7758;60;1900;123
7645;60;1901;114
8005;60;1901;116
7566;60;1901;117
7758;60;1901;124
7645;60;1902;111
7954;60;1902;112
7923;60;1902;112
7566;60;1902;113
7758;60;1902;118
7909;60;1902;126
7566;60;1903;96
7645;60;1903;98
8005;60;1903;99
7954;60;1903;101
7758;60;1903;102
7909;60;1903;123
7640;60;1903;123
7996;60;1903;125
7742;60;1904;105
8005;60;1904;109
7857;60;1904;110
7645;60;1904;111
7954;60;1904;111
7566;60;1904;112
7923;60;1904;119
7909;60;1904;120
7814;60;1905;103
8005;60;1905;112
7645;60;1905;114
7566;60;1905;115
7640;60;1905;116
7954;60;1905;118
7909;60;1905;121
7814;60;1906;102
7954;60;1906;104
7492;60;1906;105
7645;60;1906;107
7566;60;1906;109
7909;60;1906;112
7779;60;1907;106
7689;60;1907;107
7814;60;1907;109
7645;60;1907;114
7954;60;1907;115
7566;60;1907;120
7979;60;1907;122
7545;60;1907;122
7640;60;1907;125
7492;60;1907;126
7566;60;1908;107
7689;60;1908;117
7807;60;1908;123
7545;60;1908;124
7954;60;1908;124
7645;60;1908;124
7909;60;1908;128
7979;60;1908;131
7689;60;1909;110
7954;60;1909;114
7645;60;1909;116
7923;60;1909;119
7909;60;1909;121
7807;60;1909;127
7689;60;1910;97
7566;60;1910;100
7870;60;1910;102
7645;60;1910;104
7844;60;1910;104
7934;60;1910;107
7954;60;1910;107
7923;60;1910;113
7909;60;1910;115
7742;60;1911;105
7533;60;1911;107
7870;60;1911;107
7844;60;1911;108
7566;60;1911;110
7954;60;1911;110
7934;60;1911;111
7645;60;1911;112
7886;60;1911;121
7742;60;1912;86
7657;60;1912;93
7787;60;1912;94
7862;60;1912;95
7689;60;1912;98
7954;60;1912;98
7566;60;1912;101
7645;60;1912;103
7909;60;1912;109
7844;60;1912;111
7742;60;1913;82
7870;60;1913;84
7566;60;1913;91
7862;60;1913;92
7917;60;1913;92
7787;60;1913;95
7934;60;1913;95
7954;60;1913;98
7492;60;1913;100
7657;60;1913;101
7645;60;1913;101
7909;60;1913;109
7809;60;1913;112
7742;60;1914;92
7917;60;1914;94
7954;60;1914;103
7787;60;1914;103
7566;60;1914;107
7934;60;1914;115
7862;60;1915;100
7787;60;1915;104
7909;60;1915;111
7844;60;1915;117
7479;60;1915;119
7954;60;1915;120
7934;60;1915;122
7862;60;1916;97
7787;60;1916;99
7474;60;1916;103
7544;60;1916;107
7909;60;1916;107
7954;60;1916;110
7657;60;1916;112
7500;60;1916;125
7636;60;1917;124
7909;60;1917;126
7474;60;1917;127
7492;60;1917;127
7934;60;1917;128
7657;60;1917;130
7545;60;1917;130
7954;60;1917;131
7605;60;1917;131
7552;60;1917;135
7862;60;1917;136
7787;60;1917;145
7960;60;1918;91
7862;60;1918;93
7801;60;1918;96
7657;60;1918;99
7474;60;1918;99
7605;60;1918;100
7787;60;1918;102
7500;60;1918;105
7909;60;1918;107
7954;60;1918;107
7545;60;1918;108
7645;60;1918;108
7934;60;1918;116
7552;60;1918;117
7636;60;1919;106
7960;60;1919;107
7862;60;1919;115
7934;60;1919;118
7787;60;1919;121
7704;60;1919;123
7954;60;1919;124
7645;60;1919;124
7657;60;1919;125
7958;60;1919;125
7545;60;1919;126
7552;60;1919;127
7516;60;1920;72
7636;60;1920;77
7742;60;1920;79
7960;60;1920;80
7605;60;1920;87
7787;60;1920;89
7492;60;1920;89
7954;60;1920;90
7486;60;1920;90
7867;60;1920;90
7934;60;1920;90
7645;60;1920;91
7958;60;1920;93
7635;60;1920;94
7862;60;1920;96
7545;60;1920;98
7552;60;1920;98
7481;60;1920;100
7909;60;1920;101
7636;60;1921;78
7605;60;1921;87
7742;60;1921;87
7978;60;1921;92
7645;60;1921;92
7960;60;1921;93
7787;60;1921;94
7954;60;1921;97
7488;60;1921;99
7844;60;1921;100
7914;60;1921;100
7481;60;1921;101
7545;60;1921;102
7685;60;1921;108
