PEP_ID;BBCH;YEAR;DAY
19525;60;1971;47
19527;60;1971;73
19527;86;1971;238
19525;86;1971;245
19525;60;1972;49
19527;60;1972;51
19527;86;1972;250
19525;86;1972;254
19525;60;1973;44
19527;60;1973;64
19527;86;1973;242
19525;86;1973;253
19529;60;1974;36
19525;60;1974;46
19527;60;1974;56
19526;60;1974;69
19528;60;1974;88
19529;86;1974;247
19528;86;1974;247
19525;86;1974;247
19527;86;1974;249
19526;86;1974;262
19525;60;1975;41
19527;60;1975;49
19528;60;1975;89
19529;60;1975;103
19526;60;1975;124
19525;86;1975;253
19527;86;1975;253
19525;60;1976;57
19527;60;1976;63
19529;60;1976;83
19526;60;1976;91
19527;86;1976;244
19525;86;1976;248
19529;86;1976;260
19526;86;1976;276
19525;60;1977;42
19529;60;1977;43
19527;60;1977;50
19528;86;1977;236
19527;86;1977;236
19525;86;1977;237
19527;60;1978;70
19526;60;1978;81
19525;86;1978;293
19527;60;1979;56
19525;60;1979;60
19525;86;1979;248
19525;60;1980;75
19527;60;1980;79
19525;86;1980;284
19525;60;1981;63
19529;60;1981;67
19525;86;1981;251
19525;60;1982;74
19529;60;1982;81
19525;86;1982;258
19529;86;1982;264
19525;60;1983;61
19529;60;1983;67
19527;60;1983;93
19526;60;1983;98
19529;86;1983;234
19526;86;1983;249
19527;86;1983;261
19525;86;1983;261
19528;60;1984;113
19529;60;1984;148
19527;60;1984;151
19526;60;1984;161
19525;60;1984;162
19528;86;1984;223
19529;86;1984;228
19527;86;1984;240
19525;86;1984;243
19526;86;1984;246
19529;60;1985;66
19527;60;1985;89
19527;86;1985;258
19529;86;1985;259
19529;60;1987;136
19529;86;1987;258
19529;60;1988;30
19529;86;1988;241
19529;60;1989;54
19529;86;1989;240
19526;60;2000;101
19529;86;2000;231
19529;60;2001;39
19529;65;2001;45
19529;86;2001;219
19529;60;2002;37
19529;65;2002;39
19526;60;2002;95
19526;86;2002;100
19529;86;2002;227
19529;60;2003;63
19529;65;2003;75
19529;86;2003;226
19529;60;2004;38
19529;65;2004;45
19529;86;2004;223
19529;60;2005;79
19529;65;2005;84
19529;86;2005;240
19529;60;2006;53
19525;60;2013;46
19525;65;2013;55
19526;60;2013;82
19526;65;2013;85
19526;60;2014;80
19526;65;2014;84
19526;86;2014;253
19529;60;2015;51
19529;65;2015;55
19527;60;2015;60
19525;60;2015;61
19527;65;2015;69
19525;65;2015;88
19527;86;2015;211
19525;86;2015;256
