PEP_ID;BBCH;YEAR;DAY
19486;60;2001;42
19485;60;2001;48
19488;60;2001;54
19485;10;2001;86
19488;10;2001;91
19486;10;2001;96
19488;11;2001;108
19487;10;2001;126
19485;11;2001;136
19487;11;2001;141
19486;11;2001;143
19486;86;2001;239
19488;86;2001;266
19485;86;2001;268
19488;60;2002;26
19485;60;2002;35
19486;60;2002;37
19485;10;2002;76
19488;10;2002;85
19486;10;2002;104
19488;11;2002;106
19487;10;2002;128
19485;11;2002;129
19487;11;2002;140
19486;11;2002;147
19488;86;2002;240
19486;86;2002;248
19485;86;2002;254
19485;60;2003;56
19488;60;2003;62
19486;60;2003;70
19485;10;2003;78
19488;10;2003;109
19486;10;2003;110
19488;11;2003;127
19487;10;2003;130
19485;11;2003;132
19487;11;2003;142
19486;11;2003;145
19486;86;2003;222
19488;86;2003;238
19485;86;2003;241
19485;60;2004;37
19488;60;2004;70
19486;60;2004;76
19485;10;2004;81
19488;10;2004;95
19486;10;2004;105
19488;11;2004;115
19487;10;2004;131
19485;11;2004;133
19486;11;2004;148
19487;11;2004;157
19486;86;2004;233
19488;86;2004;237
19485;86;2004;265
19485;60;2005;74
19488;60;2005;75
19486;60;2005;76
19488;10;2005;96
19486;10;2005;97
19485;10;2005;112
19488;11;2005;119
19485;11;2005;130
19487;10;2005;134
19486;11;2005;147
19487;11;2005;151
19486;86;2005;230
19488;86;2005;232
19485;86;2005;258
19486;60;2006;86
19485;60;2006;86
19488;60;2006;86
19486;10;2006;110
19485;10;2006;117
19488;10;2006;117
19487;10;2006;129
19488;11;2006;130
19485;11;2006;135
19487;11;2006;142
19486;11;2006;150
19486;86;2006;245
19488;86;2006;248
19485;86;2006;255
19488;60;2007;15
19485;60;2007;32
19486;60;2007;38
19485;10;2007;76
19488;10;2007;98
19486;10;2007;102
19488;11;2007;113
19487;10;2007;117
19485;11;2007;125
19487;11;2007;129
19486;11;2007;144
19486;86;2007;225
19485;86;2007;251
19488;86;2007;253
19488;60;2008;21
19485;60;2008;46
19486;60;2008;75
19485;10;2008;89
19488;10;2008;93
19486;10;2008;94
19487;10;2008;112
19488;11;2008;118
19485;11;2008;128
19487;11;2008;133
19486;11;2008;147
19486;86;2008;240
19488;86;2008;249
19485;86;2008;255
19488;60;2009;63
19485;60;2009;65
19486;60;2009;79
19488;10;2009;94
19485;10;2009;98
19486;10;2009;99
19488;11;2009;108
19485;11;2009;110
19486;11;2009;123
19487;10;2009;126
19487;11;2009;140
19486;86;2009;220
19488;86;2009;237
19485;86;2009;253
19486;60;2010;67
19485;60;2010;73
19488;60;2010;81
19486;10;2010;98
19485;10;2010;100
19488;10;2010;105
19485;11;2010;116
19488;11;2010;120
19487;10;2010;136
19487;11;2010;146
19486;11;2010;147
19486;86;2010;224
19488;86;2010;240
19485;86;2010;252
19486;60;2011;70
19488;60;2011;71
19485;60;2011;74
19488;10;2011;90
19485;10;2011;91
19486;10;2011;94
19488;11;2011;106
19485;11;2011;115
19487;10;2011;129
19486;11;2011;131
19487;11;2011;140
19486;86;2011;216
19488;86;2011;237
19485;86;2011;258
19488;60;2012;10
7352;60;2012;14
19485;60;2012;23
19486;60;2012;25
7282;60;2012;63
20313;60;2012;72
20385;60;2012;72
20312;60;2012;73
20382;60;2012;73
19488;10;2012;75
7352;10;2012;78
19486;10;2012;79
7282;10;2012;83
19488;11;2012;84
20382;10;2012;89
20311;60;2012;91
20382;11;2012;93
19485;10;2012;95
7352;11;2012;95
20385;10;2012;96
19486;11;2012;96
20311;10;2012;98
20384;60;2012;98
20312;10;2012;100
19485;11;2012;100
7282;11;2012;100
20385;11;2012;104
20311;11;2012;105
20384;10;2012;106
20312;11;2012;116
20313;10;2012;117
20313;11;2012;118
20384;11;2012;119
7352;86;2012;201
19488;86;2012;232
7282;86;2012;233
19486;86;2012;235
19485;86;2012;248
20311;86;2012;248
20385;86;2012;253
20312;86;2012;267
20382;86;2012;267
20384;86;2012;273
20313;86;2012;278
19485;60;2013;32
7352;60;2013;40
20382;60;2013;48
19488;60;2013;62
19486;60;2013;65
7282;60;2013;66
20385;60;2013;66
20311;60;2013;101
19485;10;2013;102
7352;10;2013;104
7282;10;2013;104
20312;60;2013;104
19486;10;2013;105
20313;60;2013;106
7352;11;2013;107
20311;10;2013;108
19485;11;2013;108
20382;10;2013;109
19488;10;2013;109
20385;10;2013;109
19488;11;2013;111
20385;11;2013;112
20382;11;2013;112
19486;11;2013;113
20312;10;2013;114
20311;11;2013;116
7282;11;2013;117
20313;10;2013;119
20384;10;2013;120
20384;11;2013;123
20312;11;2013;125
20313;11;2013;131
19488;86;2013;237
19486;86;2013;238
7352;86;2013;240
20311;86;2013;248
19485;86;2013;253
7282;86;2013;256
20385;86;2013;257
20382;86;2013;264
20312;86;2013;270
20384;86;2013;285
20313;86;2013;301
19488;60;2015;16
7352;60;2015;22
20385;60;2015;44
7282;60;2015;50
19486;60;2015;53
20311;60;2015;61
20382;60;2015;63
19485;60;2015;67
20312;60;2015;74
19486;10;2015;76
7282;10;2015;78
19488;10;2015;82
7352;10;2015;85
20313;60;2015;94
20384;60;2015;97
19485;10;2015;98
7352;11;2015;100
20382;10;2015;101
20385;10;2015;101
20311;10;2015;102
19485;11;2015;102
19486;11;2015;103
20312;10;2015;104
20385;11;2015;106
20382;11;2015;106
19488;11;2015;108
20313;10;2015;110
20311;11;2015;112
20384;10;2015;115
20312;11;2015;115
7282;11;2015;118
20384;11;2015;120
20313;11;2015;121
7352;86;2015;185
19486;86;2015;215
19488;86;2015;230
19485;86;2015;246
20311;86;2015;248
7282;86;2015;258
20382;86;2015;262
20385;86;2015;270
20312;86;2015;273
20384;86;2015;277
20313;86;2015;293
