PEP_ID;BBCH;YEAR;DAY
19291;60;1961;42
19299;60;1961;42
19300;60;1961;43
19297;60;1961;47
19295;60;1961;51
19293;60;1961;71
19299;86;1961;230
19300;86;1961;235
19295;86;1961;245
19291;86;1961;247
19297;86;1961;248
19296;86;1961;250
19293;86;1961;263
19300;60;1962;51
19295;60;1962;55
19297;60;1962;72
19293;60;1962;109
19299;86;1962;232
19295;86;1962;239
19300;86;1962;243
19291;86;1962;244
19296;86;1962;247
19297;86;1962;259
19293;86;1962;270
19299;60;1963;47
19300;60;1963;65
19295;60;1963;73
19297;60;1963;81
19299;86;1963;230
19300;86;1963;237
19295;86;1963;239
19299;60;1964;45
19291;60;1964;72
19300;60;1964;76
19297;60;1964;82
19293;60;1964;83
19295;60;1964;84
19300;86;1964;232
19295;86;1964;234
19293;86;1964;252
19300;60;1965;67
19291;60;1965;69
19295;60;1965;71
19297;60;1965;71
19293;60;1965;93
19296;86;1965;237
19291;86;1965;237
19295;86;1965;239
19300;86;1965;240
19297;86;1965;251
19293;86;1965;255
19299;60;1966;36
19295;60;1966;44
19291;60;1966;45
19300;60;1966;47
19297;60;1966;47
19293;60;1966;53
19296;60;1966;60
19299;86;1966;227
19296;86;1966;230
19300;86;1966;232
19295;86;1966;238
19293;86;1966;240
19297;86;1966;241
19291;86;1966;246
19291;60;1967;52
19295;60;1967;52
19300;60;1967;55
19297;60;1967;60
19296;60;1967;61
19293;60;1967;63
19300;86;1967;238
19291;86;1967;240
19296;86;1967;240
19293;86;1967;241
19297;86;1967;242
19295;86;1967;242
19299;60;1968;36
19300;60;1968;46
19291;60;1968;48
19295;60;1968;52
19296;60;1968;53
19297;60;1968;54
19293;60;1968;77
19299;86;1968;232
19300;86;1968;233
19295;86;1968;238
19296;86;1968;239
19291;86;1968;241
19297;86;1968;241
19299;60;1969;38
19300;60;1969;61
19291;60;1969;63
19297;60;1969;63
19295;60;1969;70
19293;60;1969;75
19296;60;1969;79
19299;86;1969;230
