PEP_ID;BBCH;YEAR;DAY
20451;86;1951;221
20451;11;1954;78
20451;60;1954;90
20452;11;1954;119
20452;86;1954;248
20452;65;1955;87
20451;60;1955;97
20452;11;1955;113
20452;86;1955;235
20451;11;1956;93
20450;86;1956;262
20451;11;1958;121
20451;11;1959;69
20451;60;1961;72
20449;60;1962;53
20451;60;1962;88
20449;65;1962;113
20449;86;1962;226
20451;86;1962;257
20452;86;1963;222
20449;86;1963;224
20451;60;1964;70
20452;60;1964;73
20452;65;1964;82
20451;65;1964;85
20451;86;1964;241
20449;60;1965;75
20449;65;1965;78
20451;60;1966;59
20449;60;1966;64
20451;65;1966;68
20449;65;1966;69
20449;86;1966;229
20451;86;1966;249
20451;60;1967;72
20449;60;1968;68
20451;60;1968;80
20449;65;1968;82
20451;65;1968;92
20449;86;1968;223
20451;86;1968;238
20449;60;1969;63
20451;60;1969;68
20449;65;1969;75
20451;65;1969;76
20449;86;1969;228
20451;86;1969;262
20449;86;1970;239
20452;60;1971;76
20452;65;1971;88
20449;65;1971;91
20449;86;1971;229
20452;86;1971;234
20449;60;1972;62
20449;65;1972;74
20449;86;1972;239
20449;60;1973;70
20451;60;1973;76
20449;65;1973;76
20451;65;1973;80
20449;86;1973;212
20451;86;1973;260
20451;60;1974;47
20451;65;1974;53
20452;60;1975;65
20451;60;1975;65
20449;60;1975;72
20451;65;1975;73
20452;65;1975;74
20449;65;1975;81
20449;86;1975;226
20452;86;1975;231
20451;60;1976;88
20451;65;1976;96
20449;86;1976;233
20451;86;1976;259
20452;60;1977;40
20450;60;1977;40
20451;60;1977;42
20450;65;1977;45
20452;65;1977;54
20451;65;1977;56
20450;86;1977;239
20452;86;1977;240
20451;86;1977;253
20452;60;1978;55
20449;60;1978;58
20451;60;1978;61
20449;65;1978;64
20451;65;1978;65
20452;65;1978;68
20449;86;1978;257
20452;86;1978;259
20451;86;1978;262
20452;60;1979;60
20449;60;1979;61
20451;60;1979;64
20449;65;1979;67
20452;65;1979;68
20451;65;1979;73
20449;86;1979;251
20451;86;1979;253
20452;86;1979;258
20449;60;1980;65
20449;65;1980;77
20451;60;1980;80
20451;65;1980;87
20449;86;1980;87
20451;86;1980;254
20449;60;1981;73
20449;65;1981;79
20449;86;1981;252
20449;60;1982;43
20449;65;1982;69
20451;60;1982;85
20451;65;1982;93
20449;86;1982;240
20451;86;1982;245
20451;60;1983;75
20451;65;1983;86
20451;86;1983;262
20449;60;1984;81
20451;60;1984;85
20449;65;1984;89
20451;65;1984;96
20449;86;1984;252
20451;86;1984;272
20449;60;1985;62
20451;60;1985;78
20449;65;1985;78
20451;65;1985;90
20449;86;1985;241
20451;60;1986;85
20451;65;1986;98
20451;86;1986;228
20451;60;1987;94
20451;65;1987;99
20451;86;1987;287
20452;60;1988;40
20451;60;1988;41
20452;65;1988;48
20451;65;1988;85
20452;86;1988;141
20451;86;1988;241
20452;60;1989;51
20449;60;1989;65
20452;65;1989;65
20449;65;1989;78
20451;60;1989;86
20451;65;1989;101
20449;86;1989;241
20451;86;1989;246
20452;60;1990;50
20451;60;1990;50
20452;65;1990;55
20449;60;1990;59
20451;65;1990;60
20449;65;1990;78
20451;86;1990;249
20452;86;1990;252
20451;60;1993;114
20451;65;1993;124
20449;60;1997;18
20449;65;1997;63
20449;86;1997;239
20449;60;1998;40
20451;60;2000;85
20451;65;2000;96
20451;69;2000;106
20451;81;2000;223
20451;100;2000;249
20451;94;2000;294
20451;95;2000;325
20449;60;2001;32
20449;65;2001;45
20451;60;2001;59
20451;65;2001;78
20451;69;2001;109
20451;81;2001;231
20451;100;2001;252
20451;94;2001;282
20451;60;2002;63
20451;65;2002;78
20451;69;2002;90
20451;81;2002;231
20451;100;2002;252
20451;94;2002;262
20451;95;2002;273
20451;60;2004;80
20451;65;2004;92
20451;69;2004;111
20451;81;2004;214
20452;81;2005;231
20452;100;2005;252
20452;94;2005;287
20452;95;2005;297
20449;60;2006;9
20449;65;2006;19
20449;69;2006;29
20451;60;2006;83
20451;65;2006;94
20449;81;2006;252
20451;81;2006;252
20449;100;2006;262
20449;94;2006;282
20449;95;2006;297
20449;60;2007;14
20449;65;2007;24
20449;69;2007;40
20451;60;2007;68
20451;65;2007;90
20451;81;2007;241
20449;81;2007;252
20449;100;2007;262
20449;60;2008;24
20449;65;2008;40
20449;69;2008;61
20451;60;2008;65
20451;65;2008;92
20451;81;2008;243
20449;81;2008;254
20452;81;2008;264
20449;100;2008;264
20449;94;2008;275
20452;100;2008;275
20449;95;2008;284
20452;94;2008;289
20452;95;2008;306
20451;60;2009;88
20451;65;2009;104
20452;81;2009;231
20451;81;2009;243
20449;81;2009;252
20452;100;2009;257
20449;100;2009;262
20451;94;2009;281
20451;95;2009;286
20452;94;2009;292
20452;95;2009;308
20449;60;2010;63
20451;60;2010;73
20449;65;2010;73
20448;60;2010;83
20449;69;2010;83
20451;65;2010;88
20448;65;2010;92
20448;69;2010;99
20452;81;2010;221
20448;81;2010;241
20451;81;2010;243
20449;81;2010;252
20452;100;2010;252
20449;100;2010;262
20449;94;2010;277
20449;95;2010;287
20452;94;2010;292
20452;95;2010;304
20449;60;2011;35
20449;65;2011;45
20449;69;2011;55
20452;81;2011;241
20449;81;2011;252
20449;100;2011;262
20449;60;2012;24
20449;65;2012;35
20449;69;2012;45
20449;60;2014;25
20449;65;2014;36
20449;69;2014;56
20449;81;2014;253
20452;81;2014;253
20452;87;2014;258
20449;87;2014;263
20452;96;2014;305
20452;97;2014;314
