PEP_ID;BBCH;YEAR;DAY
8001;60;1868;42
7811;60;1868;43
7801;60;1868;44
7612;60;1868;47
8001;11;1868;99
7801;11;1868;109
8001;86;1868;245
7801;86;1868;259
7686;60;1869;1
7612;60;1869;1
7811;60;1869;1
7593;60;1869;1
7675;60;1869;1
7881;60;1869;32
7929;60;1869;36
7686;11;1869;91
7929;11;1869;103
7801;11;1869;105
7475;86;1869;244
7929;86;1869;258
7801;86;1869;268
7801;60;1869;343
7801;60;1870;16
7593;60;1870;34
7706;60;1870;71
7811;60;1870;72
7929;60;1870;73
7929;11;1870;115
7801;11;1870;124
7475;86;1870;247
7801;86;1870;280
7686;60;1871;48
7593;60;1871;52
7801;60;1871;54
7699;60;1871;56
7929;60;1871;60
7811;60;1871;60
8001;60;1871;60
7475;60;1871;74
7929;11;1871;98
7706;11;1871;100
7801;11;1871;101
7612;11;1871;121
7475;86;1871;271
7801;86;1871;286
7706;60;1872;34
7475;60;1872;38
7811;60;1872;41
7974;60;1872;41
7699;60;1872;41
7801;60;1872;42
7612;60;1872;43
7923;60;1872;70
7923;11;1872;76
7801;11;1872;87
7612;11;1872;93
7706;11;1872;97
7929;11;1872;98
7686;60;1872;156
7475;86;1872;241
7923;60;1873;2
7612;60;1873;2
7801;60;1873;8
7699;60;1873;9
7706;60;1873;11
7929;60;1873;13
7593;60;1873;13
7475;60;1873;15
7811;60;1873;15
7686;60;1873;52
7923;11;1873;76
7475;11;1873;81
7706;11;1873;98
7929;11;1873;106
7801;11;1873;112
7475;86;1873;253
7923;86;1873;258
7535;60;1874;15
7584;60;1874;33
7923;60;1874;44
7801;60;1874;50
7929;60;1874;52
7706;11;1874;97
7923;11;1874;104
7929;11;1874;108
7881;60;1874;142
7923;86;1874;261
7801;86;1874;274
7706;60;1875;16
7929;60;1875;16
7535;60;1875;20
7584;60;1875;24
7699;60;1875;30
7475;60;1875;32
7923;60;1875;49
7801;60;1875;67
7706;11;1875;103
7929;11;1875;113
7801;11;1875;113
7475;11;1875;116
7475;86;1875;246
7929;86;1875;251
7706;86;1875;260
7923;86;1875;263
7475;60;1876;27
7923;60;1876;29
7929;60;1876;48
7801;60;1876;50
7699;60;1876;51
7593;60;1876;52
7612;60;1876;52
7797;60;1876;64
7706;11;1876;70
7475;11;1876;70
7929;11;1876;102
7801;11;1876;111
7923;86;1876;250
7475;60;1877;2
7535;60;1877;11
7801;60;1877;19
7593;60;1877;20
7699;60;1877;30
7929;60;1877;39
7923;60;1877;47
7929;11;1877;102
7475;11;1877;109
7801;11;1877;123
7929;86;1877;261
7923;86;1877;280
7801;86;1877;294
7475;60;1878;19
7923;60;1878;30
7801;60;1878;43
7475;11;1878;45
7923;86;1878;256
7662;60;1879;20
7929;60;1879;47
7923;60;1879;55
7801;60;1879;62
7699;60;1879;65
7923;11;1879;94
7662;60;1880;51
7801;60;1880;62
7699;60;1880;62
7532;60;1880;147
7699;60;1882;46
7923;60;1883;20
7988;60;1883;25
7929;60;1883;29
7884;60;1883;36
7662;60;1883;41
7669;60;1883;43
7881;60;1883;51
7669;86;1883;279
7923;86;1883;292
7662;60;1884;14
7929;60;1884;15
7990;60;1884;22
7923;60;1884;24
7669;60;1884;33
7699;60;1884;36
7934;60;1884;38
7677;60;1884;46
7990;11;1884;93
7884;60;1885;37
7881;60;1885;40
7929;60;1885;40
7699;60;1885;41
7669;60;1885;49
7697;60;1885;52
7990;11;1885;108
7923;60;1886;70
7699;60;1886;82
7990;60;1886;84
7881;60;1886;85
7990;11;1886;109
7962;60;1887;56
7669;60;1887;57
7606;60;1887;58
7649;60;1887;62
7990;60;1887;69
7569;60;1888;74
7962;60;1888;81
7699;60;1888;95
7990;60;1888;96
7990;11;1888;121
7669;86;1888;287
7962;60;1889;78
7990;60;1889;79
7669;60;1889;87
7881;60;1889;90
7990;11;1889;115
7538;60;1890;14
7745;60;1890;15
7962;60;1890;20
7962;11;1891;60
7701;11;1891;60
7699;11;1891;63
7990;11;1891;74
7962;60;1892;36
7980;60;1892;39
7990;60;1892;68
7990;11;1892;109
7729;60;1893;34
7962;60;1893;49
7990;60;1893;52
7881;60;1893;62
7669;60;1893;67
7557;60;1893;69
7873;60;1893;77
7990;11;1893;91
7499;60;1894;28
7693;60;1894;32
7953;60;1894;33
7548;60;1894;34
7610;60;1894;36
7573;60;1894;38
7635;60;1894;41
7954;60;1894;42
7492;60;1894;43
7990;60;1894;43
7515;60;1894;44
7577;60;1894;45
7956;60;1894;46
7553;60;1894;46
7867;60;1894;59
7633;60;1894;61
8000;60;1894;64
7704;60;1895;46
8000;60;1895;65
7954;60;1895;65
7742;60;1895;69
7962;60;1895;75
7482;60;1895;75
7699;60;1895;78
7577;60;1895;79
7515;60;1895;79
7645;60;1895;79
7763;60;1895;79
8007;60;1895;80
7938;60;1895;81
7814;60;1895;82
7635;60;1895;86
7625;60;1895;86
7923;60;1895;87
7901;60;1895;88
7899;60;1895;89
7814;60;1896;35
7923;60;1896;38
7996;60;1896;41
7553;60;1896;41
7669;60;1896;42
7954;60;1896;43
7962;60;1896;44
7577;60;1896;45
7645;60;1896;45
7566;60;1896;47
7647;60;1896;47
7488;60;1896;49
7742;60;1896;51
7499;60;1896;51
7763;60;1896;51
7559;60;1896;61
7900;60;1896;65
8000;60;1896;70
7990;60;1896;70
7956;60;1896;70
7922;60;1896;77
7482;60;1896;81
7492;60;1896;84
7938;60;1896;87
7990;11;1896;100
7499;60;1897;25
7742;60;1897;49
7488;60;1897;51
7640;60;1897;51
7785;60;1897;55
7645;60;1897;56
7920;60;1897;56
7814;60;1897;58
7635;60;1897;58
8000;60;1897;58
7566;60;1897;59
8005;60;1897;59
7923;60;1897;60
7956;60;1897;60
7577;60;1897;60
7996;60;1897;61
7909;60;1897;61
