PEP_ID;BBCH;YEAR;DAY
7149;60;1951;39
7150;60;1951;43
7147;60;1951;47
7148;60;1951;47
7151;60;1951;58
7143;60;1951;62
7146;60;1951;77
7152;60;1951;79
7145;60;1951;79
7142;60;1951;84
7141;60;1951;85
7140;60;1951;88
7144;60;1951;98
7147;60;1952;57
7148;60;1952;57
7149;60;1952;60
7152;60;1952;66
7151;60;1952;68
7145;60;1952;86
7140;60;1952;89
7141;60;1952;91
7143;60;1952;96
7142;60;1952;96
7150;60;1952;100
7146;60;1952;102
7144;60;1952;106
7148;60;1953;53
7147;60;1953;53
7149;60;1953;56
7143;60;1953;57
7151;60;1953;58
7145;60;1953;62
7150;60;1953;81
7146;60;1953;82
7142;60;1953;84
7152;60;1953;85
7144;60;1953;85
7140;60;1953;92
7141;60;1953;119
7150;60;1954;64
7152;60;1954;67
7151;60;1954;67
7149;60;1954;69
7143;60;1954;70
7148;60;1954;82
7147;60;1954;82
7140;60;1954;87
7145;60;1954;88
7146;60;1954;94
7142;60;1954;96
7144;60;1954;98
7141;60;1954;116
7149;60;1955;70
7152;60;1955;78
7151;60;1955;82
7147;60;1955;83
7148;60;1955;83
7143;60;1955;84
7150;60;1955;86
7146;60;1955;89
7145;60;1955;93
7140;60;1955;101
7144;60;1955;105
7142;60;1955;106
7141;60;1955;120
7149;60;1956;29
7151;60;1956;85
7150;60;1956;87
7143;60;1956;87
7148;60;1956;95
7147;60;1956;95
7152;60;1956;95
7141;60;1956;96
7145;60;1956;99
7140;60;1956;106
7142;60;1956;107
7144;60;1956;107
7146;60;1956;107
7147;60;1957;39
7148;60;1957;39
7145;60;1957;42
7150;60;1957;42
7149;60;1957;47
7143;60;1957;47
7146;60;1957;51
7141;60;1957;56
7151;60;1957;70
7144;60;1957;71
7142;60;1957;76
7140;60;1957;80
7152;60;1957;84
7151;60;1958;39
7149;60;1958;41
7148;60;1958;42
7147;60;1958;42
7143;60;1958;43
7150;60;1958;46
7141;60;1958;86
7142;60;1958;88
7146;60;1958;99
7145;60;1958;102
7152;60;1958;106
7140;60;1958;109
