PEP_ID;BBCH;YEAR;DAY
14538;60;1950;6
10623;60;1950;7
11405;60;1950;8
10988;60;1950;12
18039;60;1950;35
10587;60;1950;41
13758;60;1950;42
10981;60;1950;43
17932;60;1950;43
8777;60;1950;47
12733;60;1950;48
18489;60;1950;57
8784;60;1950;337
9488;60;1951;1
13793;60;1951;13
9330;60;1951;21
18039;60;1951;21
13731;60;1951;27
15088;60;1951;28
9488;60;1952;3
9330;60;1952;6
10089;60;1952;34
13547;60;1952;61
10937;60;1952;358
10336;60;1953;19
8692;60;1953;25
10089;60;1953;27
13793;60;1953;52
10089;60;1954;1
12521;60;1954;3
18039;60;1954;13
16514;60;1954;22
13363;60;1954;26
10937;60;1954;354
10336;60;1954;361
10089;60;1955;33
13547;60;1955;64
18266;60;1955;65
11345;60;1955;83
10089;60;1956;30
13731;60;1956;70
12521;60;1957;20
10089;60;1957;34
10089;60;1958;8
12521;60;1958;12
10089;60;1959;19
12521;60;1959;25
13547;60;1959;59
12521;60;1960;4
13653;60;1960;58
12521;60;1961;8
12521;60;1962;21
13731;60;1962;27
12521;60;1963;66
14104;60;1963;69
12521;60;1964;27
13632;60;1964;40
12521;60;1965;16
15351;60;1965;353
12521;60;1966;14
13731;60;1966;36
12521;60;1968;19
12521;60;1969;25
12521;60;1970;24
15351;60;1971;16
17769;60;1971;35
12521;60;1972;21
17769;60;1972;27
13953;60;1972;57
12521;60;1973;27
14992;60;1974;7
12521;60;1974;18
17769;60;1975;30
13520;60;1975;48
12521;60;1976;3
15102;60;1976;15
17769;60;1976;32
13731;60;1976;78
14992;60;1977;19
12521;60;1977;23
13731;60;1977;40
15102;60;1977;50
14019;60;1978;59
15102;60;1978;64
13731;60;1978;67
14992;60;1979;56
12521;60;1979;63
17192;60;1979;66
15351;60;1979;68
17769;60;1979;70
15102;60;1979;79
14992;60;1980;37
15102;60;1980;41
13731;60;1980;48
12521;60;1980;50
15351;60;1980;64
15279;60;1981;22
12521;60;1981;25
15102;60;1981;43
14992;60;1981;44
15351;60;1981;46
12521;60;1982;31
15351;60;1982;33
14992;60;1982;37
13686;60;1982;38
15102;60;1982;38
15279;60;1982;38
13717;60;1983;5
15102;60;1983;8
12521;60;1983;9
15351;60;1983;9
15279;60;1983;14
14992;60;1983;15
15351;60;1984;2
15102;60;1984;11
14992;60;1984;12
12521;60;1984;14
13528;60;1984;35
10505;60;1984;36
16559;60;1984;54
15102;60;1985;31
10505;60;1985;37
12521;60;1985;37
15351;60;1985;361
10505;60;1986;20
12521;60;1986;26
15102;60;1986;31
13528;60;1986;40
15351;60;1986;345
14992;60;1987;29
12521;60;1987;38
15102;60;1987;40
10505;60;1987;45
15102;60;1988;11
10505;60;1988;14
12521;60;1988;14
15351;60;1988;29
14992;60;1988;35
14992;60;1989;1
15102;60;1989;11
12521;60;1989;22
17769;60;1989;29
14685;60;1989;45
15351;60;1989;342
10505;60;1989;365
12521;60;1990;1
15102;60;1990;7
17769;60;1990;7
14685;60;1990;9
15279;60;1990;9
14514;60;1990;18
15351;60;1990;342
10505;60;1990;362
10505;60;1991;4
15102;60;1991;22
17769;60;1991;34
14685;60;1991;56
10505;60;1992;6
15102;60;1992;11
17769;60;1992;30
12521;60;1992;34
14685;60;1992;46
12224;11;1992;56
15351;60;1992;351
12521;60;1993;15
15102;60;1993;15
14685;60;1993;23
17192;60;1993;29
17178;60;1993;36
15279;60;1993;42
12224;11;1993;93
12224;60;1993;93
15351;60;1993;331
10505;60;1993;364
12521;60;1994;20
14685;60;1994;23
15102;60;1994;23
17769;60;1994;30
17192;60;1994;42
15351;60;1994;346
10505;60;1994;357
15102;60;1995;9
12521;60;1995;11
14685;60;1995;15
17769;60;1995;15
15279;60;1995;28
17192;60;1995;37
17191;60;1995;44
16559;60;1995;52
10505;60;1995;350
15351;60;1995;358
10505;60;1996;12
14685;60;1996;14
12521;60;1996;16
15102;60;1996;16
17769;60;1996;20
15279;60;1996;59
12224;11;1996;107
12224;97;1996;318
15351;60;1996;351
10505;60;1997;31
14685;60;1997;34
15102;60;1997;35
12521;60;1997;38
15279;60;1997;38
17769;60;1997;39
12224;11;1997;68
12224;86;1997;212
15351;60;1997;350
10505;60;1998;9
