PEP_ID;BBCH;YEAR;DAY
20448;60;2000;78
20448;65;2000;87
20449;60;2001;67
20449;65;2001;88
20449;81;2001;200
20449;100;2001;210
20450;60;2007;58
20450;65;2007;65
20448;60;2007;69
20450;69;2007;71
20448;81;2007;144
20448;60;2008;72
20448;65;2008;80
20448;69;2008;85
20448;69;2009;94
20448;60;2010;70
20448;65;2010;74
20448;69;2010;86
20450;60;2010;94
20450;81;2010;158
20450;100;2010;163
20448;81;2010;170
20448;100;2010;195
20448;94;2010;236
20448;95;2010;260
20448;60;2011;70
20450;60;2011;71
20448;65;2011;76
20450;65;2011;77
20448;69;2011;86
20448;81;2011;170
20450;100;2011;188
20448;100;2011;195
20448;94;2011;282
20448;95;2011;302
20450;60;2013;66
20448;60;2013;69
20448;65;2013;75
20450;65;2013;78
20450;60;2014;60
20450;65;2014;71
20448;60;2014;78
20450;69;2014;79
20448;65;2014;87
20450;81;2014;196
