PEP_ID;BBCH;YEAR;DAY
20450;60;1958;51
20450;81;1958;243
20450;100;1958;250
20450;95;1958;304
20448;60;1961;73
20448;65;1961;80
20448;69;1961;86
20448;95;1961;355
20450;60;1962;28
20450;65;1962;31
20448;60;1962;84
20450;81;1962;172
20450;100;1962;175
20448;81;1962;226
20448;100;1962;231
20448;95;1962;313
20450;60;1963;66
20450;65;1963;73
20450;69;1963;78
20450;81;1963;181
20450;100;1963;185
20448;95;1963;306
20450;95;1963;308
20450;60;1964;82
20450;65;1964;90
20450;69;1964;96
20450;81;1964;207
20450;100;1964;212
20450;60;1965;56
20450;65;1965;58
20448;81;1965;209
20448;100;1965;229
20448;60;1966;66
20448;65;1966;76
20448;69;1967;93
20450;81;1967;170
20450;100;1967;173
20450;94;1967;277
20448;94;1967;284
20450;95;1967;287
20448;95;1967;296
20450;60;1968;52
20450;65;1968;56
20448;60;1968;84
20448;65;1968;90
20450;81;1968;164
20450;100;1968;167
20448;100;1968;218
20448;94;1968;266
20448;95;1968;288
20450;60;1969;50
20450;65;1969;56
20448;60;1969;90
20448;65;1969;95
20448;69;1969;100
20450;81;1969;168
20450;100;1969;173
20448;81;1969;203
20448;100;1969;217
20448;94;1969;313
20448;95;1969;328
20450;60;1970;85
20448;60;1970;85
20450;65;1970;88
20448;69;1970;97
20450;81;1970;168
20450;100;1970;173
20448;81;1970;216
20448;100;1970;226
20448;94;1970;307
20448;95;1970;318
20450;60;1971;78
20448;60;1971;82
20450;65;1971;83
20448;65;1971;87
20450;69;1971;88
20450;81;1971;139
20450;100;1971;147
20448;95;1971;300
20450;95;1971;323
20448;100;1972;228
20448;94;1972;290
20448;95;1972;304
20450;100;1973;257
20448;81;1974;205
20448;100;1974;219
20448;60;1975;72
20448;65;1975;79
20448;69;1975;92
20448;81;1975;206
20448;100;1975;215
20448;94;1975;290
20448;95;1975;320
20448;60;1976;82
20448;65;1976;97
20448;69;1976;102
20448;81;1976;208
20448;100;1976;223
20448;94;1976;299
20448;95;1976;315
20448;60;1977;71
20448;65;1977;77
20448;69;1977;84
20448;81;1977;205
20448;100;1977;221
20448;94;1977;281
20448;95;1977;317
20448;60;1978;72
20448;65;1978;79
20448;69;1978;93
20448;81;1978;203
20450;100;1978;205
20448;100;1978;228
20448;94;1978;305
20448;95;1978;317
20450;60;1979;67
20450;65;1979;77
20448;60;1979;79
20448;65;1979;83
20448;69;1979;91
20450;69;1979;114
20448;81;1979;202
20450;81;1979;216
20448;100;1979;216
20450;100;1979;228
20450;94;1979;286
20448;94;1979;292
20450;95;1979;304
20448;95;1979;317
20448;60;1980;86
20448;65;1980;95
20448;69;1980;104
20448;81;1980;173
20448;100;1980;221
20448;94;1980;307
20448;95;1980;323
20448;60;1981;93
20448;65;1981;105
20448;69;1981;123
20450;100;1981;199
20448;81;1981;212
20448;100;1981;222
20448;94;1981;291
20448;95;1981;314
20448;60;1982;83
20450;65;1982;88
20448;65;1982;92
20450;69;1982;96
20448;69;1982;99
20450;81;1982;160
20450;100;1982;165
20448;81;1982;209
20448;100;1982;217
20448;94;1982;295
20450;94;1982;298
20448;95;1982;318
20450;95;1982;320
20448;60;1983;77
20448;65;1983;79
20450;60;1983;82
20448;69;1983;90
20450;65;1983;97
20450;69;1983;101
20448;81;1983;204
20448;100;1983;210
20448;94;1983;287
20448;95;1983;328
20448;60;1984;84
20448;65;1984;90
20448;69;1984;98
20448;81;1984;113
20450;81;1984;187
20450;100;1984;192
20448;100;1984;193
20448;94;1984;234
20448;95;1984;258
20448;60;1985;98
20448;65;1985;110
20448;69;1985;125
20448;81;1985;202
20448;100;1985;215
20448;94;1985;294
20448;95;1985;320
20448;60;1986;99
20448;65;1986;108
20448;69;1986;117
20448;81;1986;227
20448;100;1986;235
20448;94;1986;280
20448;95;1986;318
20450;60;1987;97
20448;60;1987;101
20450;65;1987;105
20448;65;1987;110
20450;69;1987;115
20448;69;1987;117
20450;81;1987;223
20448;81;1987;224
20448;100;1987;231
20450;100;1987;231
20450;94;1987;293
20450;95;1987;308
20448;60;1988;96
20448;65;1988;102
20448;69;1988;111
20448;81;1988;219
20448;100;1988;225
20448;95;1988;337
20450;60;1989;70
20448;60;1989;79
20450;65;1989;83
20448;65;1989;88
20450;69;1989;97
20448;69;1989;98
20450;81;1989;194
20448;81;1989;198
20450;100;1989;208
20448;100;1989;211
20450;94;1989;298
20450;95;1989;327
20448;95;1989;332
20448;60;1990;70
20448;65;1990;74
20448;81;1990;202
20448;100;1990;221
20448;94;1990;318
20448;95;1990;328
20448;60;1993;82
20450;60;1993;82
20450;65;1993;87
20448;65;1993;88
20450;69;1993;95
20450;81;1993;157
20450;100;1993;158
20448;81;1993;221
20448;100;1993;236
20450;94;1993;272
20450;95;1993;282
20448;94;1993;327
20448;95;1993;340
20448;60;1996;99
20448;65;1996;105
20448;69;1996;114
20448;81;1996;209
20448;100;1996;233
20448;94;1996;298
20448;95;1996;306
20450;60;2008;62
20450;65;2008;68
20448;60;2008;72
20448;65;2008;78
20448;69;2008;90
20448;81;2008;172
20448;100;2008;192
20448;94;2008;238
20448;95;2008;262
20448;60;2009;70
20448;65;2009;74
20448;69;2009;86
20448;81;2009;170
20448;100;2009;195
20448;94;2009;236
20448;95;2009;262
20450;60;2011;69
20450;65;2011;71
20450;100;2011;152
