PEP_ID;BBCH;YEAR;DAY
20448;81;1962;162
20448;100;1962;165
20448;60;1967;75
20448;65;1967;82
20448;69;1967;90
20448;81;1967;153
20448;100;1967;160
20448;69;1968;94
20448;81;1968;141
20448;100;1968;146
20448;94;1968;270
20448;95;1968;294
20448;60;1969;84
20448;65;1969;93
20448;69;1969;97
20448;81;1969;164
20448;60;1970;82
20448;65;1970;87
20448;69;1970;93
20448;81;1970;152
20448;100;1970;159
20448;94;1970;304
20448;95;1970;312
20448;60;1971;80
20448;65;1971;85
20448;69;1971;94
20448;81;1971;160
20448;100;1971;165
20448;95;1971;300
20448;60;1972;67
20448;65;1972;76
20448;81;1972;148
20448;100;1972;154
20448;81;1974;136
20448;100;1974;157
20448;60;1975;66
20448;65;1975;73
20448;69;1975;80
20448;81;1975;146
20448;100;1975;152
20448;60;1977;68
20448;65;1977;76
20448;69;1977;97
20448;81;1977;142
20448;100;1977;152
20448;60;1978;70
20448;65;1978;76
20448;69;1978;85
20448;81;1978;171
20448;100;1978;172
20448;94;1978;297
20448;95;1978;312
20448;60;1979;73
20448;65;1979;80
20448;69;1979;85
20448;81;1979;152
20448;100;1979;157
20448;94;1979;297
20448;95;1979;315
20448;60;1983;75
20448;65;1983;80
20448;69;1983;88
20448;81;1983;154
20448;100;1983;162
20448;94;1983;283
20448;95;1983;324
20448;60;1986;92
20448;65;1986;106
20448;69;1986;118
20448;81;1986;149
20448;100;1986;158
20448;94;1986;280
20448;95;1986;321
20450;60;1987;77
20450;65;1987;86
20448;60;1987;91
20448;65;1987;104
20448;69;1987;112
20450;69;1987;114
20448;81;1987;157
20450;81;1987;159
20448;100;1987;163
20450;100;1987;169
20450;94;1987;192
20450;95;1987;307
20448;60;1988;92
20448;65;1988;97
20448;69;1988;106
20448;81;1988;169
20448;100;1988;178
20448;94;1988;303
20448;95;1988;339
20448;60;1993;78
20448;65;1993;84
20448;81;1993;114
20448;100;1993;165
20448;94;1993;318
20448;95;1993;332
20450;60;2007;68
20450;65;2007;75
20450;69;2007;82
