PEP_ID;BBCH;YEAR;DAY
19528;11;1973;86
19528;60;1973;89
19528;65;1973;90
19528;69;1973;97
19525;11;1973;110
19529;11;1973;115
19525;60;1973;115
19525;65;1973;120
19527;60;1973;121
19527;11;1973;122
19529;60;1973;122
19525;69;1973;123
19529;65;1973;125
19527;65;1973;129
19529;69;1973;131
19528;87;1973;195
19527;87;1973;275
19529;87;1973;293
19525;87;1973;298
19529;11;1982;116
19529;60;1982;122
19529;65;1982;125
19529;69;1982;137
19525;60;1983;101
19525;65;1983;104
19529;60;1983;105
19529;65;1983;110
19525;11;1983;113
19529;11;1983;113
19529;69;1983;119
19529;60;1985;104
19529;65;1985;112
19529;11;1985;115
19529;69;1985;121
19529;60;1987;114
19529;11;1987;118
19529;65;1987;119
19529;69;1987;128
19529;60;1988;95
19529;65;1988;97
19529;11;1988;101
19529;69;1988;119
19525;60;1989;82
19525;11;1989;84
19525;65;1989;86
19525;69;1989;100
19529;11;2001;81
19529;60;2001;83
19529;65;2001;85
19529;69;2001;92
19529;86;2001;245
19529;100;2001;253
19529;60;2002;80
19529;65;2002;86
19529;11;2002;88
19529;69;2002;102
19529;86;2002;211
19529;100;2002;249
19529;60;2003;105
19529;11;2003;111
19529;65;2003;113
19529;69;2003;120
19529;100;2003;240
19529;11;2004;97
19529;60;2004;99
19529;65;2004;105
19529;69;2004;111
19529;60;2005;108
19529;11;2005;110
19529;65;2005;110
19529;69;2005;147
19529;86;2005;247
20454;60;2013;108
20454;65;2013;111
20454;69;2013;115
20454;86;2013;195
19525;60;2014;75
19525;11;2014;78
19529;60;2014;86
19529;65;2014;89
19525;65;2014;89
19529;11;2014;93
19529;69;2014;93
19527;60;2014;95
19527;65;2014;103
19527;69;2014;112
19527;86;2014;310
19529;60;2015;105
19529;11;2015;107
19529;65;2015;110
19529;69;2015;118
