PEP_ID;BBCH;YEAR;DAY
19529;60;1971;94
19529;11;1971;101
19529;65;1971;101
19527;11;1971;107
19529;69;1971;107
19527;60;1971;110
19526;11;1971;111
19526;60;1971;111
19526;65;1971;114
19527;65;1971;117
19526;69;1971;122
19529;60;1972;90
19526;11;1972;93
19529;65;1972;94
19527;60;1972;95
19526;60;1972;95
19529;11;1972;97
19527;65;1972;97
19529;69;1972;100
19527;69;1972;104
19526;65;1972;109
19526;11;1973;121
19526;60;1973;121
19526;65;1973;129
19526;87;1973;273
19528;60;1974;76
19528;65;1974;83
19528;11;1974;86
19528;69;1974;88
19525;60;1974;89
19526;11;1974;92
19526;60;1974;93
19529;60;1974;93
19529;65;1974;94
19527;60;1974;95
19527;11;1974;96
19525;65;1974;96
19525;11;1974;98
19527;65;1974;100
19529;11;1974;101
19526;65;1974;106
19525;69;1974;106
19527;69;1974;108
19529;69;1974;110
19526;69;1974;114
19528;60;1975;82
19525;60;1975;87
19528;65;1975;87
19528;11;1975;90
19528;69;1975;90
19527;11;1975;91
19529;60;1975;94
19525;11;1975;96
19529;65;1975;97
19525;65;1975;97
19525;69;1975;105
19529;11;1975;106
19527;60;1975;107
19527;65;1975;112
19529;69;1975;112
19527;69;1975;126
19528;60;1976;91
19528;11;1976;96
19528;65;1976;102
19525;11;1976;107
19528;69;1976;108
19525;60;1976;111
19529;60;1976;112
19527;11;1976;113
19529;11;1976;115
19529;65;1976;115
19525;65;1976;116
19527;60;1976;121
19525;69;1976;122
19527;65;1976;125
19529;69;1976;127
19527;69;1976;133
19528;11;1977;67
19528;60;1977;71
19528;65;1977;75
19525;60;1977;78
19525;65;1977;80
19528;69;1977;80
19525;11;1977;81
19526;11;1977;84
19529;11;1977;84
19526;60;1977;84
19529;65;1977;85
19527;60;1977;87
19529;60;1977;87
19526;65;1977;87
19525;69;1977;92
19527;65;1977;97
19527;11;1977;98
19526;69;1977;98
19529;69;1977;98
19527;69;1977;108
19528;11;1978;80
19528;60;1978;88
19528;65;1978;97
19529;60;1978;103
19527;11;1978;105
19529;11;1978;108
19525;60;1978;108
19529;65;1978;108
19528;69;1978;108
19526;11;1978;110
19525;11;1978;110
19525;65;1978;110
19527;60;1978;113
19526;60;1978;113
19526;65;1978;115
19529;69;1978;118
19525;69;1978;119
19527;65;1978;121
19526;69;1978;128
19527;69;1978;138
19528;11;1979;80
19528;60;1979;82
19528;65;1979;86
19525;11;1979;90
19527;11;1979;96
19528;69;1979;96
19529;11;1979;97
19529;60;1979;97
19525;60;1979;99
19527;60;1979;99
19525;65;1979;102
19529;65;1979;104
19527;65;1979;105
19529;69;1979;108
19525;69;1979;108
19527;69;1979;110
19528;11;1980;82
19528;60;1980;93
19528;65;1980;99
19529;11;1980;100
19529;60;1980;100
19525;60;1980;103
19528;69;1980;105
19525;11;1980;106
19529;65;1980;107
19525;65;1980;108
19525;69;1980;111
19529;69;1980;123
19528;11;1981;80
19528;60;1981;85
19528;65;1981;90
19528;69;1981;94
19525;60;1981;95
19525;11;1981;98
19525;65;1981;98
19526;11;1981;99
19527;11;1981;100
19529;11;1981;100
