PEP_ID;BBCH;YEAR;DAY
2924;87;1951;213
1924;87;1951;222
3167;87;1951;222
4843;87;1951;222
3112;87;1951;227
919;87;1951;228
2357;87;1951;229
3105;87;1951;229
4923;87;1951;231
4365;87;1951;232
2962;87;1951;232
3312;87;1951;232
3210;87;1951;233
1921;87;1951;234
2999;87;1951;236
3033;87;1951;236
3088;87;1951;237
2210;87;1951;239
2312;87;1951;239
2116;87;1951;240
4932;87;1951;240
1942;87;1951;241
3091;87;1951;241
4244;87;1951;241
1963;87;1951;242
2981;87;1951;242
3090;87;1951;242
3153;87;1951;242
3598;87;1951;242
4190;87;1951;242
4207;87;1951;242
2729;87;1951;244
4168;87;1951;244
2240;87;1951;245
609;87;1951;246
1928;87;1951;246
2939;87;1951;246
3141;87;1951;246
4256;87;1951;246
4262;87;1951;246
3074;87;1951;247
4722;87;1951;247
4453;87;1951;248
742;87;1951;248
1080;87;1951;248
1944;87;1951;248
3147;87;1951;248
108;87;1951;249
519;87;1951;249
4153;87;1951;249
4180;87;1951;249
4534;87;1951;249
2021;87;1951;250
2390;87;1951;250
3137;87;1951;250
1096;87;1951;251
4240;87;1951;251
4259;87;1951;251
4288;87;1951;251
76;87;1951;253
478;87;1951;253
1413;87;1951;253
2305;87;1951;253
2511;87;1951;253
3099;87;1951;253
3304;87;1951;253
3963;87;1951;253
4202;87;1951;253
4392;87;1951;253
4451;87;1951;253
4782;87;1951;253
152;87;1951;254
2002;87;1951;254
2370;87;1951;254
1997;87;1951;255
2014;87;1951;255
2444;87;1951;255
4338;87;1951;255
4445;87;1951;255
4740;87;1951;255
3064;87;1951;256
4324;87;1951;256
4336;87;1951;256
2398;87;1951;257
3496;87;1951;257
4439;87;1951;257
4669;87;1951;257
4435;87;1951;258
4452;87;1951;258
4458;87;1951;258
4565;87;1951;258
1123;87;1951;258
1480;87;1951;258
1692;87;1951;258
1758;87;1951;258
1898;87;1951;258
1914;87;1951;258
1931;87;1951;258
1948;87;1951;258
1958;87;1951;258
2049;87;1951;258
2197;87;1951;258
2294;87;1951;258
2358;87;1951;258
2904;87;1951;258
3136;87;1951;258
3234;87;1951;258
3533;87;1951;258
3632;87;1951;258
4017;87;1951;258
4170;87;1951;258
4247;87;1951;258
4331;87;1951;258
2050;87;1951;259
2301;87;1951;259
2303;87;1951;259
2353;87;1951;259
3097;87;1951;259
4339;87;1951;259
4353;87;1951;259
4350;87;1951;260
2198;87;1951;260
2274;87;1951;260
2449;87;1951;260
2928;87;1951;260
2996;87;1951;260
3096;87;1951;260
3151;87;1951;260
3581;87;1951;260
3848;87;1951;260
779;87;1951;261
817;87;1951;261
2010;87;1951;261
2211;87;1951;261
2307;87;1951;261
2670;87;1951;261
2705;87;1951;261
3061;87;1951;261
3736;87;1951;261
4103;87;1951;261
4404;87;1951;261
4414;87;1951;261
4448;87;1951;261
4476;87;1951;262
4477;87;1951;262
1079;87;1951;262
2794;87;1951;262
3057;87;1951;262
3142;87;1951;262
3856;87;1951;262
4176;87;1951;262
521;87;1951;263
1109;87;1951;263
1847;87;1951;263
1985;87;1951;263
1992;87;1951;263
2045;87;1951;263
2213;87;1951;263
2324;87;1951;263
2393;87;1951;263
2542;87;1951;263
2724;87;1951;263
2876;87;1951;263
2920;87;1951;263
2989;87;1951;263
3073;87;1951;263
3125;87;1951;263
3523;87;1951;263
3563;87;1951;263
3564;87;1951;263
3568;87;1951;263
3585;87;1951;263
3594;87;1951;263
3901;87;1951;263
3965;87;1951;263
4158;87;1951;263
4177;87;1951;263
4355;87;1951;263
4394;87;1951;263
4406;87;1951;263
4416;87;1951;263
4463;87;1951;263
4537;87;1951;263
4558;87;1951;263
4407;87;1951;264
72;87;1951;264
1616;87;1951;264
1952;87;1951;264
1994;87;1951;264
2386;87;1951;264
2392;87;1951;264
2893;87;1951;264
3704;87;1951;264
3705;87;1951;264
4249;87;1951;264
1074;87;1951;265
2133;87;1951;265
3546;87;1951;265
4300;87;1951;265
4714;87;1951;265
562;87;1951;266
2008;87;1951;266
2380;87;1951;266
41;87;1951;267
523;87;1951;267
1913;87;1951;267
2066;87;1951;267
2084;87;1951;267
3014;87;1951;267
3018;87;1951;267
3103;87;1951;267
3154;87;1951;267
3709;87;1951;267
3748;87;1951;267
3791;87;1951;267
3834;87;1951;267
4317;87;1951;267
427;87;1951;268
480;87;1951;268
553;87;1951;268
738;87;1951;268
769;87;1951;268
989;87;1951;268
1197;87;1951;268
1351;87;1951;268
1937;87;1951;268
2204;87;1951;268
2212;87;1951;268
2287;87;1951;268
2293;87;1951;268
2335;87;1951;268
2407;87;1951;268
2882;87;1951;268
2969;87;1951;268
3040;87;1951;268
3058;87;1951;268
