PEP_ID;BBCH;YEAR;DAY
7227;60;1946;79
7227;60;1949;93
7228;60;1950;73
7228;60;1952;81
7230;60;1952;83
7230;60;1953;89
7230;11;1953;92
7230;11;1954;89
7230;11;1955;87
7230;60;1955;87
7228;60;1955;98
7230;60;1956;105
7228;60;1956;107
7230;11;1957;71
7230;60;1957;73
7227;60;1958;69
7230;60;1958;82
7230;60;1959;66
7228;60;1959;83
7230;60;1960;55
7228;60;1961;57
7230;60;1961;71
7230;60;1962;93
7228;60;1962;115
7230;60;1964;74
7230;60;1965;89
7228;60;1965;108
7230;60;1966;73
7227;60;1966;103
7230;60;1967;73
7228;60;1967;74
7227;60;1967;79
7230;60;1968;85
7228;60;1968;105
7228;60;1969;112
7228;60;1970;107
7228;60;1971;118
7227;60;1971;129
7230;11;1972;83
7230;60;1972;89
7228;60;1972;115
7227;60;1973;60
7230;11;1973;98
7230;60;1973;98
7228;60;1973;122
7227;60;1974;56
7230;11;1974;82
7230;60;1974;82
7228;60;1974;108
7227;10;1974;150
7230;87;1974;208
7230;60;1975;72
7228;60;1975;93
7230;87;1975;231
7230;11;1976;87
7230;60;1976;87
7228;60;1976;95
7230;87;1976;210
7230;11;1977;70
7230;60;1977;70
7227;60;1978;86
7227;10;1978;94
7228;60;1978;112
7227;60;1979;90
7227;10;1979;105
7228;60;1979;118
7228;60;1980;86
7230;60;1980;87
7227;60;1980;100
7227;10;1980;102
7230;87;1980;209
7227;60;1981;69
7228;60;1981;83
7230;60;1981;83
7230;11;1981;86
7230;87;1981;203
7230;60;1982;74
7227;60;1982;74
7228;60;1982;81
7230;11;1982;100
7227;10;1982;116
7230;87;1982;229
7230;60;1983;80
7228;60;1983;82
7230;11;1983;95
7227;10;1983;101
7227;60;1983;104
7230;87;1983;206
7230;60;1984;89
7230;11;1984;101
7228;60;1984;105
7230;87;1984;227
7230;60;1985;83
7230;11;1985;96
7228;60;1985;97
7227;60;1985;111
7227;10;1985;112
7230;60;1986;84
7230;11;1986;90
7227;60;1986;90
7227;10;1986;120
7228;10;1986;128
7226;60;1987;66
7219;60;1987;68
7226;10;1987;72
7218;10;1987;79
7230;60;1987;81
7218;60;1987;81
7227;60;1987;84
7228;60;1987;87
7216;60;1987;87
7227;10;1987;100
7225;60;1987;100
7220;60;1987;106
7220;10;1987;114
7216;87;1987;199
7230;87;1987;232
7220;87;1987;237
7222;87;1987;268
7230;60;1988;78
7230;11;1988;86
7227;60;1988;102
7227;10;1988;106
7230;87;1988;237
7218;10;1989;67
7218;60;1989;69
7230;60;1989;74
7219;60;1989;75
7226;60;1989;79
7219;10;1989;81
7226;10;1989;81
7230;11;1989;81
7217;60;1989;83
7216;60;1989;83
7228;60;1989;86
7221;60;1989;94
7227;10;1989;100
7224;60;1989;110
7227;60;1989;119
7220;10;1989;120
7220;60;1989;138
7230;87;1989;227
7220;87;1989;238
7222;87;1989;268
7218;60;1990;66
7219;10;1990;67
7225;60;1990;67
7230;60;1990;70
7218;10;1990;71
7219;60;1990;73
7225;10;1990;74
7217;10;1990;79
7228;60;1990;79
7230;11;1990;81
7229;60;1990;81
7216;60;1990;84
7217;60;1990;84
7221;60;1990;89
7227;60;1990;90
7220;60;1990;99
7224;60;1990;100
7226;60;1990;104
7224;10;1990;105
7220;10;1990;107
7227;10;1990;109
7229;10;1990;121
7216;87;1990;209
7230;87;1990;230
7220;87;1990;242
7222;87;1990;265
7227;60;1991;72
7230;60;1991;76
7219;60;1991;79
7226;60;1991;79
7225;60;1991;83
7219;10;1991;84
7226;10;1991;87
7217;60;1991;87
7225;10;1991;89
7228;60;1991;89
7216;60;1991;90
7230;11;1991;95
7221;60;1991;95
7217;10;1991;100
7227;10;1991;102
7224;60;1991;105
7220;60;1991;109
7220;10;1991;114
7224;10;1991;115
7229;60;1991;116
7229;10;1991;137
7216;87;1991;209
7230;87;1991;230
7220;87;1991;247
7222;87;1991;266
7218;60;1992;71
7225;60;1992;73
7218;10;1992;74
7216;60;1992;74
7219;60;1992;77
7225;10;1992;79
7230;60;1992;80
7219;10;1992;83
7226;10;1992;83
7227;60;1992;84
7230;11;1992;86
7226;60;1992;86
7221;60;1992;89
7217;60;1992;89
7228;60;1992;97
7217;10;1992;102
7228;10;1992;102
7224;60;1992;103
7220;60;1992;106
7224;10;1992;108
7220;10;1992;110
