PEP_ID;BBCH;YEAR;DAY
20448;60;1965;80
20448;65;1965;89
20448;69;1965;93
20448;100;1965;170
20448;65;1968;95
20448;69;1968;101
20448;81;1968;168
20448;100;1968;171
20448;60;1969;96
20448;65;1969;99
20448;69;1969;101
20448;100;1969;177
20448;60;1970;90
20448;81;1970;172
20448;100;1970;179
20448;60;1971;93
20448;65;1971;100
20448;69;1971;106
20448;95;1971;287
20448;60;1972;76
20448;65;1972;87
20448;81;1974;185
20448;100;1974;202
20448;60;1975;87
20448;65;1975;92
20448;69;1975;100
20448;81;1975;168
20448;100;1975;175
20448;94;1975;302
20448;95;1975;317
20448;60;1976;89
20448;65;1976;94
20448;69;1976;101
20448;81;1976;177
20448;100;1976;182
20448;94;1976;310
20448;95;1976;322
20448;60;1977;77
20448;65;1977;80
20448;69;1977;85
20448;100;1977;181
20448;94;1977;284
20448;95;1977;292
20448;60;1978;84
20448;65;1978;88
20448;69;1978;97
20448;81;1978;186
20448;100;1978;201
20448;94;1978;293
20448;95;1978;307
20448;60;1979;82
20448;65;1979;86
20448;69;1979;89
20448;81;1979;116
20448;100;1979;184
20448;94;1979;308
20448;95;1979;318
20448;60;1983;83
20448;65;1983;87
20448;69;1983;95
20448;81;1983;181
20448;100;1983;190
20448;94;1983;302
20448;95;1983;317
20448;60;1984;75
20448;65;1984;82
20448;69;1984;89
20448;81;1984;172
20448;100;1984;185
20448;94;1984;299
20448;95;1984;323
20450;65;1985;94
20448;60;1985;97
20450;69;1985;99
20448;65;1985;112
20448;69;1985;118
20450;81;1985;170
20448;81;1985;185
20448;100;1985;191
20450;100;1985;193
20448;94;1985;295
20450;94;1985;298
20448;95;1985;315
20450;95;1985;328
20448;60;1990;77
20448;65;1990;86
20448;81;1990;175
20448;100;1990;177
20448;94;1990;313
20448;95;1990;323
20448;60;2008;82
20448;65;2008;88
20448;69;2008;94
