PEP_ID;BBCH;YEAR;DAY
20448;60;1993;91
20448;65;1993;98
20448;69;1993;106
20448;81;1993;158
20448;100;1993;165
20448;94;1993;318
20448;95;1993;328
20448;60;2007;79
20448;69;2007;99
20448;60;2008;85
20448;65;2008;89
20448;69;2008;109
20448;81;2008;167
20448;100;2008;180
20448;94;2008;284
20448;95;2008;302
20448;60;2009;83
20448;65;2009;92
20448;69;2009;102
20448;81;2009;165
20448;100;2009;172
20448;94;2009;292
20448;95;2009;308
20448;60;2010;83
20448;65;2010;91
20448;69;2010;105
20448;81;2010;165
20450;60;2011;77
20448;60;2011;83
20450;65;2011;83
20448;65;2011;91
20448;69;2011;107
20448;81;2011;165
20450;81;2011;166
20448;100;2011;287
20448;94;2011;292
20448;95;2011;297
