PEP_ID;BBCH;YEAR;DAY
20450;60;1952;129
20450;65;1952;133
20450;81;1952;292
20450;100;1952;309
20450;95;1952;320
20449;60;1953;71
20449;65;1953;75
20451;60;1954;139
20451;65;1954;144
20451;94;1954;282
20452;60;1955;110
20449;60;1955;114
20449;65;1955;117
20451;60;1955;118
20452;65;1955;120
20451;65;1955;121
20452;81;1955;274
20452;100;1955;289
20452;95;1955;319
20448;60;1956;104
20448;65;1956;106
20448;69;1956;109
20448;60;1957;83
20448;65;1957;84
20448;69;1957;88
20449;60;1957;107
20449;65;1957;111
20449;69;1957;113
20448;81;1957;170
20448;100;1957;177
20448;94;1957;179
20448;95;1957;327
20448;60;1958;93
20448;65;1958;98
20449;60;1958;116
20449;65;1958;123
20449;69;1958;131
20449;60;1959;98
20449;65;1959;101
20449;69;1959;102
20449;81;1959;257
20449;100;1959;262
20449;94;1959;267
20449;95;1959;272
20449;60;1960;116
20449;65;1960;120
20449;69;1960;131
20448;60;1961;71
20448;65;1961;76
20448;69;1961;85
20448;100;1961;208
20448;95;1961;332
20448;60;1962;95
20448;65;1962;103
20449;60;1962;113
20449;65;1962;116
20449;69;1962;122
20448;95;1963;292
20452;60;1964;114
20452;65;1964;118
20452;69;1964;123
20451;60;1964;124
20451;65;1964;131
20451;69;1964;139
20451;81;1964;254
20451;100;1964;269
20451;94;1964;274
20451;95;1964;284
20451;60;1965;136
20451;65;1965;140
20451;69;1965;180
20448;81;1965;223
20448;100;1965;231
20451;81;1965;243
20451;100;1965;257
20451;94;1965;272
20451;95;1965;304
20448;60;1966;84
20452;60;1966;112
20452;65;1966;115
20452;69;1966;119
20451;60;1966;122
20451;65;1966;126
20451;69;1966;138
20451;81;1966;257
20451;100;1966;269
20451;94;1966;279
20452;100;1966;290
20451;95;1966;305
20452;95;1966;313
20448;60;1967;88
20448;65;1967;92
20448;69;1967;104
20452;60;1967;108
20452;65;1967;112
20452;69;1967;117
20448;81;1967;166
20448;100;1967;175
20450;81;1967;221
20450;100;1967;234
20448;94;1967;292
20450;94;1967;297
20448;95;1967;304
20450;95;1967;318
20448;60;1968;86
20452;60;1968;111
20451;60;1968;115
20451;65;1968;119
20452;65;1968;119
20452;69;1968;123
20451;100;1968;268
20448;94;1968;271
20448;95;1968;288
20451;94;1968;304
20451;95;1968;315
20448;60;1969;96
20448;65;1969;99
20448;69;1969;101
20452;65;1969;121
20451;60;1969;124
20452;69;1969;125
20451;65;1969;129
20451;69;1969;137
20451;81;1969;271
20451;100;1969;290
20448;94;1969;293
20452;94;1969;298
20452;100;1969;300
20452;95;1969;305
20448;95;1969;307
20448;60;1970;89
20448;65;1970;95
20452;60;1970;119
20452;65;1970;124
20451;60;1970;127
20452;69;1970;127
20451;65;1970;133
20451;69;1970;142
20448;94;1970;298
20452;100;1970;299
20452;94;1970;300
20448;95;1970;311
20452;95;1970;314
20452;60;1971;120
20452;65;1971;125
20452;69;1971;129
20449;81;1971;244
20449;100;1971;257
20452;81;1971;268
20452;60;1972;117
20452;65;1972;122
20452;69;1972;129
20448;81;1972;269
20452;81;1972;272
20452;100;1972;305
20448;94;1972;306
20448;95;1972;316
