PEP_ID;BBCH;YEAR;DAY
20448;60;1962;97
20448;65;1962;101
20448;81;1962;109
20448;65;1968;95
20448;69;1968;101
20448;100;1968;220
20448;60;1975;91
20448;65;1975;97
20448;69;1975;105
20448;60;2000;87
20448;65;2000;95
20449;81;2001;233
20449;100;2001;257
20450;60;2002;75
20450;65;2002;80
20450;69;2002;85
20449;60;2004;112
20449;65;2004;116
20449;69;2004;120
20449;81;2004;241
20449;100;2004;260
20449;60;2006;116
20449;65;2006;119
20449;69;2006;122
20449;81;2006;236
20449;100;2006;247
20449;94;2006;277
20449;95;2006;292
20449;60;2007;99
20450;60;2007;103
20449;65;2007;103
20449;69;2007;107
20450;65;2007;109
20449;81;2007;252
20449;100;2007;267
20452;60;2008;101
20452;65;2008;106
20449;60;2008;114
20452;69;2008;116
20449;65;2008;118
20449;69;2008;121
20452;81;2008;249
20449;81;2008;249
20449;100;2008;259
20452;100;2008;264
20449;94;2008;279
20452;94;2008;294
20449;95;2008;294
20452;95;2008;310
20449;60;2009;109
20449;65;2009;114
20449;69;2009;120
20449;81;2009;252
20449;100;2009;267
20449;60;2010;114
20449;65;2010;119
20451;60;2010;123
20449;69;2010;124
20451;65;2010;126
20451;69;2010;129
20449;81;2010;252
20451;81;2010;262
20449;100;2010;267
20449;94;2010;282
20451;94;2010;292
20449;95;2010;292
20451;100;2010;292
20451;95;2010;313
20452;60;2011;103
20449;60;2011;103
20449;65;2011;106
20452;65;2011;108
20449;69;2011;110
20452;69;2011;119
20452;81;2011;243
20449;81;2011;252
20452;100;2011;262
20449;100;2011;267
20452;94;2011;304
20452;95;2011;313
20449;60;2012;111
20452;60;2012;116
20449;65;2012;116
20449;69;2012;119
20452;65;2012;122
20452;69;2012;131
20452;81;2012;223
20452;100;2012;233
20449;81;2012;254
20449;100;2012;269
20452;94;2012;315
20452;95;2012;320
20448;60;2013;72
20448;65;2013;78
20450;60;2013;85
20450;65;2013;88
20452;60;2013;114
20452;65;2013;120
20452;69;2013;129
20452;81;2013;221
20452;100;2013;231
20452;94;2013;313
20452;95;2013;318
