PEP_ID;BBCH;YEAR;DAY
7801;11;1868;97
7801;60;1868;124
7612;60;1868;132
7881;11;1869;85
8001;11;1869;88
7532;11;1869;93
7801;11;1869;105
7801;60;1869;117
7881;60;1869;118
7532;60;1869;129
7881;11;1870;98
8001;11;1870;100
7801;11;1870;116
7475;60;1870;125
7706;60;1870;129
7881;60;1870;133
7811;60;1870;134
7699;60;1870;137
7801;60;1870;139
7532;60;1870;141
8001;60;1870;142
7706;11;1871;53
7475;11;1871;67
7797;11;1871;69
7881;11;1871;80
7801;11;1871;86
7532;11;1871;86
7881;60;1871;129
7801;60;1871;131
7706;60;1871;133
7532;60;1871;133
7699;11;1872;49
7706;11;1872;64
7475;11;1872;68
7881;11;1872;73
7923;11;1872;76
7801;60;1872;87
7801;11;1872;91
7532;11;1872;95
7797;11;1872;96
7706;60;1872;113
7923;60;1872;116
7797;60;1872;117
7881;60;1872;118
7699;60;1872;120
7974;60;1872;135
7699;60;1873;14
7797;11;1873;64
7923;11;1873;79
7475;11;1873;83
7881;11;1873;85
7699;11;1873;90
7811;11;1873;92
7532;11;1873;93
7801;11;1873;102
7706;11;1873;105
7706;60;1873;118
7534;60;1873;127
7923;60;1873;130
7532;60;1873;141
7801;60;1873;144
7532;11;1874;93
7881;11;1874;94
7801;11;1874;97
7923;11;1874;100
7706;11;1874;106
7923;60;1874;117
7532;60;1874;122
7881;60;1874;122
7801;60;1874;129
7797;60;1874;153
7706;11;1875;101
7532;11;1875;106
7801;11;1875;110
7677;11;1875;116
7911;11;1875;125
7801;60;1875;136
7911;60;1875;140
7475;11;1876;45
7797;11;1876;53
7881;11;1876;58
7706;11;1876;93
7699;11;1876;93
7532;11;1876;98
7801;11;1876;121
7475;60;1876;125
7881;60;1876;132
7801;60;1876;140
7881;11;1877;88
7475;60;1877;124
7801;11;1877;127
7797;60;1877;128
7990;60;1877;145
7532;60;1877;145
7881;60;1877;146
7990;11;1877;149
7801;60;1877;149
7677;60;1877;153
7637;60;1877;156
7881;60;1878;121
7801;60;1878;125
7532;60;1878;126
7475;60;1878;129
7797;60;1878;152
7934;11;1879;50
7881;11;1879;89
7699;11;1879;103
7990;11;1879;108
7797;11;1879;111
7881;60;1879;145
7990;60;1879;154
7873;60;1879;158
7934;11;1880;51
7475;11;1880;66
7699;11;1880;80
7881;11;1880;86
7873;11;1880;91
7881;60;1880;125
7797;60;1880;125
7530;60;1880;136
7881;11;1881;79
7669;11;1881;93
7532;11;1881;119
7532;60;1881;146
7884;60;1882;122
7881;60;1882;127
7934;11;1883;99
7669;11;1883;101
7881;11;1883;108
7990;11;1883;108
7532;11;1883;108
7934;60;1883;128
7669;60;1883;129
7697;60;1883;131
7881;60;1883;134
7532;60;1883;134
7990;60;1883;136
7884;60;1883;138
7934;11;1884;61
7568;11;1884;75
7699;11;1884;76
7990;11;1884;77
7881;11;1884;78
7669;11;1884;82
7669;60;1884;106
7990;60;1884;125
7934;60;1884;132
7697;60;1884;132
7884;60;1884;133
7881;60;1884;136
7881;11;1885;65
7669;11;1885;78
7934;11;1885;79
7990;11;1885;106
7697;60;1885;118
7669;60;1885;120
7934;60;1885;120
7881;60;1885;122
7884;60;1885;129
7881;60;1886;89
7669;11;1886;96
7873;11;1886;109
7990;11;1886;110
7697;60;1886;130
7934;60;1886;131
7884;60;1886;135
7669;11;1887;106
7990;11;1887;116
7625;60;1887;140
7697;60;1887;143
7923;60;1887;144
7881;60;1887;145
7669;11;1889;109
7881;11;1889;110
7631;11;1889;113
7990;11;1889;114
7631;60;1889;128
7881;60;1889;131
7669;60;1889;135
7990;60;1889;139
7990;60;1890;75
7640;11;1890;93
7881;11;1890;94
7990;11;1890;96
7962;60;1890;128
7669;60;1890;128
7881;60;1890;129
7980;60;1890;130
7814;60;1890;130
7697;60;1890;131
7631;11;1891;116
7881;11;1891;133
7669;11;1891;135
7640;11;1891;137
7879;11;1891;139
7697;11;1891;143
7916;11;1892;95
7640;11;1892;97
