PEP_ID;BBCH;YEAR;DAY
7001;60;1927;148
7001;60;1928;135
7001;60;1929;145
7001;60;1930;123
7001;60;1931;142
7001;60;1932;138
7001;60;1933;135
7001;60;1934;127
7001;60;1935;140
7001;60;1936;133
7001;60;1937;126
7001;60;1938;143
7001;60;1939;134
7001;60;1940;140
7001;60;1941;148
7001;60;1942;141
7001;60;1943;136
7001;60;1944;141
7001;60;1945;133
7001;60;1946;140
7001;60;1947;138
7001;60;1948;131
7001;60;1949;137
7001;60;1950;129
7001;60;1951;141
7001;60;1952;129
7001;60;1953;130
7001;60;1954;135
7001;60;1955;150
7001;60;1956;146
7001;60;1957;138
7001;60;1958;151
7001;60;1959;129
7001;60;1960;131
7001;60;1961;124
7001;60;1962;137
7001;60;1963;140
7001;60;1964;136
7001;60;1965;136
7001;60;1967;146
7001;60;1968;144
7001;60;1969;146
7001;60;1970;141
7001;60;1971;133
7001;60;1972;130
7001;60;1973;134
7001;60;1974;121
7001;60;1975;134
7001;60;1976;141
7001;60;1977;143
7001;60;1978;138
7001;60;1979;150
7001;60;1980;136
7001;60;1981;141
7001;60;1982;138
7001;60;1983;136
7001;60;1984;136
7001;60;1985;136
7001;60;1986;144
7001;60;1987;144
7001;60;1988;136
7001;60;1989;122
7001;60;1990;122
7001;60;1991;126
7001;60;1992;138
7001;60;1993;132
7001;60;1994;140
7001;60;1995;144
7001;60;1996;145
7001;60;1997;140
7001;60;1998;136
7001;60;1999;133
7001;60;2000;132
7001;60;2001;138
7001;60;2002;129
7001;60;2003;133
7001;60;2004;127
7001;60;2005;133
