PEP_ID;BBCH;YEAR;DAY
19528;60;1972;63
19528;65;1972;70
19528;11;1972;77
19529;60;1972;89
19529;65;1972;90
19526;11;1972;96
19527;11;1972;96
19527;60;1972;96
19526;60;1972;96
19529;11;1972;99
19527;65;1972;99
19526;65;1972;99
19525;60;1973;109
19527;60;1973;114
19525;11;1973;115
19525;65;1973;117
19527;65;1973;121
19527;11;1973;123
19525;69;1973;129
19527;69;1973;129
19525;87;1973;248
19527;87;1973;258
19528;60;1981;73
19528;65;1981;77
19528;11;1981;81
19525;60;1981;86
19529;60;1981;89
19525;65;1981;90
19525;11;1981;91
19529;65;1981;91
19529;11;1981;100
19528;60;1982;68
19528;65;1982;74
19528;11;1982;77
19529;60;1982;97
19529;11;1982;100
19529;65;1982;101
19525;60;1982;103
19525;65;1982;113
19525;11;1982;116
19528;60;1983;74
19528;11;1983;78
19528;65;1983;79
19529;60;1983;84
19529;65;1983;90
19529;11;1983;103
19525;65;1984;284
19529;65;1984;285
19526;65;1984;298
19528;65;1984;301
19528;60;1985;78
19528;65;1985;85
19528;11;1985;87
19525;60;1985;95
19529;60;1985;96
19525;11;1985;98
19529;65;1985;100
19525;65;1985;100
19529;11;1985;112
19528;60;1987;89
19528;65;1987;92
19528;11;1987;95
19525;11;1987;100
19525;60;1987;102
19525;65;1987;108
19529;60;1987;110
19529;11;1987;117
19529;65;1987;118
19528;60;1988;70
19528;65;1988;72
19528;11;1988;84
19529;60;1988;84
19529;65;1988;86
19529;11;1988;106
19528;60;1989;49
19528;65;1989;52
19528;11;1989;58
19525;60;1989;74
19525;65;1989;79
19525;11;1989;82
19529;60;1989;82
19529;11;1989;85
19529;65;1989;91
19529;60;2001;71
19529;65;2001;75
19529;11;2001;77
19529;69;2001;78
19529;86;2001;185
19529;100;2001;194
19529;60;2002;70
19529;65;2002;73
19529;69;2002;77
19529;11;2002;78
19529;86;2002;175
19529;100;2002;181
19529;60;2003;98
19529;65;2003;101
19529;69;2003;104
19529;11;2003;113
19529;60;2004;86
19529;65;2004;91
19529;69;2004;95
19529;11;2004;97
19529;11;2005;91
19529;60;2005;98
19529;65;2005;101
19529;69;2005;110
19529;60;2013;90
19529;65;2013;96
19529;69;2013;102
19529;11;2013;108
19529;87;2013;191
19529;60;2014;65
19529;11;2014;69
19529;65;2014;70
19529;69;2014;73
19528;11;2014;74
19528;60;2014;84
19528;65;2014;89
19528;69;2014;105
19528;86;2014;182
19529;60;2015;93
19527;60;2015;100
19529;65;2015;100
19529;11;2015;103
19529;69;2015;103
19527;11;2015;112
19527;65;2015;115
19527;69;2015;119
19527;86;2015;266
19529;94;2015;297
19529;95;2015;301
19527;94;2015;302
