PEP_ID;BBCH;YEAR;DAY
19528;11;1971;82
19528;60;1971;85
19528;65;1971;91
19529;11;1971;104
19525;11;1971;106
19529;60;1971;107
19525;60;1971;110
19526;11;1971;113
19527;11;1971;115
19525;65;1971;115
19529;65;1971;117
19527;60;1971;118
19526;60;1971;118
19526;65;1971;125
19527;65;1971;128
19525;60;1972;94
19525;11;1972;98
19525;65;1972;99
19526;60;1973;118
19526;11;1973;123
19526;65;1973;123
19526;87;1973;248
19528;11;1981;82
19528;60;1981;88
19528;65;1981;89
19525;11;1981;92
19525;60;1981;96
19529;11;1981;97
19527;11;1981;99
19525;65;1981;99
19527;60;1981;100
19529;60;1981;100
19529;65;1981;103
19526;11;1981;104
19527;65;1981;105
19526;60;1981;106
19526;65;1981;107
19528;60;1982;80
19528;11;1982;86
19528;65;1982;89
19527;11;1982;108
19527;60;1982;110
19527;65;1982;117
19525;11;1982;120
19529;11;1982;120
19529;60;1982;123
19529;65;1982;125
19526;60;1982;127
19526;11;1982;128
19525;60;1982;128
19525;65;1982;130
19526;65;1982;130
19528;60;1983;81
19528;11;1983;84
19528;65;1983;85
19529;60;1983;101
19525;60;1983;102
19529;65;1983;104
19525;11;1983;105
19525;65;1983;105
19527;60;1983;108
19527;11;1983;110
19527;65;1983;110
19526;60;1983;111
19526;65;1983;112
19529;11;1983;113
19526;11;1983;115
19528;60;1985;91
19528;65;1985;95
19528;11;1985;97
19529;60;1985;104
19527;60;1985;105
19525;60;1985;106
19525;11;1985;110
19527;11;1985;110
19527;65;1985;111
19529;65;1985;112
19525;65;1985;112
19529;11;1985;113
19526;60;1985;116
19526;65;1985;118
19526;11;1985;121
19528;60;1987;95
19528;11;1987;96
19528;65;1987;98
19525;60;1987;113
19529;60;1987;114
19527;11;1987;115
19525;11;1987;115
19525;65;1987;116
19529;11;1987;119
19529;65;1987;119
19527;60;1987;121
19526;60;1987;122
19526;65;1987;124
19526;11;1987;125
19527;65;1987;127
19528;60;1988;85
19528;11;1988;91
19528;65;1988;91
19529;60;1988;105
19527;11;1988;106
19529;11;1988;107
19529;65;1988;110
19525;60;1988;111
19525;65;1988;114
19525;11;1988;116
19526;60;1988;117
19527;60;1988;118
19526;65;1988;121
19526;11;1988;123
19527;65;1988;126
19528;11;1989;47
19528;60;1989;66
19528;65;1989;71
19529;60;1989;88
19529;11;1989;91
19525;60;1989;91
19525;65;1989;93
19529;65;1989;95
19525;11;1989;96
19527;60;1989;97
19526;60;1989;98
19527;11;1989;100
19526;65;1989;100
19526;11;1989;102
19527;65;1989;103
19526;60;2000;119
19526;65;2000;122
19526;11;2000;123
19526;69;2000;129
19526;86;2000;249
19526;100;2000;259
19529;60;2001;85
19529;65;2001;89
19529;69;2001;95
19529;11;2001;102
19529;86;2001;221
19529;100;2001;244
19526;11;2002;91
19529;60;2002;93
19526;60;2002;98
19529;65;2002;102
19526;65;2002;102
19529;11;2002;105
19529;69;2002;106
19526;69;2002;116
19529;86;2002;229
19529;100;2002;239
19526;86;2002;244
19526;100;2002;253
19529;60;2003;111
19529;11;2003;113
19529;65;2003;116
19526;11;2003;118
19529;69;2003;120
19526;60;2003;122
19526;65;2003;124
19526;69;2003;128
19526;86;2003;244
19526;100;2003;248
19529;60;2004;105
19529;65;2004;111
19529;69;2004;111
19529;11;2004;113
19526;11;2004;122
19526;60;2004;129
19526;65;2004;133
19526;69;2004;139
19529;60;2005;108
19529;65;2005;110
19529;69;2005;114
19526;11;2005;115
19529;11;2005;118
19526;60;2005;121
19526;65;2005;123
19526;69;2005;128
19526;60;2012;126
19526;65;2012;129
19526;69;2012;133
19525;11;2013;103
19525;60;2013;104
19529;60;2013;108
19525;65;2013;109
19529;65;2013;111
19529;11;2013;113
20454;60;2013;114
19529;69;2013;115
19525;69;2013;116
20454;65;2013;118
20454;69;2013;120
19525;86;2013;232
20454;86;2013;239
19525;11;2014;75
19525;65;2014;78
19529;60;2014;79
19529;11;2014;83
19529;65;2014;89
19525;69;2014;89
19529;69;2014;92
19526;11;2014;95
19526;60;2014;101
19527;60;2014;102
19526;65;2014;105
19527;65;2014;106
19526;69;2014;112
19527;69;2014;113
19527;86;2014;258
19528;60;2015;62
19528;65;2015;69
19528;11;2015;79
19528;69;2015;84
19525;11;2015;94
19526;11;2015;97
19525;60;2015;102
19525;65;2015;107
19527;11;2015;110
19526;60;2015;114
19525;69;2015;115
19527;60;2015;117
19526;65;2015;118
19528;86;2015;118
19527;65;2015;121
19526;69;2015;127
19527;69;2015;140
19525;86;2015;238
19526;86;2015;244
19527;86;2015;267
19525;94;2015;267
19526;94;2015;269
19526;95;2015;288
19525;95;2015;290
19528;94;2015;301
19527;94;2015;302
19527;95;2015;306
