PEP_ID;BBCH;YEAR;DAY
1339;60;1951;78
3028;60;1951;86
3237;60;1951;89
1339;65;1951;90
3137;60;1951;92
2957;60;1951;92
3028;65;1951;92
966;60;1951;93
3237;65;1951;94
1918;60;1951;95
4513;60;1951;95
1685;60;1951;96
1958;60;1951;96
3283;60;1951;96
3118;60;1951;97
2959;60;1951;97
1918;65;1951;97
3028;69;1951;97
1921;60;1951;98
3055;60;1951;98
3262;60;1951;98
4425;60;1951;98
3293;60;1951;99
3598;60;1951;99
1916;60;1951;99
1942;60;1951;100
1943;60;1951;100
1963;60;1951;100
2370;60;1951;100
2646;60;1951;100
2898;60;1951;100
2904;60;1951;100
2965;60;1951;100
2989;60;1951;100
3026;60;1951;100
3064;60;1951;100
3101;60;1951;100
3179;60;1951;100
3209;60;1951;100
4259;60;1951;100
5679;60;1951;100
5976;65;1951;100
4475;60;1951;101
3106;60;1951;101
3219;60;1951;101
2035;60;1951;101
2337;60;1951;101
3056;60;1951;101
1464;60;1951;101
3283;65;1951;101
1685;65;1951;101
1918;69;1951;101
1920;60;1951;102
1931;60;1951;102
1960;60;1951;102
2729;60;1951;102
2924;60;1951;102
2966;60;1951;102
2982;60;1951;102
3030;60;1951;102
1353;60;1951;102
3112;60;1951;102
3254;60;1951;102
3257;60;1951;102
3709;60;1951;102
4180;60;1951;102
3179;65;1951;102
3262;65;1951;102
3293;65;1951;102
2957;65;1951;102
4513;65;1951;102
1944;60;1951;103
2969;60;1951;103
2996;60;1951;103
3041;60;1951;103
3063;60;1951;103
3090;60;1951;103
4284;60;1951;103
4329;60;1951;103
1533;60;1951;103
3219;65;1951;103
3096;60;1951;104
1922;60;1951;104
1924;60;1951;104
1928;60;1951;104
2388;60;1951;104
2870;60;1951;104
2872;60;1951;104
3046;60;1951;104
3057;60;1951;104
4429;60;1951;104
4453;60;1951;104
1352;60;1951;104
1920;65;1951;104
1921;65;1951;104
2035;65;1951;104
2646;65;1951;104
2959;65;1951;104
3118;65;1951;104
3137;65;1951;104
3209;65;1951;104
3254;65;1951;104
3091;60;1951;105
3126;60;1951;105
3136;60;1951;105
3508;60;1951;105
4272;60;1951;105
1917;60;1951;105
2043;60;1951;105
2353;60;1951;105
2356;60;1951;105
2394;60;1951;105
2647;60;1951;105
2902;60;1951;105
2930;60;1951;105
2933;60;1951;105
2981;60;1951;105
2983;60;1951;105
3037;60;1951;105
923;60;1951;105
1378;60;1951;105
1462;60;1951;105
6205;60;1951;105
1942;65;1951;105
2996;65;1951;105
3055;65;1951;105
