PEP_ID;BBCH;YEAR;DAY
19298;60;2013;84
19292;60;2013;89
19292;11;2013;95
19298;65;2013;95
19298;11;2013;98
19292;65;2013;98
19291;60;2013;102
19292;69;2013;105
19291;11;2013;108
19291;65;2013;110
19298;69;2013;110
19293;60;2013;116
19293;11;2013;117
19293;65;2013;118
19291;69;2013;119
19293;69;2013;122
19297;60;2013;123
19297;11;2013;130
19297;65;2013;132
19297;69;2013;137
19298;86;2013;189
19298;87;2013;194
19297;86;2013;225
19292;86;2013;227
19292;87;2013;237
19297;87;2013;238
19291;86;2013;242
19293;86;2013;249
19291;87;2013;253
19293;87;2013;261
19291;94;2013;268
19293;94;2013;279
19291;95;2013;288
19293;95;2013;291
19292;94;2013;301
19292;95;2013;324
19298;94;2013;336
19298;95;2013;344
